tree1,tree2,bipartitions,bipartitions1 posterior>90.0,bipartitions2 posterior>90.0,coinciding bipartitions no threshold,coinciding bipartitions,RF times/bipartitions no threshold,RF times/bipartitions,coinciding bipartitions no threshold (no nested clades),coinciding bipartitions (no nested),RF times/bipartitions no threshold (no nested),RF times/bipartitions (no nested),coinciding subtrees no threshold,RF times/subtrees no threshold,coinciding subtrees,RF times/subtrees,coinciding subtrees (thr while encoding),RF times/subtrees(thr while encoding)
serotype_1_67-829_strict_skyline_100_combined,serotype_1_841-1313_log_expop_400_combined,31,0,0,18,0,4.0765,nan,1,0,93.9138,nan,8,2.4065,0,nan,0,nan
serotype_1_67-829_strict_skyline_100_combined,serotype_1_1325-1601_exp_skyline_400_combined,31,0,0,17,0,4.7217,nan,1,0,93.9138,nan,6,2.4619,0,nan,0,nan
serotype_1_67-829_strict_skyline_100_combined,serotype_1_2361-5147_strict_skyline_100_combined,31,0,0,19,0,4.7217,nan,1,0,93.9138,nan,7,1.3818,0,nan,0,nan
serotype_1_67-829_strict_skyline_100_combined,serotype_1_5281-5857_log_constpop_400_combined,31,0,0,20,0,5.1028,nan,1,0,93.9138,nan,9,1.4927,0,nan,0,nan
serotype_1_67-829_strict_skyline_100_combined,serotype_1_5869-7192_strict_skyline_400_combined,31,0,0,20,0,6.3069,nan,1,0,93.9138,nan,7,1.2954,0,nan,0,nan
serotype_1_841-1313_log_expop_400_combined,serotype_1_1325-1601_exp_skyline_400_combined,31,0,0,17,0,4.6111,nan,1,0,55.5895,nan,6,2.2879,0,nan,0,nan
serotype_1_841-1313_log_expop_400_combined,serotype_1_2361-5147_strict_skyline_100_combined,31,0,0,16,0,3.8948,nan,1,0,55.5895,nan,6,2.2879,0,nan,0,nan
serotype_1_841-1313_log_expop_400_combined,serotype_1_5281-5857_log_constpop_400_combined,31,0,0,19,0,4.6854,nan,1,0,55.5895,nan,7,3.1626,0,nan,0,nan
serotype_1_841-1313_log_expop_400_combined,serotype_1_5869-7192_strict_skyline_400_combined,31,0,0,17,0,5.1333,nan,1,0,55.5895,nan,6,2.2879,0,nan,0,nan
serotype_1_1325-1601_exp_skyline_400_combined,serotype_1_2361-5147_strict_skyline_100_combined,31,0,0,16,0,5.4925,nan,1,0,57.9495,nan,5,2.8739,0,nan,0,nan
serotype_1_1325-1601_exp_skyline_400_combined,serotype_1_5281-5857_log_constpop_400_combined,31,0,0,14,0,4.2956,nan,1,0,57.9495,nan,6,1.9371,0,nan,0,nan
serotype_1_1325-1601_exp_skyline_400_combined,serotype_1_5869-7192_strict_skyline_400_combined,31,0,0,13,0,4.888,nan,1,0,57.9495,nan,5,0.5565,0,nan,0,nan
serotype_1_2361-5147_strict_skyline_100_combined,serotype_1_5281-5857_log_constpop_400_combined,31,0,0,16,0,4.8724,nan,1,0,88.6026,nan,7,1.2978,0,nan,0,nan
serotype_1_2361-5147_strict_skyline_100_combined,serotype_1_5869-7192_strict_skyline_400_combined,31,0,0,15,0,6.4217,nan,1,0,88.6026,nan,5,1.2978,0,nan,0,nan
serotype_1_5281-5857_log_constpop_400_combined,serotype_1_5869-7192_strict_skyline_400_combined,31,0,0,17,0,9.1119,nan,1,0,185.572,nan,7,3.0324,0,nan,0,nan
all_serotypes_1330-2896_strict_skyline_100_combined,serotype_1_67-829_strict_skyline_100_combined,75,0,0,0,0,nan,nan,0,0,nan,nan,8,1.1456,0,nan,0,nan
all_serotypes_1330-2896_strict_skyline_100_combined,serotype_1_841-1313_log_expop_400_combined,75,0,0,0,0,nan,nan,0,0,nan,nan,6,2.0358,0,nan,0,nan
all_serotypes_1330-2896_strict_skyline_100_combined,serotype_1_1325-1601_exp_skyline_400_combined,75,0,0,0,0,nan,nan,0,0,nan,nan,7,2.2028,0,nan,0,nan
all_serotypes_1330-2896_strict_skyline_100_combined,serotype_1_2361-5147_strict_skyline_100_combined,75,0,0,0,0,nan,nan,0,0,nan,nan,6,2.0358,0,nan,0,nan
all_serotypes_1330-2896_strict_skyline_100_combined,serotype_1_5281-5857_log_constpop_400_combined,75,0,0,0,0,nan,nan,0,0,nan,nan,7,3.0174,0,nan,0,nan
all_serotypes_1330-2896_strict_skyline_100_combined,serotype_1_5869-7192_strict_skyline_400_combined,75,0,0,0,0,nan,nan,0,0,nan,nan,7,0.7876,0,nan,0,nan
all_serotypes_1330-2896_strict_skyline_100_combined,serotype_4_6048-7191_exp_constpop_combined,75,0,0,0,0,nan,nan,0,0,nan,nan,3,0.7316,0,nan,0,nan
all_serotypes_1330-2896_strict_skyline_100_combined,all_serotypes_2908-4090_log_skyline_combined,75,0,0,40,0,4.8082,nan,1,0,251.443,nan,12,8.1721,0,nan,0,nan
all_serotypes_1330-2896_strict_skyline_100_combined,all_serotypes_3368-4090_strict_expop_100_combined,75,0,0,37,0,5.7131,nan,1,0,251.443,nan,13,6.256,0,nan,0,nan
all_serotypes_2908-4090_log_skyline_combined,serotype_1_67-829_strict_skyline_100_combined,75,0,0,0,0,nan,nan,0,0,nan,nan,6,2.4167,0,nan,0,nan
all_serotypes_2908-4090_log_skyline_combined,serotype_1_841-1313_log_expop_400_combined,75,0,0,0,0,nan,nan,0,0,nan,nan,8,2.1451,0,nan,0,nan
all_serotypes_2908-4090_log_skyline_combined,serotype_1_1325-1601_exp_skyline_400_combined,75,0,0,0,0,nan,nan,0,0,nan,nan,5,3.3101,0,nan,0,nan
all_serotypes_2908-4090_log_skyline_combined,serotype_1_2361-5147_strict_skyline_100_combined,75,0,0,0,0,nan,nan,0,0,nan,nan,9,2.7669,0,nan,0,nan
all_serotypes_2908-4090_log_skyline_combined,serotype_1_5281-5857_log_constpop_400_combined,75,0,0,0,0,nan,nan,0,0,nan,nan,7,1.5233,0,nan,0,nan
all_serotypes_2908-4090_log_skyline_combined,serotype_1_5869-7192_strict_skyline_400_combined,75,0,0,0,0,nan,nan,0,0,nan,nan,5,1.5233,0,nan,0,nan
all_serotypes_2908-4090_log_skyline_combined,serotype_4_6048-7191_exp_constpop_combined,75,0,0,0,0,nan,nan,0,0,nan,nan,3,0.3298,0,nan,0,nan
all_serotypes_2908-4090_log_skyline_combined,all_serotypes_3368-4090_strict_expop_100_combined,75,0,0,50,0,7.1168,nan,1,0,208.0422,nan,15,2.7669,0,nan,0,nan
all_serotypes_3368-4090_strict_expop_100_combined,serotype_1_67-829_strict_skyline_100_combined,75,0,0,0,0,nan,nan,0,0,nan,nan,7,1.5333,0,nan,0,nan
all_serotypes_3368-4090_strict_expop_100_combined,serotype_1_841-1313_log_expop_400_combined,75,0,0,0,0,nan,nan,0,0,nan,nan,7,2.3032,0,nan,0,nan
all_serotypes_3368-4090_strict_expop_100_combined,serotype_1_1325-1601_exp_skyline_400_combined,75,0,0,0,0,nan,nan,0,0,nan,nan,5,3.2196,0,nan,0,nan
all_serotypes_3368-4090_strict_expop_100_combined,serotype_1_2361-5147_strict_skyline_100_combined,75,0,0,0,0,nan,nan,0,0,nan,nan,9,3.2196,0,nan,0,nan
all_serotypes_3368-4090_strict_expop_100_combined,serotype_1_5281-5857_log_constpop_400_combined,75,0,0,0,0,nan,nan,0,0,nan,nan,7,1.5333,0,nan,0,nan
all_serotypes_3368-4090_strict_expop_100_combined,serotype_1_5869-7192_strict_skyline_400_combined,75,0,0,0,0,nan,nan,0,0,nan,nan,5,1.5333,0,nan,0,nan
all_serotypes_3368-4090_strict_expop_100_combined,serotype_4_6048-7191_exp_constpop_combined,75,0,0,0,0,nan,nan,0,0,nan,nan,2,0.3427,0,nan,0,nan
