Sample	posterior	likelihood	prior	treeLikelihood.2	treeLikelihood.3	Tree.height	Tree.treeLength	treeLikelihood.1	rateAC.1	rateAG.1	rateAT.1	rateCG.1	rateGT.1	gammaShape.1	rateAC.2	rateAG.2	rateAT.2	rateCG.2	rateGT.2	freqParameter.2.1	freqParameter.2.2	freqParameter.2.3	freqParameter.2.4	rateAC.3	rateAG.3	rateAT.3	rateCG.3	rateGT.3	freqParameter.3.1	freqParameter.3.2	freqParameter.3.3	freqParameter.3.4	gammaShape.2	gammaShape.3	popSize	CoalescentConstant	freqParameter.1.1	freqParameter.1.2	freqParameter.1.3	freqParameter.1.4	mutationRate.3	mutationRate.1	mutationRate.2	
0	-11918.355746644858	-11434.439278015763	-483.9164686290951	-1866.0472015765793	-7258.950483622638	427.26074750970474	3300.952348915789	-2309.4415928165463	0.0876769520983195	0.06784628437249882	2.5985160846431193E-11	0.03838475865872027	3.992191836756934E-13	0.21317710384368538	0.021643087273906497	0.11321884232428567	0.034047351894941756	0.03022695397471915	1.1721548053065165E-6	0.33481391017320006	0.280120202650585	0.14100468199023747	0.24406120518597751	0.06202739431857439	0.7573526619257342	0.06720484795531753	0.028204020396043444	0.08211883730968447	0.30955014009438775	0.1589918850110679	0.19021488564374173	0.34124308925080277	0.11697018865407807	1.9526080413032698	398.65200626582833	-534.2724021241804	0.2797166810920665	0.18853097744045988	0.3780166809310086	0.15373566053646512	0.001145340482825801	8.410478201545937E-4	0.0010139162031112632	
1	-11919.878104233445	-11430.470607372641	-489.4074968608043	-1867.2566623140685	-7247.464460044094	445.44965950131024	3398.9656248038264	-2315.749485014477	0.06563754286256412	0.09393067975840437	1.2115035567069212E-11	0.017480071706931284	1.0306589742648093E-12	0.15615426632122484	0.031142948296721998	0.09536699357824471	0.020875878107441726	0.03752132437542982	3.7113267191956248E-6	0.3180587881840028	0.28176076718179177	0.1497217017779715	0.25045874285623393	0.04755594674289214	0.7573526619257342	0.08352198353165351	0.012615997406507286	0.08629128417022025	0.285346406105865	0.1802830865510201	0.18284280862251204	0.351527698720603	0.11697018865407807	1.9526080413032698	487.00470022848566	-540.1802491385654	0.28089874608640875	0.18734891244611762	0.3730782765562877	0.15867406491118596	0.001145340482825801	8.410478201545937E-4	0.0010139162031112632	
2	-11920.655301596451	-11424.68210656326	-495.9731950331924	-1873.8766352035789	-7240.808724078202	541.3565067271705	3708.773634878172	-2309.996747281478	0.1170310364254238	0.11276792046195179	3.687552338833143E-11	0.027773982512256667	9.712242361718088E-12	0.15615426632122484	0.032030996686281725	0.055917321738654456	0.01674790628890614	0.018349251645087963	1.3390528830163112E-5	0.3180587881840028	0.2738229596335921	0.15880889693927355	0.24930935524313155	0.04131660951707308	0.7573526619257342	0.08352198353165351	0.012615997406507286	0.08629128417022025	0.29149915664365583	0.1802830865510201	0.18384379562304048	0.34437396118228375	0.11697018865407807	1.3959613887502405	364.94288915360465	-543.7407201865104	0.29299325991966463	0.2010686645352838	0.34726401063386564	0.15867406491118596	0.001145340482825801	8.410478201545937E-4	0.0010139162031112632	
3	-11920.655301596451	-11424.68210656326	-495.9731950331924	-1873.8766352035789	-7240.808724078202	541.3565067271705	3708.773634878172	-2309.996747281478	0.1170310364254238	0.11276792046195179	3.687552338833143E-11	0.027773982512256667	9.712242361718088E-12	0.15615426632122484	0.032030996686281725	0.055917321738654456	0.01674790628890614	0.018349251645087963	1.3390528830163112E-5	0.3180587881840028	0.2738229596335921	0.15880889693927355	0.24930935524313155	0.04131660951707308	0.7573526619257342	0.08352198353165351	0.012615997406507286	0.08629128417022025	0.29149915664365583	0.1802830865510201	0.18384379562304048	0.34437396118228375	0.11697018865407807	1.3959613887502405	364.94288915360465	-543.7407201865104	0.29299325991966463	0.2010686645352838	0.34726401063386564	0.15867406491118596	0.001145340482825801	8.410478201545937E-4	0.0010139162031112632	
4	-11920.655301596451	-11424.68210656326	-495.9731950331924	-1873.8766352035789	-7240.808724078202	541.3565067271705	3708.773634878172	-2309.996747281478	0.1170310364254238	0.11276792046195179	3.687552338833143E-11	0.027773982512256667	9.712242361718088E-12	0.15615426632122484	0.032030996686281725	0.055917321738654456	0.01674790628890614	0.018349251645087963	1.3390528830163112E-5	0.3180587881840028	0.2738229596335921	0.15880889693927355	0.24930935524313155	0.04131660951707308	0.7573526619257342	0.08352198353165351	0.012615997406507286	0.08629128417022025	0.29149915664365583	0.1802830865510201	0.18384379562304048	0.34437396118228375	0.11697018865407807	1.3959613887502405	364.94288915360465	-543.7407201865104	0.29299325991966463	0.2010686645352838	0.34726401063386564	0.15867406491118596	0.001145340482825801	8.410478201545937E-4	0.0010139162031112632	
5	-11911.809099693724	-11424.646798704262	-487.16230098946335	-1869.5658570833061	-7253.5875244885065	451.0127128742526	3290.509778482112	-2301.4934171324494	0.13501917599372742	0.11276792046195179	8.405467085484703E-11	0.0373590127247484	9.78410832309294E-12	0.21484777322618845	0.033949919823743936	0.08053989025261397	0.010507492378867335	0.014058222206051333	2.184839154707278E-5	0.3258633835558603	0.2660183642617346	0.15880889693927355	0.24930935524313155	0.05351397888123504	0.7573526619257342	0.08352198353165351	0.012615997406507286	0.08629128417022025	0.29149915664365583	0.1802830865510201	0.1949703266435247	0.33324743016179953	0.11697018865407807	1.3959613887502405	379.3872528952994	-533.4284000966302	0.28686512975475253	0.20180284707531818	0.33443719050684845	0.17689483266308093	0.001145340482825801	8.410478201545937E-4	0.0010139162031112632	
6	-11918.537310810192	-11424.55263665195	-493.9846741582423	-1866.2836911987768	-7245.178577235249	501.07459317498694	3591.949142615984	-2313.0903682179246	0.09274466286961866	0.11276792046195179	3.521752352439209E-11	0.05734129498458797	1.2067996466164935E-11	0.2137011162956211	0.02755037310413695	0.08053989025261397	0.010507492378867335	0.014058222206051333	5.1443049409280346E-5	0.337126612333876	0.2660183642617346	0.14754566816125786	0.24930935524313155	0.05351397888123504	0.7573526619257342	0.08352198353165351	0.009492157476509347	0.08629128417022025	0.3014589567364516	0.1802830865510201	0.1949703266435247	0.32328763006900374	0.11697018865407807	1.3959613887502405	400.4781371393075	-540.3575235355931	0.28686512975475253	0.20180284707531818	0.330106291452883	0.18122573171704634	0.001145340482825801	8.410478201545937E-4	0.0010139162031112632	
7	-11918.537310810192	-11424.55263665195	-493.9846741582423	-1866.2836911987768	-7245.178577235249	501.07459317498694	3591.949142615984	-2313.0903682179246	0.09274466286961866	0.11276792046195179	3.521752352439209E-11	0.05734129498458797	1.2067996466164935E-11	0.2137011162956211	0.02755037310413695	0.08053989025261397	0.010507492378867335	0.014058222206051333	5.1443049409280346E-5	0.337126612333876	0.2660183642617346	0.14754566816125786	0.24930935524313155	0.05351397888123504	0.7573526619257342	0.08352198353165351	0.009492157476509347	0.08629128417022025	0.3014589567364516	0.1802830865510201	0.1949703266435247	0.32328763006900374	0.11697018865407807	1.3959613887502405	400.4781371393075	-540.3575235355931	0.28686512975475253	0.20180284707531818	0.330106291452883	0.18122573171704634	0.001145340482825801	8.410478201545937E-4	0.0010139162031112632	
8	-11904.900995196394	-11423.666376352343	-481.23461884405094	-1861.584780986735	-7260.575368818264	438.195010912288	3109.9654051843922	-2301.506226547344	0.09274466286961866	0.07550635224350813	2.5293099645454844E-11	0.03178925467625547	1.3403939790724896E-12	0.2137011162956211	0.034285851415040626	0.08986974440217281	0.01697682337962128	0.009557269037379305	2.7054308002713553E-5	0.337126612333876	0.2660183642617346	0.14754566816125786	0.24930935524313155	0.05351397888123504	0.7573526619257342	0.08352198353165351	0.017265018472316495	0.07376457792407087	0.3014589567364516	0.1802830865510201	0.1949703266435247	0.32328763006900374	0.11697018865407807	1.905203104306193	383.6191389646623	-530.278555387982	0.28686512975475253	0.20180284707531818	0.330106291452883	0.18122573171704634	0.001145340482825801	8.410478201545937E-4	0.0010139162031112632	
9	-11918.993086831239	-11419.026103692886	-499.96698313835344	-1873.9609606766126	-7230.134232904966	499.1024420244439	3630.1566792244007	-2314.930910111307	0.10727641855965614	0.07984815211015678	1.0523772875375688E-10	0.039919078044201396	1.3759316067544896E-11	0.2137011162956211	0.0348004195762545	0.04956854023421612	0.011557916082217866	0.0062602601681375596	1.4510523350556208E-4	0.3428852906696753	0.2632329016502286	0.15462331530190365	0.2392584923781924	0.04432000055407426	0.7573526619257342	0.08352198353165351	0.020170690332791237	0.07246173809242486	0.3001313180964428	0.178706445943439	0.19787460589111464	0.32328763006900374	0.11697018865407807	1.905203104306193	501.93432464556247	-544.5995160809374	0.26469227731809974	0.19509992227378306	0.3440812623690003	0.19612653803911695	0.001145340482825801	8.410478201545937E-4	0.0010139162031112632	
