Sample	posterior	likelihood	prior	treeLikelihood.2	treeLikelihood.3	Tree.height	Tree.treeLength	treeLikelihood.1	RateAC-Standard_TIM1.1	RateAG-Standard_TIM1.1	RateAT-Standard_TIM1.1	RateCG-Standard_TIM1.1	RateCT-Standard_TIM1.1	RateGT-Standard_TIM1.1	mutationRate.1	gammaShape.1	mutationRate.2	gammaShape.2	RateAC-Standard_TIM1.2	RateAG-Standard_TIM1.2	RateAT-Standard_TIM1.2	RateCG-Standard_TIM1.2	RateCT-Standard_TIM1.2	RateGT-Standard_TIM1.2	RateAC-Standard_TIM1.3	RateAG-Standard_TIM1.3	RateAT-Standard_TIM1.3	RateCG-Standard_TIM1.3	RateCT-Standard_TIM1.3	RateGT-Standard_TIM1.3	mutationRate.3	gammaShape.3	popSize	CoalescentConstant	clockRate	
0	-8242.829792226281	-7803.774522798473	-439.0552694278081	-1090.2696660371323	-5275.997285335025	170.50591808963637	1295.3884983744142	-1437.5075714263162	0.345827674746926	1.2196839813207683	0.1300993894526397	0.1300993894526397	3.828461890280095	0.345827674746926	0.001	0.12041234811347362	0.001	0.10291643821137271	0.15634129649375955	2.5237841291332024	0.10838594423785164	0.10838594423785164	2.9467613894035822	0.15634129649375955	0.15431818493718397	1.9561597985675354	0.268823131972322	0.268823131972322	3.1975575676134556	0.15431818493718397	0.001	0.9748946941613863	118.06870471097504	-433.08577924898077	1.6858354940798266	
1	-8242.829792226281	-7803.774522798473	-439.0552694278081	-1090.2696660371323	-5275.997285335025	170.50591808963637	1295.3884983744142	-1437.5075714263162	0.345827674746926	1.2196839813207683	0.1300993894526397	0.1300993894526397	3.828461890280095	0.345827674746926	0.001	0.12041234811347362	0.001	0.10291643821137271	0.15634129649375955	2.5237841291332024	0.10838594423785164	0.10838594423785164	2.9467613894035822	0.15634129649375955	0.15431818493718397	1.9561597985675354	0.268823131972322	0.268823131972322	3.1975575676134556	0.15431818493718397	0.001	0.9748946941613863	118.06870471097504	-433.08577924898077	1.6858354940798266	
2	-8254.994577147143	-7803.444992995106	-451.54958415203686	-1096.8165161441254	-5255.73195565906	200.57938571777402	1498.3559651523008	-1450.8965211919206	0.34323262483316946	1.1376245161032805	0.10478790459783323	0.10478790459783323	3.9663344250347086	0.34323262483316946	0.001	0.16113750286928705	0.001	0.10291643821137271	0.15419193797988165	2.5332095345031362	0.167282288195378	0.167282288195378	2.8238420131463506	0.15419193797988165	0.15640086140621445	2.0424954891327913	0.24367544158103782	0.24367544158103782	3.1573519048927072	0.15640086140621445	0.001	0.9748946941613863	149.95560510877218	-445.30029623244667	1.75906258605104	
3	-8263.302595249805	-7790.9802096098065	-472.3223856399974	-1103.2200355817195	-5273.014246158168	243.3810815257561	1866.8718508356278	-1414.7459278699191	0.31711847246870173	1.0225014288500018	0.09555926917643584	0.09555926917643584	4.152143087859717	0.31711847246870173	7.279537432838259E-4	0.12041234811347362	0.0012727367294489563	0.10291643821137271	0.14400706212729214	2.985884592835454	0.07043790350520372	0.07043790350520372	2.585225475899561	0.14400706212729214	0.13341300210293555	2.040869495335037	0.27575723423835274	0.27575723423835274	3.14079003198239	0.13341300210293555	0.001	0.8354585287640882	192.03387550782264	-466.0059265335069	1.337826329179695	
4	-8263.302595249805	-7790.9802096098065	-472.3223856399974	-1103.2200355817195	-5273.014246158168	243.3810815257561	1866.8718508356278	-1414.7459278699191	0.31711847246870173	1.0225014288500018	0.09555926917643584	0.09555926917643584	4.152143087859717	0.31711847246870173	7.279537432838259E-4	0.12041234811347362	0.0012727367294489563	0.10291643821137271	0.14400706212729214	2.985884592835454	0.07043790350520372	0.07043790350520372	2.585225475899561	0.14400706212729214	0.13341300210293555	2.040869495335037	0.27575723423835274	0.27575723423835274	3.14079003198239	0.13341300210293555	0.001	0.8354585287640882	192.03387550782264	-466.0059265335069	1.337826329179695	
5	-8252.221736036177	-7787.88538368944	-464.33635234673824	-1090.2298486835716	-5260.954259474203	213.15394111635214	1693.2516634616195	-1436.7012755316641	0.36982494205524513	1.1593750856974199	0.04087341995083611	0.04087341995083611	4.019228190290412	0.36982494205524513	0.001	0.12041234811347362	0.001	0.10291643821137271	0.13053283637572696	3.0606028462596817	0.0039890701220942765	0.0039890701220942765	2.6703533407446827	0.13053283637572696	0.1448604853988364	2.050835168670493	0.26195275602445506	0.26195275602445506	3.1355383484829273	0.1448604853988364	0.001	0.9748946941613863	148.56242878159074	-458.1371236005152	1.4618825868763705	
6	-8252.221736036177	-7787.88538368944	-464.33635234673824	-1090.2298486835716	-5260.954259474203	213.15394111635214	1693.2516634616195	-1436.7012755316641	0.36982494205524513	1.1593750856974199	0.04087341995083611	0.04087341995083611	4.019228190290412	0.36982494205524513	0.001	0.12041234811347362	0.001	0.10291643821137271	0.13053283637572696	3.0606028462596817	0.0039890701220942765	0.0039890701220942765	2.6703533407446827	0.13053283637572696	0.1448604853988364	2.050835168670493	0.26195275602445506	0.26195275602445506	3.1355383484829273	0.1448604853988364	0.001	0.9748946941613863	148.56242878159074	-458.1371236005152	1.4618825868763705	
7	-8262.912805788805	-7786.644091681555	-476.2687141072491	-1095.7632740221336	-5246.34900889574	255.67418865155247	1917.1045281678669	-1444.5318087636817	0.3271852668523375	0.842126892807043	0.15787296706894463	0.15787296706894463	4.187756639350386	0.3271852668523375	0.001	0.12041234811347362	0.001	0.10291643821137271	0.080196256943221	2.927828501546979	0.09907455371559207	0.09907455371559207	2.7136298771354017	0.080196256943221	0.12732107575004725	1.9653102272221687	0.25680409734565546	0.25680409734565546	3.2664394265864294	0.12732107575004725	0.001	0.9748946941613863	199.34960490238151	-469.7754305348668	1.4649171382133186	
8	-8248.002676119992	-7784.347734216657	-463.6549419033347	-1091.1757909548458	-5261.258471638308	188.66937468894307	1622.9977125192345	-1431.913471623503	0.24551285815504495	0.9121098053884901	0.06879517038658098	0.06879517038658098	4.4592741375282525	0.24551285815504495	0.001	0.13775430094892452	0.001	0.10291643821137271	0.19107629408480004	2.702319637928888	0.0552913905532705	0.0552913905532705	2.8049449927949777	0.19107629408480004	0.160418675774118	1.963125432963274	0.2313839060302224	0.2313839060302224	3.2532694034280487	0.160418675774118	0.001	0.9748946941613863	126.120959695721	-457.60213502597946	1.4618825868763705	
9	-8248.002676119992	-7784.347734216657	-463.6549419033347	-1091.1757909548458	-5261.258471638308	188.66937468894307	1622.9977125192345	-1431.913471623503	0.24551285815504495	0.9121098053884901	0.06879517038658098	0.06879517038658098	4.4592741375282525	0.24551285815504495	0.001	0.13775430094892452	0.001	0.10291643821137271	0.19107629408480004	2.702319637928888	0.0552913905532705	0.0552913905532705	2.8049449927949777	0.19107629408480004	0.160418675774118	1.963125432963274	0.2313839060302224	0.2313839060302224	3.2532694034280487	0.160418675774118	0.001	0.9748946941613863	126.120959695721	-457.60213502597946	1.4618825868763705	
