Sample	posterior	likelihood	prior	treeLikelihood.2	treeLikelihood.3	Tree.height	Tree.treeLength	treeLikelihood.1	clockRate	gammaShape.1	TrNfreqParameter.1.1	TrNfreqParameter.1.2	TrNfreqParameter.1.3	TrNfreqParameter.1.4	RateAC-Standard_TrN.1	RateAG-Standard_TrN.1	RateAT-Standard_TrN.1	RateCG-Standard_TrN.1	RateCT-Standard_TrN.1	RateGT-Standard_TrN.1	mutationRate.1	TrNfreqParameter.2.1	TrNfreqParameter.2.2	TrNfreqParameter.2.3	TrNfreqParameter.2.4	RateAC-Standard_TrN.2	RateAG-Standard_TrN.2	RateAT-Standard_TrN.2	RateCG-Standard_TrN.2	RateCT-Standard_TrN.2	RateGT-Standard_TrN.2	mutationRate.2	gammaShape.2	TrNfreqParameter.3.1	TrNfreqParameter.3.2	TrNfreqParameter.3.3	TrNfreqParameter.3.4	RateAC-Standard_TrN.3	RateAG-Standard_TrN.3	RateAT-Standard_TrN.3	RateCG-Standard_TrN.3	RateCT-Standard_TrN.3	RateGT-Standard_TrN.3	mutationRate.3	gammaShape.3	popSize	CoalescentConstant	
0	-5246.241288614822	-4823.627052094896	-422.6142365199269	-598.9846971640862	-3456.6079099196654	133.88792895316354	1082.1223623787396	-768.0344450111442	1.4100058544390757	0.11031969378076185	0.3114395910757964	0.18481735720034284	0.2646499901545184	0.23909306156934262	0.13266552871644405	3.9792169613052164	0.13266552871644405	0.13266552871644405	1.4901209238290014	0.13266552871644405	7.308524471867353E-4	0.3837427177840006	0.1756152456447281	0.2155573257309877	0.22508471084028334	0.02033760470719993	1.9760086454229615	0.02033760470719993	0.02033760470719993	3.9426409357482486	0.02033760470719993	4.3913399157111035E-4	0.1	0.2849634499006917	0.22607879335054787	0.21647496309665265	0.27248279365210704	0.16485116868886118	2.30607889388609	0.16485116868886118	0.16485116868886118	3.0345164313584636	0.16485116868886118	0.0018300135612421544	1.1805690921681373	80.09873922145775	-416.84008762008426	
1	-5266.903465543804	-4819.941369377466	-446.9620961663377	-599.0729693816248	-3449.586252230344	193.69097677112688	1462.195600247194	-771.282147765497	1.1553494227803358	0.11031969378076185	0.28187779889626396	0.18756119529037119	0.26784326434611694	0.26271774146724824	0.11311895605745931	4.150325365898521	0.11311895605745931	0.11311895605745931	1.3971988098716372	0.11311895605745931	7.308524471867353E-4	0.4014036864256109	0.18464178120398642	0.17626106069008404	0.23769347168031837	0.026048651670418418	1.8920170245885377	0.026048651670418418	0.026048651670418418	4.003788368729799	0.026048651670418418	4.3913399157111035E-4	0.1	0.27797905097261694	0.2243552448292691	0.20790763300353848	0.289758071194575	0.1880398069158391	1.952493166471001	0.1880398069158391	0.1880398069158391	3.29534760586564	0.1880398069158391	0.0018300135612421544	1.1805690921681373	136.89369113386542	-440.6520027329118	
2	-5243.596250938961	-4813.527730303058	-430.0685206359035	-601.3141923513192	-3440.8162204558685	140.78673640161554	1197.195780929539	-771.3973174958704	1.5754052895713586	0.11031969378076185	0.2842546998996436	0.184917635680031	0.27869403720575575	0.25213362721456983	0.13953556795984934	3.610380527889153	0.13953556795984934	0.13953556795984934	1.8314772002714463	0.13953556795984934	7.308524471867353E-4	0.3851912459408753	0.20498176122549444	0.15540268436581697	0.254424308467813	0.016954332591989064	2.2792927231396707	0.016954332591989064	0.016954332591989064	3.6528899464923823	0.016954332591989064	4.3913399157111035E-4	0.1	0.2887727601359549	0.21482364885434502	0.205520029107432	0.2908835619022676	0.1919991288624731	2.278558297597453	0.1919991288624731	0.1919991288624731	2.953445186952652	0.1919991288624731	0.0018300135612421544	1.2807978369295936	104.26898113782099	-423.93042918782305	
3	-5251.565257239501	-4813.420470056761	-438.1447871827404	-596.695152622666	-3450.1003032287726	182.95364092510968	1314.7571455862978	-766.625014205322	1.4016662527345463	0.11031969378076185	0.3042342699273474	0.1997701541303142	0.23331755902226525	0.2626780169200733	0.14568829802330974	3.3383710488526996	0.14568829802330974	0.14568829802330974	2.078875759054057	0.14568829802330974	7.308524471867353E-4	0.3841573527434519	0.19344781771996597	0.1579010111575983	0.26449381837898345	0.024113209049985845	1.8557110735643605	0.024113209049985845	0.024113209049985845	4.047836090235706	0.024113209049985845	4.3913399157111035E-4	0.1	0.29843687280405923	0.21032069057477254	0.21508083128871489	0.276161605332453	0.1670126194363896	2.335040936335846	0.1670126194363896	0.1670126194363896	2.9969085859185935	0.1670126194363896	0.0018300135612421544	1.1805690921681373	131.09393754883433	-431.8779842500443	
4	-5251.565257239501	-4813.420470056761	-438.1447871827404	-596.695152622666	-3450.1003032287726	182.95364092510968	1314.7571455862978	-766.625014205322	1.4016662527345463	0.11031969378076185	0.3042342699273474	0.1997701541303142	0.23331755902226525	0.2626780169200733	0.14568829802330974	3.3383710488526996	0.14568829802330974	0.14568829802330974	2.078875759054057	0.14568829802330974	7.308524471867353E-4	0.3841573527434519	0.19344781771996597	0.1579010111575983	0.26449381837898345	0.024113209049985845	1.8557110735643605	0.024113209049985845	0.024113209049985845	4.047836090235706	0.024113209049985845	4.3913399157111035E-4	0.1	0.29843687280405923	0.21032069057477254	0.21508083128871489	0.276161605332453	0.1670126194363896	2.335040936335846	0.1670126194363896	0.1670126194363896	2.9969085859185935	0.1670126194363896	0.0018300135612421544	1.1805690921681373	131.09393754883433	-431.8779842500443	
5	-5251.565257239501	-4813.420470056761	-438.1447871827404	-596.695152622666	-3450.1003032287726	182.95364092510968	1314.7571455862978	-766.625014205322	1.4016662527345463	0.11031969378076185	0.3042342699273474	0.1997701541303142	0.23331755902226525	0.2626780169200733	0.14568829802330974	3.3383710488526996	0.14568829802330974	0.14568829802330974	2.078875759054057	0.14568829802330974	7.308524471867353E-4	0.3841573527434519	0.19344781771996597	0.1579010111575983	0.26449381837898345	0.024113209049985845	1.8557110735643605	0.024113209049985845	0.024113209049985845	4.047836090235706	0.024113209049985845	4.3913399157111035E-4	0.1	0.29843687280405923	0.21032069057477254	0.21508083128871489	0.276161605332453	0.1670126194363896	2.335040936335846	0.1670126194363896	0.1670126194363896	2.9969085859185935	0.1670126194363896	0.0018300135612421544	1.1805690921681373	131.09393754883433	-431.8779842500443	
6	-5238.101861523657	-4812.000145655206	-426.1017158684508	-596.1376170825749	-3456.2913966788396	163.97685733173964	1191.6235098128714	-759.5711318937916	1.4016662527345463	0.11031969378076185	0.30625337831865296	0.20676722415948282	0.2445363486767089	0.24244304884515547	0.19292412500192374	3.10559406768132	0.19292412500192374	0.19292412500192374	2.1227094323109807	0.19292412500192374	7.308524471867353E-4	0.3931264839305537	0.18915621112219552	0.15465168987549824	0.2630656150717522	0.03408577326429877	1.7892800196683087	0.03408577326429877	0.03408577326429877	4.074376887274506	0.03408577326429877	4.3913399157111035E-4	0.1	0.30164040662999314	0.18614879521766106	0.20774016015897268	0.3044706379933728	0.17462802610375025	2.485897191295594	0.17462802610375025	0.17462802610375025	2.815590704289403	0.17462802610375025	0.0018300135612421544	1.1805690921681373	102.52441772130028	-420.0807260906225	
7	-5225.949652090174	-4811.058144276322	-414.8915078138519	-598.7528226783752	-3443.2000514384035	124.78329988616252	1011.4741573645422	-769.1052701595434	1.6760746400387245	0.11031969378076185	0.3115845452028632	0.18808399277221308	0.22415584989917006	0.2761756121257538	0.15941124062309595	3.4122321932624957	0.15941124062309595	0.15941124062309595	1.9501228442451155	0.15941124062309595	7.308524471867353E-4	0.41413236214402954	0.15923449557088182	0.16097118557633616	0.2656619567087522	0.048298134164640225	2.2085639745095915	0.048298134164640225	0.048298134164640225	3.5982434888318564	0.048298134164640225	4.3913399157111035E-4	0.1	0.2939459225604996	0.2015547469412324	0.2095879720723864	0.2949113584258812	0.20224712979797452	2.0026899177471886	0.20224712979797452	0.20224712979797452	3.1883215630609114	0.20224712979797452	0.0018300135612421544	1.7995590287540872	79.83747017741963	-408.50163614597045	
8	-5251.8462585817015	-4810.322788688249	-441.52346989345256	-600.0121783877305	-3442.687111069278	188.13947806911435	1408.8289365583762	-767.6234992312397	1.3757799055188717	0.11031969378076185	0.3186180989066906	0.17826909463325263	0.2541455973100889	0.24896720914996803	0.12396582896874231	3.499986136630123	0.12396582896874231	0.12396582896874231	2.0041505474949024	0.12396582896874231	7.308524471867353E-4	0.4267637949946945	0.15680772671453427	0.14649065839411646	0.2699378198966545	0.025352404639189537	2.179326027887277	0.025352404639189537	0.025352404639189537	3.7192643535559737	0.025352404639189537	4.3913399157111035E-4	0.1	0.3014658810794132	0.20506945892861114	0.19858233683383528	0.29488232315813995	0.13595562143072268	1.9296200336673093	0.13595562143072268	0.13595562143072268	3.526557480609798	0.13595562143072268	0.0018300135612421544	1.1805690921681373	115.378590763495	-435.3843622926211	
9	-5240.881256256844	-4807.105328437923	-433.77592781892037	-598.8147830957631	-3444.033782291076	163.89462785692405	1271.1300182542102	-764.2567630510839	1.3216213116930278	0.11031969378076185	0.31205727362329877	0.1607359022916629	0.2388474673727774	0.28835935671226104	0.1507219340670251	3.0909621527625117	0.1507219340670251	0.1507219340670251	2.3061501109693823	0.1507219340670251	7.308524471867353E-4	0.41675773009837325	0.19740885594428642	0.1509053440269141	0.23492806993042611	0.03223635229581114	2.4871857210697867	0.03223635229581114	0.03223635229581114	3.3838688697469776	0.03223635229581114	4.3913399157111035E-4	0.1	0.3092613855364395	0.20410184986281685	0.18739506469310724	0.299241699907636	0.18057063044886426	2.3730402544360474	0.18057063044886426	0.18057063044886426	2.904677223768493	0.18057063044886426	0.0018300135612421544	1.1635216709167713	99.21810536351562	-427.80476594284045	
