Sample	posterior	likelihood	prior	treeLikelihood.2	treeLikelihood.3	Tree.height	Tree.treeLength	treeLikelihood.1	gammaShape.1	TrNfreqParameter.1.1	TrNfreqParameter.1.2	TrNfreqParameter.1.3	TrNfreqParameter.1.4	RateAC-Standard_TrN.1	RateAG-Standard_TrN.1	RateAT-Standard_TrN.1	RateCG-Standard_TrN.1	RateCT-Standard_TrN.1	RateGT-Standard_TrN.1	mutationRate.1	TrNfreqParameter.2.1	TrNfreqParameter.2.2	TrNfreqParameter.2.3	TrNfreqParameter.2.4	RateAC-Standard_TrN.2	RateAG-Standard_TrN.2	RateAT-Standard_TrN.2	RateCG-Standard_TrN.2	RateCT-Standard_TrN.2	RateGT-Standard_TrN.2	mutationRate.2	gammaShape.2	TrNfreqParameter.3.1	TrNfreqParameter.3.2	TrNfreqParameter.3.3	TrNfreqParameter.3.4	RateAC-Standard_TrN.3	RateAG-Standard_TrN.3	RateAT-Standard_TrN.3	RateCG-Standard_TrN.3	RateCT-Standard_TrN.3	RateGT-Standard_TrN.3	mutationRate.3	gammaShape.3	popSize	CoalescentConstant	
0	-5296.430249731828	-4798.806887908909	-497.6233618229186	-583.2884537822372	-3445.970525686019	204.2301067715737	1731.4758252705853	-769.5479084406525	0.1	0.33472072546895915	0.19563186368297633	0.27166681340846344	0.1979805974396005	0.11663850282449877	3.103415049352186	0.11663850282449877	0.11663850282449877	2.4300309393498227	0.11663850282449877	0.001	0.4667505245972978	0.15987364973954687	0.17916730821510596	0.1942085174480493	0.02193661357475979	2.767040592101868	0.02193661357475979	0.02193661357475979	3.145212953599083	0.02193661357475979	1.2360750121398392E-4	0.1584041167621813	0.27459626827906525	0.22628207192063193	0.1753084227991447	0.32381323700115755	0.20575210809511604	2.158656251497112	0.20575210809511604	0.20575210809511604	3.0183353161224153	0.20575210809511604	0.0018763924987860161	0.911928749388316	251.76581829425035	-490.9245295937997	
1	-5300.534356052576	-4789.677217184427	-510.8571388681496	-577.9714274319612	-3440.6099488244217	221.7327156775369	1917.2725209433868	-771.0958409280439	0.1	0.30661483800321665	0.20592338725634052	0.2845009691028397	0.20296080563760263	0.12759546199775518	3.213141827742926	0.12759546199775518	0.12759546199775518	2.2764763242660564	0.12759546199775518	0.001	0.42729098357602946	0.18889985364127787	0.1683062206425039	0.21550294214018872	0.03920532424219501	2.843473352741945	0.03920532424219501	0.03920532424219501	2.9997053502892648	0.03920532424219501	1.2360750121398392E-4	0.12063603261517827	0.2831709522218627	0.22381818219250954	0.18015348444041845	0.31285738114520867	0.19474497594330129	2.3916592869033653	0.19474497594330129	0.19474497594330129	2.8293608093234206	0.19474497594330129	0.0018763924987860161	1.2061619138054671	304.06463043020574	-503.71310064281954	
2	-5289.926318545391	-4789.091243921079	-500.8350746243122	-577.9517909677661	-3439.659527007085	215.73315910778055	1805.5266565142565	-771.4799259462272	0.1	0.29947147780418926	0.21623455524724858	0.2848445395724607	0.1994494273761009	0.18575146921914557	2.927450108488319	0.18575146921914557	0.18575146921914557	2.3295440146351014	0.18575146921914557	0.001	0.43015315412599353	0.1961530062685937	0.16537221690268258	0.2083216227027302	0.06345377307919617	2.843473352741945	0.06345377307919617	0.06345377307919617	2.90271155494126	0.06345377307919617	1.2360750121398392E-4	0.12063603261517827	0.2754077117255887	0.2154882681539585	0.1905803632865909	0.31852365683386136	0.19474497594330129	2.3916592869033653	0.19474497594330129	0.19474497594330129	2.8293608093234206	0.19474497594330129	0.0018763924987860161	1.6613920868829104	215.07868653399532	-493.5820425597631	
3	-5291.347583141693	-4786.396701800621	-504.9508813410719	-578.6663378005576	-3439.858585524157	166.34935340485265	1673.1263041828663	-767.8717784759056	0.1	0.3035211288616734	0.22071343296930973	0.2809169868023055	0.1948484513667108	0.17843575575238632	3.0257581118228334	0.17843575575238632	0.17843575575238632	2.2604988651676243	0.17843575575238632	0.001	0.4517823719464584	0.19328768256274662	0.1560086262804224	0.19892131921037257	0.06345377307919617	2.8505042673401118	0.06345377307919617	0.06345377307919617	2.8956806403430932	0.06345377307919617	1.2360750121398392E-4	0.1094981571926819	0.26890029085002537	0.21137101696749908	0.1905803632865909	0.32914832889588413	0.19474497594330129	2.344303818495374	0.19474497594330129	0.19474497594330129	2.8767162777314117	0.19474497594330129	0.0018763924987860161	1.6613920868829104	326.4105068827528	-497.2918352842199	
4	-5291.347583141693	-4786.396701800621	-504.9508813410719	-578.6663378005576	-3439.858585524157	166.34935340485265	1673.1263041828663	-767.8717784759056	0.1	0.3035211288616734	0.22071343296930973	0.2809169868023055	0.1948484513667108	0.17843575575238632	3.0257581118228334	0.17843575575238632	0.17843575575238632	2.2604988651676243	0.17843575575238632	0.001	0.4517823719464584	0.19328768256274662	0.1560086262804224	0.19892131921037257	0.06345377307919617	2.8505042673401118	0.06345377307919617	0.06345377307919617	2.8956806403430932	0.06345377307919617	1.2360750121398392E-4	0.1094981571926819	0.26890029085002537	0.21137101696749908	0.1905803632865909	0.32914832889588413	0.19474497594330129	2.344303818495374	0.19474497594330129	0.19474497594330129	2.8767162777314117	0.19474497594330129	0.0018763924987860161	1.6613920868829104	326.4105068827528	-497.2918352842199	
5	-5291.347583141693	-4786.396701800621	-504.9508813410719	-578.6663378005576	-3439.858585524157	166.34935340485265	1673.1263041828663	-767.8717784759056	0.1	0.3035211288616734	0.22071343296930973	0.2809169868023055	0.1948484513667108	0.17843575575238632	3.0257581118228334	0.17843575575238632	0.17843575575238632	2.2604988651676243	0.17843575575238632	0.001	0.4517823719464584	0.19328768256274662	0.1560086262804224	0.19892131921037257	0.06345377307919617	2.8505042673401118	0.06345377307919617	0.06345377307919617	2.8956806403430932	0.06345377307919617	1.2360750121398392E-4	0.1094981571926819	0.26890029085002537	0.21137101696749908	0.1905803632865909	0.32914832889588413	0.19474497594330129	2.344303818495374	0.19474497594330129	0.19474497594330129	2.8767162777314117	0.19474497594330129	0.0018763924987860161	1.6613920868829104	326.4105068827528	-497.2918352842199	
6	-5291.347583141693	-4786.396701800621	-504.9508813410719	-578.6663378005576	-3439.858585524157	166.34935340485265	1673.1263041828663	-767.8717784759056	0.1	0.3035211288616734	0.22071343296930973	0.2809169868023055	0.1948484513667108	0.17843575575238632	3.0257581118228334	0.17843575575238632	0.17843575575238632	2.2604988651676243	0.17843575575238632	0.001	0.4517823719464584	0.19328768256274662	0.1560086262804224	0.19892131921037257	0.06345377307919617	2.8505042673401118	0.06345377307919617	0.06345377307919617	2.8956806403430932	0.06345377307919617	1.2360750121398392E-4	0.1094981571926819	0.26890029085002537	0.21137101696749908	0.1905803632865909	0.32914832889588413	0.19474497594330129	2.344303818495374	0.19474497594330129	0.19474497594330129	2.8767162777314117	0.19474497594330129	0.0018763924987860161	1.6613920868829104	326.4105068827528	-497.2918352842199	
7	-5291.347583141693	-4786.396701800621	-504.9508813410719	-578.6663378005576	-3439.858585524157	166.34935340485265	1673.1263041828663	-767.8717784759056	0.1	0.3035211288616734	0.22071343296930973	0.2809169868023055	0.1948484513667108	0.17843575575238632	3.0257581118228334	0.17843575575238632	0.17843575575238632	2.2604988651676243	0.17843575575238632	0.001	0.4517823719464584	0.19328768256274662	0.1560086262804224	0.19892131921037257	0.06345377307919617	2.8505042673401118	0.06345377307919617	0.06345377307919617	2.8956806403430932	0.06345377307919617	1.2360750121398392E-4	0.1094981571926819	0.26890029085002537	0.21137101696749908	0.1905803632865909	0.32914832889588413	0.19474497594330129	2.344303818495374	0.19474497594330129	0.19474497594330129	2.8767162777314117	0.19474497594330129	0.0018763924987860161	1.6613920868829104	326.4105068827528	-497.2918352842199	
8	-5291.347583141693	-4786.396701800621	-504.9508813410719	-578.6663378005576	-3439.858585524157	166.34935340485265	1673.1263041828663	-767.8717784759056	0.1	0.3035211288616734	0.22071343296930973	0.2809169868023055	0.1948484513667108	0.17843575575238632	3.0257581118228334	0.17843575575238632	0.17843575575238632	2.2604988651676243	0.17843575575238632	0.001	0.4517823719464584	0.19328768256274662	0.1560086262804224	0.19892131921037257	0.06345377307919617	2.8505042673401118	0.06345377307919617	0.06345377307919617	2.8956806403430932	0.06345377307919617	1.2360750121398392E-4	0.1094981571926819	0.26890029085002537	0.21137101696749908	0.1905803632865909	0.32914832889588413	0.19474497594330129	2.344303818495374	0.19474497594330129	0.19474497594330129	2.8767162777314117	0.19474497594330129	0.0018763924987860161	1.6613920868829104	326.4105068827528	-497.2918352842199	
9	-5290.417994200043	-4786.391956811218	-504.02603738882476	-578.9759218285595	-3437.8758890312433	246.90090140974465	1950.2783474527748	-769.5401459514146	0.1	0.31111682731784174	0.2105365580806457	0.2809169868023055	0.19742962779920648	0.10911044509723188	3.1849328999717814	0.10911044509723188	0.10911044509723188	2.378625319639294	0.10911044509723188	0.001	0.4388930169018409	0.19111365326427637	0.16010505440372502	0.20988827543015773	0.007620193457591885	2.992464083430416	0.007620193457591885	0.007620193457591885	2.9770551427392062	0.007620193457591885	1.2360750121398392E-4	0.1094981571926819	0.25695178233926197	0.2156920147978011	0.195768526729436	0.3315876761335004	0.14518165884483722	2.344303818495374	0.14518165884483722	0.14518165884483722	3.074969546125268	0.14518165884483722	0.0018763924987860161	1.1477560112723402	272.12613190119805	-497.06251754132376	
