Model selection results for subset: 5afa913af9ba25a45c21456f2683a891
Subset alignment stored here: ./analysis/phylofiles/5afa913af9ba25a45c21456f2683a891.phy
This subset contains the following data_blocks: Gene1_pos3
Number of columns in subset: 522
Models are organised according to their AICc scores

Model           | Parameters      | lnL             | AICc             | AIC             | BIC            
GTR+I+G         | 10              | -7135.2124      | 14290.855        | 14290.425       | 14333.002      
TRN+I+G         | 7               | -7142.712       | 14299.642        | 14299.424       | 14329.228      
TIM+I+G         | 8               | -7142.328       | 14300.937        | 14300.656       | 14334.718      
GTR+G           | 9               | -7141.784       | 14301.92         | 14301.568       | 14339.888      
TRN+G           | 6               | -7149.0337      | 14310.23         | 14310.067       | 14335.613      
TIM+G           | 7               | -7148.7124      | 14311.643        | 14311.425       | 14341.229      
TVM+I+G         | 9               | -7148.252       | 14314.855        | 14314.504       | 14352.823      
HKY+I+G         | 6               | -7155.8423      | 14323.848        | 14323.685       | 14349.23       
TVM+G           | 8               | -7154.118       | 14324.517        | 14324.236       | 14358.298      
K81UF+I+G       | 7               | -7155.454       | 14325.126        | 14324.908       | 14354.712      
HKY+G           | 5               | -7161.5938      | 14333.304        | 14333.1875      | 14354.476      
K81UF+G         | 6               | -7161.279       | 14334.721        | 14334.558       | 14360.104      
GTR+I           | 9               | -7164.7725      | 14347.896        | 14347.545       | 14385.864      
TRN+I           | 6               | -7172.8364      | 14357.836        | 14357.673       | 14383.219      
TIM+I           | 7               | -7172.354       | 14358.926        | 14358.708       | 14388.512      
TVM+I           | 8               | -7179.704       | 14375.688        | 14375.408       | 14409.47       
HKY+I           | 5               | -7187.396       | 14384.908        | 14384.792       | 14406.08       
K81UF+I         | 6               | -7186.9067      | 14385.977        | 14385.813       | 14411.359      
SYM+I+G         | 7               | -7195.493       | 14405.204        | 14404.986       | 14434.79       
SYM+G           | 6               | -7200.257       | 14412.677        | 14412.514       | 14438.06       
TVMEF+I+G       | 6               | -7206.2773      | 14424.718        | 14424.555       | 14450.101      
TVMEF+G         | 5               | -7208.8203      | 14427.757        | 14427.641       | 14448.929      
GTR             | 8               | -7214.7         | 14445.681        | 14445.4         | 14479.462      
TRNEF+I+G       | 4               | -7221.671       | 14451.419        | 14451.342       | 14468.372      
TRN             | 5               | -7221.144       | 14452.404        | 14452.288       | 14473.576      
TIMEF+I+G       | 5               | -7221.5073      | 14453.131        | 14453.015       | 14474.303      
TIM             | 6               | -7220.7183      | 14453.6          | 14453.437       | 14478.982      
TRNEF+G         | 3               | -7226.975       | 14459.996        | 14459.95        | 14472.724      
TIMEF+G         | 4               | -7226.7725      | 14461.622        | 14461.545       | 14478.575      
K80+I+G         | 3               | -7232.1553      | 14470.356        | 14470.311       | 14483.084      
K81+I+G         | 4               | -7231.972       | 14472.021        | 14471.944       | 14488.975      
TVM             | 7               | -7229.1797      | 14472.577        | 14472.359       | 14502.163      
K80+G           | 2               | -7235.218       | 14474.459        | 14474.436       | 14482.951      
K81+G           | 3               | -7235.004       | 14476.054        | 14476.008       | 14488.781      
HKY             | 4               | -7235.502       | 14479.081        | 14479.004       | 14496.034      
K81UF           | 5               | -7235.0693      | 14480.255        | 14480.139       | 14501.427      
SYM+I           | 6               | -7238.406       | 14488.975        | 14488.812       | 14514.357      
TVMEF+I         | 5               | -7252.8027      | 14515.722        | 14515.605       | 14536.894      
TRNEF+I         | 3               | -7258.577       | 14523.2          | 14523.154       | 14535.928      
TIMEF+I         | 4               | -7258.546       | 14525.169        | 14525.092       | 14542.122      
K80+I           | 2               | -7272.7905      | 14549.6045       | 14549.581       | 14558.097      
K81+I           | 3               | -7272.7515      | 14551.549        | 14551.503       | 14564.276      
SYM             | 5               | -7301.3955      | 14612.907        | 14612.791       | 14634.079      
TVMEF           | 4               | -7310.1343      | 14628.346        | 14628.269       | 14645.299      
TRNEF           | 2               | -7318.6636      | 14641.351        | 14641.327       | 14649.843      
TIMEF           | 3               | -7318.6094      | 14643.265        | 14643.219       | 14655.992      
K80             | 1               | -7327.432       | 14656.872        | 14656.864       | 14661.122      
K81             | 2               | -7327.361       | 14658.745        | 14658.722       | 14667.237      
F81+I+G         | 5               | -8097.831       | 16205.778        | 16205.662       | 16226.95       
JC+I+G          | 2               | -8101.3774      | 16206.778        | 16206.755       | 16215.2705     
JC+G            | 1               | -8103.924       | 16209.855        | 16209.848       | 16214.105      
F81+G           | 4               | -8101.5195      | 16211.116        | 16211.039       | 16228.069      
F81+I           | 4               | -8126.43        | 16260.9375       | 16260.86        | 16277.891      
JC+I            | 1               | -8137.3955      | 16276.799        | 16276.791       | 16281.049      
F81             | 3               | -8171.856       | 16349.758        | 16349.712       | 16362.485      
JC              | 0               | -8185.3647      | 16370.7295       | 16370.7295      | 16370.7295     
