Model selection results for subset: 5ef12ee5f2da6ea4d7e3dfce6bbbd288
Subset alignment stored here: ./analysis/phylofiles/5ef12ee5f2da6ea4d7e3dfce6bbbd288.phy
This subset contains the following data_blocks: Gene1_pos2
Number of columns in subset: 522
Models are organised according to their AICc scores

Model           | Parameters      | lnL             | AICc             | AIC             | BIC            
TIM+G           | 7               | -1778.6758      | 3571.5696        | 3571.3516       | 3601.1553      
TIM+I+G         | 8               | -1778.0214      | 3572.3235        | 3572.0427       | 3606.104       
TRN+G           | 6               | -1780.1478      | 3572.4587        | 3572.2957       | 3597.8416      
TRN+I+G         | 7               | -1779.4652      | 3573.1484        | 3572.9304       | 3602.7341      
GTR+G           | 9               | -1777.93        | 3574.2117        | 3573.86         | 3612.1792      
GTR+I+G         | 10              | -1777.2883      | 3575.007         | 3574.5767       | 3617.1533      
K81UF+G         | 6               | -1789.49        | 3591.143         | 3590.98         | 3616.526       
K81UF+I+G       | 7               | -1788.7546      | 3591.7273        | 3591.5093       | 3621.313       
HKY+G           | 5               | -1790.9708      | 3592.0579        | 3591.9417       | 3613.23        
HKY+I+G         | 6               | -1790.1736      | 3592.5103        | 3592.3472       | 3617.893       
TVM+G           | 8               | -1788.9237      | 3594.1282        | 3593.8474       | 3627.9087      
TVM+I+G         | 9               | -1788.2217      | 3594.795         | 3594.4434       | 3632.7625      
SYM+G           | 6               | -1813.4333      | 3639.0298        | 3638.8667       | 3664.4126      
SYM+I+G         | 7               | -1812.9952      | 3640.2085        | 3639.9905       | 3669.7942      
TIMEF+G         | 4               | -1817.7256      | 3643.5286        | 3643.4512       | 3660.482       
TIMEF+I+G       | 5               | -1817.2423      | 3644.6008        | 3644.4846       | 3665.773       
TRNEF+G         | 3               | -1819.5538      | 3645.154         | 3645.1077       | 3657.8806      
TRNEF+I+G       | 4               | -1819.053       | 3646.1833        | 3646.106        | 3663.1367      
TIM+I           | 7               | -1820.1045      | 3654.427         | 3654.209        | 3684.0127      
TRN+I           | 6               | -1821.597       | 3655.3572        | 3655.194        | 3680.74        
GTR+I           | 9               | -1819.2446      | 3656.8408        | 3656.4893       | 3694.8083      
K81UF+I         | 6               | -1828.6982      | 3669.5596        | 3669.3965       | 3694.9424      
HKY+I           | 5               | -1830.2067      | 3670.5295        | 3670.4133       | 3691.7017      
TVM+I           | 8               | -1827.8994      | 3672.0796        | 3671.7988       | 3705.86        
TVMEF+G         | 5               | -1832.0823      | 3674.2808        | 3674.1646       | 3695.453       
TVMEF+I+G       | 6               | -1831.7279      | 3675.619         | 3675.4558       | 3701.0017      
K81+G           | 3               | -1837.1774      | 3680.4011        | 3680.3547       | 3693.1277      
K81+I+G         | 4               | -1836.8743      | 3681.826         | 3681.7485       | 3698.7793      
K80+G           | 2               | -1839.0658      | 3682.1548        | 3682.1316       | 3690.647       
K80+I+G         | 3               | -1838.7288      | 3683.504         | 3683.4575       | 3696.2305      
SYM+I           | 6               | -1853.9807      | 3720.1245        | 3719.9614       | 3745.5073      
TIMEF+I         | 4               | -1858.7593      | 3725.596         | 3725.5186       | 3742.5493      
TRNEF+I         | 3               | -1860.6958      | 3727.438         | 3727.3916       | 3740.1646      
TVMEF+I         | 5               | -1870.1853      | 3750.4868        | 3750.3706       | 3771.659       
F81+G           | 4               | -1872.5657      | 3753.2087        | 3753.1313       | 3770.162       
F81+I+G         | 5               | -1872.247       | 3754.61          | 3754.494        | 3775.7822      
K81+I           | 3               | -1875.1909      | 3756.4282        | 3756.3818       | 3769.1548      
K80+I           | 2               | -1877.1167      | 3758.2566        | 3758.2334       | 3766.7488      
JC+G            | 1               | -1905.7041      | 3813.416         | 3813.4082       | 3817.6658      
JC+I+G          | 2               | -1905.5146      | 3815.0525        | 3815.0293       | 3823.5447      
F81+I           | 4               | -1910.6998      | 3829.477         | 3829.3997       | 3846.4304      
GTR             | 8               | -1910.1633      | 3836.6074        | 3836.3267       | 3870.388       
TIM             | 6               | -1912.6465      | 3837.456         | 3837.293        | 3862.8389      
TRN             | 5               | -1914.7162      | 3839.5486        | 3839.4324       | 3860.7207      
TVM             | 7               | -1917.8887      | 3849.9954        | 3849.7773       | 3879.581       
K81UF           | 5               | -1920.3759      | 3850.868         | 3850.7517       | 3872.04        
HKY             | 4               | -1922.426       | 3852.9294        | 3852.852        | 3869.8828      
JC+I            | 1               | -1943.6351      | 3889.278         | 3889.2703       | 3893.5278      
SYM             | 5               | -1941.3406      | 3892.7974        | 3892.6812       | 3913.9695      
TIMEF           | 3               | -1948.2511      | 3902.5486        | 3902.5022       | 3915.2751      
TRNEF           | 2               | -1950.1088      | 3904.2407        | 3904.2175       | 3912.733       
TVMEF           | 4               | -1953.5243      | 3915.126         | 3915.0486       | 3932.0793      
K81             | 2               | -1960.4203      | 3924.8638        | 3924.8406       | 3933.356       
K80             | 1               | -1962.246       | 3926.4998        | 3926.492        | 3930.7495      
F81             | 3               | -1995.5133      | 3997.073         | 3997.0266       | 4009.7996      
JC              | 0               | -2025.8035      | 4051.607         | 4051.607        | 4051.607       
