Model selection results for subset: d64fd84adf84aa5355f26f4a6dff5996
Subset alignment stored here: ./analysis/phylofiles/d64fd84adf84aa5355f26f4a6dff5996.phy
This subset contains the following data_blocks: Gene1_pos1
Number of columns in subset: 523
Models are organised according to their AICc scores

Model           | Parameters      | lnL             | AICc             | AIC             | BIC            
GTR+G           | 9               | -2172.7036      | 4363.7583        | 4363.407        | 4401.7437      
GTR+I+G         | 10              | -2172.7048      | 4365.8394        | 4365.4097       | 4408.0054      
TIM+G           | 7               | -2179.081       | 4372.3794        | 4372.162        | 4401.979       
TRN+G           | 6               | -2180.8567      | 4373.876         | 4373.7134       | 4399.271       
TIM+I+G         | 8               | -2179.0789      | 4374.438         | 4374.1577       | 4408.2344      
TRN+I+G         | 7               | -2180.8582      | 4375.9336        | 4375.7163       | 4405.533       
SYM+G           | 6               | -2203.5825      | 4419.3276        | 4419.165        | 4444.7227      
TIMEF+G         | 4               | -2206.3418      | 4420.7607        | 4420.6836       | 4437.7217      
TRNEF+G         | 3               | -2207.6526      | 4421.3516        | 4421.305        | 4434.084       
SYM+I+G         | 7               | -2203.5837      | 4421.385         | 4421.1675       | 4450.9844      
TIMEF+I+G       | 5               | -2206.3423      | 4422.801         | 4422.6846       | 4443.9824      
TVM+I+G         | 9               | -2202.4673      | 4423.2856        | 4422.9346       | 4461.271       
TRNEF+I+G       | 4               | -2207.654       | 4423.3853        | 4423.308        | 4440.346       
TVM+G           | 8               | -2203.7058      | 4423.692         | 4423.4116       | 4457.4883      
TVMEF+G         | 5               | -2210.3147      | 4430.7456        | 4430.6294       | 4451.9272      
K81UF+I+G       | 7               | -2208.5269      | 4431.271         | 4431.0537       | 4460.8706      
K81+G           | 3               | -2212.8186      | 4431.6836        | 4431.637        | 4444.416       
K81UF+G         | 6               | -2209.833       | 4431.8286        | 4431.666        | 4457.2236      
TVMEF+I+G       | 6               | -2209.8804      | 4431.9233        | 4431.7607       | 4457.3184      
K80+G           | 2               | -2214.1104      | 4432.2437        | 4432.2207       | 4440.7397      
HKY+I+G         | 6               | -2210.225       | 4432.613         | 4432.45         | 4458.008       
K81+I+G         | 4               | -2212.3474      | 4432.772         | 4432.695        | 4449.733       
HKY+G           | 5               | -2211.5305      | 4433.1772        | 4433.061        | 4454.359       
K80+I+G         | 3               | -2213.6519      | 4433.35          | 4433.3037       | 4446.0825      
GTR+I           | 9               | -2214.3628      | 4447.0767        | 4446.7256       | 4485.062       
TIM+I           | 7               | -2220.6265      | 4455.47          | 4455.253        | 4485.07        
TRN+I           | 6               | -2222.1748      | 4456.512         | 4456.3496       | 4481.907       
SYM+I           | 6               | -2245.0105      | 4502.1836        | 4502.021        | 4527.5786      
TIMEF+I         | 4               | -2247.824       | 4503.725         | 4503.648        | 4520.686       
TRNEF+I         | 3               | -2248.9917      | 4504.03          | 4503.9834       | 4516.762       
TVMEF+I         | 5               | -2254.2314      | 4518.579         | 4518.463        | 4539.7607      
K81+I           | 3               | -2256.6565      | 4519.3594        | 4519.313        | 4532.092       
K80+I           | 2               | -2257.8184      | 4519.6597        | 4519.6367       | 4528.156       
TVM+I           | 8               | -2254.0972      | 4524.4746        | 4524.1943       | 4558.271       
K81UF+I         | 6               | -2259.5867      | 4531.336         | 4531.1733       | 4556.731       
HKY+I           | 5               | -2261.015       | 4532.146         | 4532.03         | 4553.3276      
F81+G           | 4               | -2319.2434      | 4646.564         | 4646.487        | 4663.525       
F81+I+G         | 5               | -2319.247       | 4648.6104        | 4648.494        | 4669.792       
JC+G            | 1               | -2324.0813      | 4650.1704        | 4650.1626       | 4654.4224      
JC+I+G          | 2               | -2323.852       | 4651.727         | 4651.704        | 4660.223       
GTR             | 8               | -2332.8782      | 4682.0366        | 4681.7563       | 4715.833       
TIM             | 6               | -2340.134       | 4692.4307        | 4692.268        | 4717.8257      
TRN             | 5               | -2341.9346      | 4693.9854        | 4693.869        | 4715.167       
F81+I           | 4               | -2360.352       | 4728.7812        | 4728.704        | 4745.742       
JC+I            | 1               | -2366.777       | 4735.562         | 4735.554        | 4739.814       
SYM             | 5               | -2367.0957      | 4744.3076        | 4744.1914       | 4765.4893      
TIMEF           | 3               | -2372.0354      | 4750.117         | 4750.071        | 4762.8496      
TRNEF           | 2               | -2373.4124      | 4750.8477        | 4750.8247       | 4759.3438      
TVMEF           | 4               | -2386.4998      | 4781.0767        | 4780.9995       | 4798.0376      
K81             | 2               | -2391.488       | 4786.999         | 4786.976        | 4795.495       
K80             | 1               | -2392.859       | 4787.7256        | 4787.718        | 4791.9775      
TVM             | 7               | -2390.2917      | 4794.801         | 4794.5835       | 4824.4004      
K81UF           | 5               | -2397.6167      | 4805.3496        | 4805.2334       | 4826.5312      
HKY             | 4               | -2399.3823      | 4806.842         | 4806.7646       | 4823.8027      
F81             | 3               | -2483.19        | 4972.4263        | 4972.38         | 4985.1587      
JC              | 0               | -2496.7563      | 4993.5127        | 4993.5127       | 4993.5127      
