Model selection results for subset: 0dedb75e22dae7387945d5972416066c
Subset alignment stored here: ./analysis/phylofiles/0dedb75e22dae7387945d5972416066c.phy
This subset contains the following data_blocks: Gene1_pos2
Number of columns in subset: 150
Models are organised according to their AICc scores

Model           | Parameters      | lnL             | AICc             | AIC             | BIC            
TRN+G           | 6               | -382.83093      | 778.24927        | 777.66187       | 795.72565      
TRN+I+G         | 7               | -382.5038       | 779.7964         | 779.0076        | 800.0821       
TIM+G           | 7               | -382.8074       | 780.40356        | 779.6148        | 800.6893       
HKY+G           | 5               | -385.75003      | 781.91675        | 781.50006       | 796.5532       
TIM+I+G         | 8               | -382.47974      | 781.9808         | 780.9595        | 805.04456      
GTR+G           | 9               | -381.46643      | 782.21857        | 780.93286       | 808.02856      
HKY+I+G         | 6               | -385.2716       | 783.1306         | 782.5432        | 800.607        
TRN+I           | 6               | -385.27676      | 783.1409         | 782.5535        | 800.6173       
GTR+I+G         | 10              | -381.10382      | 783.7904         | 782.20764       | 812.31396      
K81UF+G         | 6               | -385.73264      | 784.0527         | 783.4653        | 801.52905      
TIM+I           | 7               | -385.2531       | 785.295          | 784.5062        | 805.5807       
K81UF+I+G       | 7               | -385.2545       | 785.2977         | 784.509         | 805.58344      
TVM+G           | 8               | -384.37662      | 785.77454        | 784.75323       | 808.8383       
HKY+I           | 5               | -388.04813      | 786.51294        | 786.09625       | 801.1494       
TVM+I+G         | 9               | -383.82578      | 786.93726        | 785.65155       | 812.74725      
GTR+I           | 9               | -383.87732      | 787.04034        | 785.75464       | 812.85034      
K81UF+I         | 6               | -388.0314       | 788.6502         | 788.0628        | 806.1266       
TVM+I           | 8               | -386.59866      | 790.2186         | 789.1973        | 813.2824       
TRNEF+G         | 3               | -395.28726      | 796.7389         | 796.5745        | 805.60645      
TRNEF+I+G       | 4               | -394.99146      | 798.2588         | 797.9829        | 810.02545      
TIMEF+G         | 4               | -395.1387       | 798.5533         | 798.2774        | 810.31995      
TIMEF+I+G       | 5               | -394.83557      | 800.0878         | 799.67114       | 814.7243       
K80+G           | 2               | -398.0316       | 800.1448         | 800.0632        | 806.0844       
SYM+G           | 6               | -393.85358      | 800.29456        | 799.70715       | 817.77094      
K80+I+G         | 3               | -397.40894      | 800.98224        | 800.8179        | 809.8498       
TRNEF+I         | 3               | -397.7674       | 801.69916        | 801.5348        | 810.5667       
SYM+I+G         | 7               | -393.4809       | 801.75055        | 800.9618        | 822.03625      
K81+G           | 3               | -397.885        | 801.9344         | 801.77          | 810.80194      
K81+I+G         | 4               | -397.24905      | 802.774          | 802.4981        | 814.54065      
TVMEF+G         | 5               | -396.4796       | 803.3759         | 802.9592        | 818.0124       
TIMEF+I         | 4               | -397.6105       | 803.4969         | 803.221         | 815.26355      
TVMEF+I+G       | 6               | -395.7439       | 804.0752         | 803.4878        | 821.5516       
K80+I           | 2               | -400.18195      | 804.4455         | 804.3639        | 810.38513      
SYM+I           | 6               | -396.25604      | 805.0995         | 804.5121        | 822.57587      
TRN             | 5               | -397.63614      | 805.68896        | 805.2723        | 820.32544      
K81+I           | 3               | -400.0219       | 806.2082         | 806.0438        | 815.07574      
TVMEF+I         | 5               | -398.52045      | 807.4576         | 807.0409        | 822.09406      
TIM             | 6               | -397.60016      | 807.7877         | 807.2003        | 825.2641       
HKY             | 4               | -399.885        | 808.0459         | 807.77          | 819.81256      
K81UF           | 5               | -399.84985      | 810.1164         | 809.6997        | 824.75287      
GTR             | 8               | -396.5672       | 810.1557         | 809.1344        | 833.2195       
TVM             | 7               | -398.813        | 812.41473        | 811.626         | 832.70044      
F81+G           | 4               | -403.38675      | 815.0494         | 814.7735        | 826.81604      
F81+I+G         | 5               | -402.901        | 816.2187         | 815.802         | 830.85516      
F81+I           | 4               | -405.67365      | 819.62317        | 819.3473        | 831.38983      
TRNEF           | 2               | -409.25217      | 822.58594        | 822.50433       | 828.5256       
TIMEF           | 3               | -409.1423       | 824.449          | 824.2846        | 833.3165       
K80             | 1               | -411.9348       | 825.89667        | 825.8696        | 828.88025      
SYM             | 5               | -408.0248       | 826.4663         | 826.0496        | 841.1028       
K81             | 2               | -411.825        | 827.7316         | 827.65          | 833.67126      
JC+G            | 1               | -413.36542      | 828.7579         | 828.73083       | 831.74146      
TVMEF           | 4               | -410.70688      | 829.68964        | 829.41376       | 841.4563       
JC+I+G          | 2               | -412.81094      | 829.7035         | 829.6219        | 835.6431       
JC+I            | 1               | -415.58377      | 833.1946         | 833.16754       | 836.17816      
F81             | 3               | -416.95795      | 840.08026        | 839.9159        | 848.9478       
JC              | 0               | -427.0567       | 854.1134         | 854.1134        | 854.1134       
