Model selection results for subset: 467450ccb810ec968a425ba295239f5b
Subset alignment stored here: ./analysis/phylofiles/467450ccb810ec968a425ba295239f5b.phy
This subset contains the following data_blocks: Gene1_pos3
Number of columns in subset: 149
Models are organised according to their AICc scores

Model           | Parameters      | lnL             | AICc             | AIC             | BIC            
TRN+G           | 6               | -1616.4872      | 3245.566         | 3244.9744       | 3262.998       
TRN+I+G         | 7               | -1615.8114      | 3246.4172        | 3245.6228       | 3266.6504      
TIM+G           | 7               | -1616.3289      | 3247.4521        | 3246.6577       | 3267.6853      
GTR+G           | 9               | -1614.3663      | 3248.0276        | 3246.7327       | 3273.768       
TIM+I+G         | 8               | -1615.6293      | 3248.287         | 3247.2585       | 3271.29        
GTR+I+G         | 10              | -1613.8129      | 3249.22          | 3247.6257       | 3277.6653      
HKY+G           | 5               | -1620.5574      | 3251.5344        | 3251.1147       | 3266.1345      
HKY+I+G         | 6               | -1619.5437      | 3251.679         | 3251.0874       | 3269.111       
K81UF+G         | 6               | -1620.414       | 3253.4194        | 3252.828        | 3270.8516      
K81UF+I+G       | 7               | -1619.3698      | 3253.534         | 3252.7395       | 3273.767       
TVM+G           | 8               | -1618.5182      | 3254.065         | 3253.0364       | 3277.0679      
TVM+I+G         | 9               | -1617.6123      | 3254.5195        | 3253.2246       | 3280.26        
SYM+G           | 6               | -1625.0328      | 3262.6572        | 3262.0657       | 3280.0894      
SYM+I+G         | 7               | -1625.1097      | 3265.014         | 3264.2195       | 3285.247       
TRNEF+G         | 3               | -1629.8413      | 3265.8481        | 3265.6826       | 3274.6943      
TIMEF+G         | 4               | -1629.8408      | 3267.9595        | 3267.6816       | 3279.6975      
TRNEF+I+G       | 4               | -1629.9528      | 3268.1833        | 3267.9055       | 3279.9214      
TVMEF+G         | 5               | -1629.4806      | 3269.3809        | 3268.9612       | 3283.981       
TIMEF+I+G       | 5               | -1629.9509      | 3270.3215        | 3269.9019       | 3284.9216      
TRN+I           | 6               | -1629.1237      | 3270.8389        | 3270.2473       | 3288.271       
TVMEF+I+G       | 6               | -1629.49        | 3271.5715        | 3270.98         | 3289.0037      
K80+G           | 2               | -1634.1603      | 3272.4028        | 3272.3206       | 3278.3284      
TIM+I           | 7               | -1628.907       | 3272.6084        | 3271.814        | 3292.8416      
GTR+I           | 9               | -1627.0249      | 3273.3447        | 3272.0498       | 3299.0852      
K81+G           | 3               | -1634.1598      | 3274.485         | 3274.3196       | 3283.3313      
K80+I+G         | 3               | -1634.174       | 3274.5134        | 3274.348        | 3283.3596      
K81+I+G         | 4               | -1634.1722      | 3276.6223        | 3276.3445       | 3288.3604      
HKY+I           | 5               | -1633.3582      | 3277.136         | 3276.7163       | 3291.736       
K81UF+I         | 6               | -1633.163       | 3278.9175        | 3278.326        | 3296.3496      
TVM+I           | 8               | -1631.2407      | 3279.51          | 3278.4814       | 3302.513       
SYM+I           | 6               | -1641.2135      | 3295.0186        | 3294.427        | 3312.4507      
TRNEF+I         | 3               | -1645.4009      | 3296.9673        | 3296.8018       | 3305.8135      
TIMEF+I         | 4               | -1645.3992      | 3299.0762        | 3298.7983       | 3310.8142      
TVMEF+I         | 5               | -1645.4246      | 3301.2688        | 3300.849        | 3315.869       
K80+I           | 2               | -1649.5391      | 3303.1604        | 3303.0781       | 3309.086       
K81+I           | 3               | -1649.5359      | 3305.2373        | 3305.0718       | 3314.0835      
SYM             | 5               | -1679.7496      | 3369.919         | 3369.4993       | 3384.519       
GTR             | 8               | -1676.4675      | 3369.9636        | 3368.935        | 3392.9666      
TRN             | 5               | -1680.3318      | 3371.0833        | 3370.6636       | 3385.6833      
TIM             | 6               | -1680.2837      | 3373.159         | 3372.5674       | 3390.591       
TRNEF           | 2               | -1686.1849      | 3376.4521        | 3376.3699       | 3382.3777      
TIMEF           | 3               | -1686.1846      | 3378.5347        | 3378.3691       | 3387.3809      
TVMEF           | 4               | -1693.901       | 3396.0798        | 3395.802        | 3407.8179      
TVM             | 7               | -1690.82        | 3396.4343        | 3395.64         | 3416.6675      
HKY             | 4               | -1694.7238      | 3397.7253        | 3397.4475       | 3409.4634      
K81UF           | 5               | -1694.685       | 3399.7898        | 3399.37         | 3414.39        
K80             | 1               | -1700.3518      | 3402.7307        | 3402.7036       | 3405.7075      
K81             | 2               | -1700.3517      | 3404.7856        | 3404.7034       | 3410.7112      
JC+G            | 1               | -1846.8696      | 3695.7664        | 3695.7393       | 3698.7432      
JC+I+G          | 2               | -1846.7108      | 3697.504         | 3697.4216       | 3703.4294      
F81+G           | 4               | -1852.2972      | 3712.8723        | 3712.5945       | 3724.6104      
F81+I+G         | 5               | -1851.8765      | 3714.1726        | 3713.753        | 3728.7727      
JC+I            | 1               | -1859.9972      | 3722.0215        | 3721.9944       | 3724.9983      
F81+I           | 4               | -1863.7115      | 3735.701         | 3735.423        | 3747.439       
JC              | 0               | -1906.771       | 3813.542         | 3813.542        | 3813.542       
F81             | 3               | -1913.0461      | 3832.2578        | 3832.0923       | 3841.104       
