Model selection results for subset: b72534250e064e752822a97af5c27dbe
Subset alignment stored here: ./analysis/phylofiles/b72534250e064e752822a97af5c27dbe.phy
This subset contains the following data_blocks: Gene1_pos1
Number of columns in subset: 150
Models are organised according to their AICc scores

Model           | Parameters      | lnL             | AICc             | AIC             | BIC            
TIMEF+I+G       | 5               | -598.8011       | 1208.0188        | 1207.6022       | 1222.6554      
TRNEF+I+G       | 4               | -599.99335      | 1208.2626        | 1207.9867       | 1220.0292      
TIMEF+G         | 4               | -600.9485       | 1210.1729        | 1209.897        | 1221.9395      
TRNEF+G         | 3               | -602.22736      | 1210.6191        | 1210.4547       | 1219.4866      
SYM+I+G         | 7               | -598.29865      | 1211.386         | 1210.5973       | 1231.6718      
SYM+G           | 6               | -600.25366      | 1213.0947        | 1212.5073       | 1230.5712      
TIM+I+G         | 8               | -599.20447      | 1215.4302        | 1214.4089       | 1238.494       
TRN+I+G         | 7               | -600.35614      | 1215.501         | 1214.7123       | 1235.7867      
K81+I+G         | 4               | -604.2511       | 1216.7781        | 1216.5022       | 1228.5447      
K80+I+G         | 3               | -605.4377       | 1217.0398        | 1216.8754       | 1225.9072      
TIM+G           | 7               | -601.369        | 1217.5267        | 1216.738        | 1237.8125      
TRN+G           | 6               | -602.59906      | 1217.7855        | 1217.1981       | 1235.262       
GTR+I+G         | 10              | -598.57965      | 1218.7421        | 1217.1593       | 1247.2656      
TVMEF+I+G       | 6               | -603.67377      | 1219.9349        | 1219.3475       | 1237.4114      
GTR+G           | 9               | -600.5664       | 1220.4186        | 1219.1328       | 1246.2285      
TIMEF+I         | 4               | -607.69696      | 1223.6698        | 1223.3939       | 1235.4364      
TRNEF+I         | 3               | -608.94604      | 1224.0565        | 1223.8921       | 1232.924       
K81+G           | 3               | -608.9847       | 1224.1338        | 1223.9694       | 1233.0012      
K80+G           | 2               | -610.3021       | 1224.6859        | 1224.6042       | 1230.6255      
K81UF+I+G       | 7               | -605.0445       | 1224.8777        | 1224.089        | 1245.1635      
HKY+I+G         | 6               | -606.19464      | 1224.9767        | 1224.3893       | 1242.4531      
SYM+I           | 6               | -606.98926      | 1226.5659        | 1225.9785       | 1244.0424      
TVMEF+G         | 5               | -608.344        | 1227.1046        | 1226.688        | 1241.7412      
TVM+I+G         | 9               | -604.3425       | 1227.9708        | 1226.685        | 1253.7808      
TIM+I           | 7               | -608.01495      | 1230.8186        | 1230.0299       | 1251.1044      
TRN+I           | 6               | -609.2199       | 1231.0272        | 1230.4398       | 1248.5037      
K81UF+G         | 6               | -609.8256       | 1232.2386        | 1231.6512       | 1249.7151      
HKY+G           | 5               | -611.09784      | 1232.6123        | 1232.1957       | 1247.2489      
GTR+I           | 9               | -607.239        | 1233.7638        | 1232.478        | 1259.5737      
TVM+G           | 8               | -609.0976       | 1235.2164        | 1234.1952       | 1258.2803      
K81+I           | 3               | -614.64624      | 1235.4569        | 1235.2925       | 1244.3243      
K80+I           | 2               | -615.8881       | 1235.8579        | 1235.7762       | 1241.7975      
TVMEF+I         | 5               | -614.02356      | 1238.4637        | 1238.0471       | 1253.1003      
K81UF+I         | 6               | -615.4998       | 1243.587         | 1242.9996       | 1261.0635      
HKY+I           | 5               | -616.6905       | 1243.7976        | 1243.381        | 1258.4342      
TVM+I           | 8               | -614.83026      | 1246.6818        | 1245.6605       | 1269.7456      
JC+I+G          | 2               | -638.0943       | 1280.2703        | 1280.1886       | 1286.2098      
JC+G            | 1               | -642.9923       | 1288.0116        | 1287.9846       | 1290.9952      
F81+I+G         | 5               | -639.09796      | 1288.6125        | 1288.1959       | 1303.2491      
F81+G           | 4               | -643.9224       | 1296.1207        | 1295.8448       | 1307.8873      
JC+I            | 1               | -648.4592       | 1298.9454        | 1298.9185       | 1301.9291      
F81+I           | 4               | -649.3487       | 1306.9733        | 1306.6974       | 1318.7399      
TIMEF           | 3               | -652.57056      | 1311.3055        | 1311.1411       | 1320.173       
TRNEF           | 2               | -653.7998       | 1311.6813        | 1311.5996       | 1317.6208      
SYM             | 5               | -652.05725      | 1314.5311        | 1314.1145       | 1329.1677      
TIM             | 6               | -652.5113       | 1317.61          | 1317.0226       | 1335.0864      
TRN             | 5               | -653.738        | 1317.8926        | 1317.476        | 1332.5292      
GTR             | 8               | -651.9145       | 1320.8502        | 1319.829        | 1343.9141      
K81             | 2               | -665.2237       | 1334.529         | 1334.4474       | 1340.4686      
K80             | 1               | -666.44116      | 1334.9093        | 1334.8823       | 1337.893       
TVMEF           | 4               | -664.7581       | 1337.7921        | 1337.5162       | 1349.5587      
K81UF           | 5               | -665.8015       | 1342.0197        | 1341.603        | 1356.6562      
HKY             | 4               | -667.0168       | 1342.3094        | 1342.0336       | 1354.076       
TVM             | 7               | -665.2564       | 1345.3015        | 1344.5128       | 1365.5873      
JC              | 0               | -697.98584      | 1395.9717        | 1395.9717       | 1395.9717      
F81             | 3               | -698.49084      | 1403.1461        | 1402.9817       | 1412.0135      
