Model selection results for subset: 3d2ade27786a3b7669a432d0f13f0f62
Subset alignment stored here: ./analysis/phylofiles/3d2ade27786a3b7669a432d0f13f0f62.phy
This subset contains the following data_blocks: Gene1_pos2
Number of columns in subset: 394
Models are organised according to their AICc scores

Model           | Parameters      | lnL             | AICc             | AIC             | BIC            
HKY+I+G         | 6               | -976.87976      | 1965.9766        | 1965.7595       | 1989.6177      
K81UF+I+G       | 7               | -976.45905      | 1967.2083        | 1966.9181       | 1994.7526      
TRN+I+G         | 7               | -976.70856      | 1967.7073        | 1967.4171       | 1995.2516      
TVM+I+G         | 9               | -974.90137      | 1968.2715        | 1967.8027       | 2003.5898      
TIM+I+G         | 8               | -976.2998       | 1968.9736        | 1968.5996       | 2000.4104      
GTR+I+G         | 10              | -974.6913       | 1969.957         | 1969.3826       | 2009.1461      
HKY+I           | 5               | -981.9206       | 1973.9958        | 1973.8412       | 1993.7229      
K81UF+I         | 6               | -981.5724       | 1975.3618        | 1975.1448       | 1999.0029      
TRN+I           | 6               | -981.87506      | 1975.9672        | 1975.7501       | 1999.6083      
TVM+I           | 8               | -979.9964       | 1976.3668        | 1975.9928       | 2007.8036      
TIM+I           | 7               | -981.5274       | 1977.345         | 1977.0548       | 2004.8893      
HKY+G           | 5               | -983.7729       | 1977.7004        | 1977.5458       | 1997.4275      
GTR+I           | 9               | -979.9628       | 1978.3944        | 1977.9257       | 2013.7128      
TRN+G           | 6               | -983.3365       | 1978.89          | 1978.673        | 2002.5311      
K81UF+G         | 6               | -983.41174      | 1979.0405        | 1978.8235       | 2002.6816      
TIM+G           | 7               | -982.9762       | 1980.2426        | 1979.9524       | 2007.7869      
TVM+G           | 8               | -982.02545      | 1980.4249        | 1980.0509       | 2011.8617      
GTR+G           | 9               | -981.5824       | 1981.6335        | 1981.1648       | 2016.9519      
K80+I+G         | 3               | -999.42114      | 2004.9038        | 2004.8423       | 2016.7714      
K81+I+G         | 4               | -998.8849       | 2005.8726        | 2005.7698       | 2021.6752      
TRNEF+I+G       | 4               | -999.404        | 2006.9108        | 2006.808        | 2022.7134      
TVMEF+I+G       | 6               | -997.63574      | 2007.4885        | 2007.2715       | 2031.1296      
TIMEF+I+G       | 5               | -998.87115      | 2007.897         | 2007.7423       | 2027.624       
SYM+I+G         | 7               | -997.6125       | 2009.5151        | 2009.225        | 2037.0594      
K80+I           | 2               | -1004.16956     | 2012.3698        | 2012.3391       | 2020.2919      
K81+I           | 3               | -1003.6881      | 2013.4377        | 2013.3762       | 2025.3053      
TRNEF+I         | 3               | -1004.1578      | 2014.3771        | 2014.3156       | 2026.2446      
TVMEF+I         | 5               | -1002.3414      | 2014.8374        | 2014.6827       | 2034.5645      
K80+G           | 2               | -1005.6816      | 2015.3938        | 2015.3632       | 2023.3159      
TIMEF+I         | 4               | -1003.70044     | 2015.5037        | 2015.4009       | 2031.3063      
K81+G           | 3               | -1005.2533      | 2016.5681        | 2016.5066       | 2028.4357      
SYM+I           | 6               | -1002.3464      | 2016.9098        | 2016.6927       | 2040.5509      
TRNEF+G         | 3               | -1005.56714     | 2017.1958        | 2017.1343       | 2029.0634      
TVMEF+G         | 5               | -1004.0449      | 2018.2445        | 2018.0898       | 2037.9716      
TIMEF+G         | 4               | -1005.13995     | 2018.3827        | 2018.2799       | 2034.1853      
SYM+G           | 6               | -1003.9322      | 2020.0814        | 2019.8644       | 2043.7225      
HKY             | 4               | -1019.97955     | 2048.062         | 2047.9591       | 2063.8645      
TRN             | 5               | -1019.164       | 2048.4827        | 2048.3281       | 2068.2097      
K81UF           | 5               | -1019.60864     | 2049.3718        | 2049.2173       | 2069.099       
TIM             | 6               | -1018.7938      | 2049.8047        | 2049.5876       | 2073.4458      
TVM             | 7               | -1018.58875     | 2051.4675        | 2051.1775       | 2079.012       
GTR             | 8               | -1017.77216     | 2051.9185        | 2051.5444       | 2083.3552      
F81+I+G         | 5               | -1034.6014      | 2079.3574        | 2079.203        | 2099.0847      
K80             | 1               | -1039.7312      | 2081.4727        | 2081.4624       | 2085.4387      
TRNEF           | 2               | -1039.0905      | 2082.2117        | 2082.181        | 2090.1335      
K81             | 2               | -1039.374       | 2082.7788        | 2082.748        | 2090.7007      
TIMEF           | 3               | -1038.7334      | 2083.5283        | 2083.4668       | 2095.3958      
TVMEF           | 4               | -1038.3304      | 2084.7637        | 2084.661        | 2100.5664      
SYM             | 5               | -1037.6892      | 2085.533         | 2085.3784       | 2105.2603      
F81+I           | 4               | -1038.94        | 2085.9827        | 2085.88         | 2101.7854      
F81+G           | 4               | -1040.3779      | 2088.8586        | 2088.7559       | 2104.6614      
JC+I+G          | 2               | -1051.3047      | 2106.6401        | 2106.6094       | 2114.562       
JC+I            | 1               | -1055.8314      | 2113.673         | 2113.6628       | 2117.6392      
JC+G            | 1               | -1056.8734      | 2115.757         | 2115.7468       | 2119.7231      
F81             | 3               | -1074.5333      | 2155.1282        | 2155.0667       | 2166.9956      
JC              | 0               | -1090.1826      | 2180.3652        | 2180.3652       | 2180.3652      
