Model selection results for subset: 9a6430b6ad2c48d386d8f0b56e028dc5
Subset alignment stored here: ./analysis/phylofiles/9a6430b6ad2c48d386d8f0b56e028dc5.phy
This subset contains the following data_blocks: Gene1_pos3
Number of columns in subset: 394
Models are organised according to their AICc scores

Model           | Parameters      | lnL             | AICc             | AIC             | BIC            
GTR+I+G         | 10              | -5115.5786      | 10251.731        | 10251.157       | 10290.921      
GTR+G           | 9               | -5121.341       | 10261.15         | 10260.682       | 10296.469      
TRN+I+G         | 7               | -5123.4365      | 10261.163        | 10260.873       | 10288.707      
TIM+I+G         | 8               | -5122.8853      | 10262.145        | 10261.7705      | 10293.581      
TVM+I+G         | 9               | -5126.6772      | 10271.823        | 10271.3545      | 10307.142      
TRN+G           | 6               | -5129.9683      | 10272.153        | 10271.937       | 10295.795      
TIM+G           | 7               | -5129.3174      | 10272.925        | 10272.635       | 10300.469      
HKY+I+G         | 6               | -5134.331       | 10280.879        | 10280.662       | 10304.5205     
TVM+G           | 8               | -5132.496       | 10281.366        | 10280.992       | 10312.803      
K81UF+I+G       | 7               | -5133.8105      | 10281.911        | 10281.621       | 10309.455      
SYM+I+G         | 7               | -5137.8438      | 10289.978        | 10289.6875      | 10317.521      
SYM+G           | 6               | -5139.854       | 10291.925        | 10291.708       | 10315.566      
HKY+G           | 5               | -5140.9473      | 10292.049        | 10291.895       | 10311.776      
K81UF+G         | 6               | -5140.3247      | 10292.866        | 10292.649       | 10316.508      
GTR+I           | 9               | -5143.3745      | 10305.218        | 10304.749       | 10340.536      
TRN+I           | 6               | -5150.544       | 10313.305        | 10313.088       | 10336.946      
TVMEF+I+G       | 6               | -5150.8667      | 10313.95         | 10313.733       | 10337.592      
TIM+I           | 7               | -5150.119       | 10314.528        | 10314.238       | 10342.072      
TVMEF+G         | 5               | -5152.858       | 10315.87         | 10315.716       | 10335.598      
TIMEF+I+G       | 5               | -5155.8315      | 10321.817        | 10321.663       | 10341.545      
TRNEF+I+G       | 4               | -5157.6636      | 10323.43         | 10323.327       | 10339.232      
TIMEF+G         | 4               | -5158.6084      | 10325.319        | 10325.217       | 10341.122      
TRNEF+G         | 3               | -5160.4775      | 10327.017        | 10326.955       | 10338.884      
TVM+I           | 8               | -5157.2153      | 10330.805        | 10330.431       | 10362.241      
HKY+I           | 5               | -5164.1206      | 10338.3955       | 10338.241       | 10358.123      
K81UF+I         | 6               | -5163.7334      | 10339.684        | 10339.467       | 10363.325      
K81+I+G         | 4               | -5168.3667      | 10344.836        | 10344.733       | 10360.639      
K80+I+G         | 3               | -5170.1724      | 10346.406        | 10346.345       | 10358.273      
K81+G           | 3               | -5171.141       | 10348.344        | 10348.282       | 10360.211      
K80+G           | 2               | -5172.989       | 10350.008        | 10349.978       | 10357.931      
SYM+I           | 6               | -5174.228       | 10360.673        | 10360.456       | 10384.314      
TIMEF+I         | 4               | -5188.4043      | 10384.911        | 10384.809       | 10400.714      
TRNEF+I         | 3               | -5189.9243      | 10385.91         | 10385.849       | 10397.777      
TVMEF+I         | 5               | -5189.333       | 10388.82         | 10388.666       | 10408.548      
K81+I           | 3               | -5202.9336      | 10411.929        | 10411.867       | 10423.796      
K80+I           | 2               | -5204.4272      | 10412.885        | 10412.8545      | 10420.808      
GTR             | 8               | -5242.3984      | 10501.171        | 10500.797       | 10532.607      
SYM             | 5               | -5252.85        | 10515.8545       | 10515.7         | 10535.582      
TRN             | 5               | -5252.9043      | 10515.963        | 10515.809       | 10535.69       
TIM             | 6               | -5252.1807      | 10516.578        | 10516.361       | 10540.22       
TIMEF           | 3               | -5271.0996      | 10548.261        | 10548.199       | 10560.128      
TRNEF           | 2               | -5272.6724      | 10549.375        | 10549.345       | 10557.298      
TVM             | 7               | -5271.2505      | 10556.791        | 10556.501       | 10584.335      
TVMEF           | 4               | -5280.5815      | 10569.266        | 10569.163       | 10585.068      
HKY             | 4               | -5281.4395      | 10570.981        | 10570.879       | 10586.784      
K81UF           | 5               | -5280.7812      | 10571.717        | 10571.5625      | 10591.444      
K81             | 2               | -5298.458       | 10600.946        | 10600.916       | 10608.869      
K80             | 1               | -5299.983       | 10601.976        | 10601.966       | 10605.942      
JC+I+G          | 2               | -5838.737       | 11681.504        | 11681.474       | 11689.427      
JC+G            | 1               | -5842.236       | 11686.481        | 11686.472       | 11690.448      
F81+I+G         | 5               | -5844.623       | 11699.4          | 11699.246       | 11719.128      
F81+G           | 4               | -5849.514       | 11707.131        | 11707.028       | 11722.934      
JC+I            | 1               | -5864.598       | 11731.206        | 11731.196       | 11735.173      
F81+I           | 4               | -5867.8813      | 11743.865        | 11743.763       | 11759.668      
JC              | 0               | -5947.833       | 11895.666        | 11895.666       | 11895.666      
F81             | 3               | -5958.127       | 11922.315        | 11922.254       | 11934.183      
