Model selection results for subset: d3ce7099e4114bd625208d7f61c47192
Subset alignment stored here: ./analysis/phylofiles/d3ce7099e4114bd625208d7f61c47192.phy
This subset contains the following data_blocks: Gene1_pos1
Number of columns in subset: 395
Models are organised according to their AICc scores

Model           | Parameters      | lnL             | AICc             | AIC             | BIC            
TIM+I+G         | 8               | -1350.1317      | 2716.6365        | 2716.2634       | 2748.0945      
GTR+I+G         | 10              | -1348.2512      | 2717.0754        | 2716.5024       | 2756.2913      
TIMEF+I+G       | 5               | -1354.6755      | 2719.5054        | 2719.351        | 2739.2456      
SYM+I+G         | 7               | -1352.8373      | 2719.9639        | 2719.6746       | 2747.5269      
TRN+I+G         | 7               | -1355.9281      | 2726.1455        | 2725.8562       | 2753.7085      
TRNEF+I+G       | 4               | -1360.4086      | 2728.9197        | 2728.8171       | 2744.7327      
GTR+G           | 9               | -1355.6694      | 2729.8064        | 2729.3389       | 2765.149       
TIM+G           | 7               | -1357.828       | 2729.9453        | 2729.656        | 2757.5083      
SYM+G           | 6               | -1360.8823      | 2733.9812        | 2733.7646       | 2757.638       
TIMEF+G         | 4               | -1362.9949      | 2734.0923        | 2733.9897       | 2749.9053      
TRN+G           | 6               | -1363.6971      | 2739.6108        | 2739.3943       | 2763.2676      
GTR+I           | 9               | -1361.5935      | 2741.6545        | 2741.187        | 2776.997       
TIM+I           | 7               | -1363.7699      | 2741.829         | 2741.5398       | 2769.392       
K81+I+G         | 4               | -1367.3639      | 2742.8303        | 2742.7278       | 2758.6433      
TVMEF+I+G       | 6               | -1365.5399      | 2743.2964        | 2743.0798       | 2766.9531      
TRNEF+G         | 3               | -1368.8153      | 2743.692         | 2743.6306       | 2755.5674      
SYM+I           | 6               | -1366.1698      | 2744.5562        | 2744.3396       | 2768.213       
TIMEF+I         | 4               | -1368.2823      | 2744.6672        | 2744.5647       | 2760.4802      
TRN+I           | 6               | -1369.4873      | 2751.1912        | 2750.9746       | 2774.848       
K80+I+G         | 3               | -1372.9705      | 2752.0022        | 2751.941        | 2763.8777      
K81UF+I+G       | 7               | -1369.7001      | 2753.6895        | 2753.4001       | 2781.2524      
TRNEF+I         | 3               | -1373.968       | 2753.9973        | 2753.936        | 2765.8728      
TVM+I+G         | 9               | -1367.8977      | 2754.263         | 2753.7954       | 2789.6055      
HKY+I+G         | 6               | -1375.3326      | 2762.8818        | 2762.6653       | 2786.5386      
K81+I           | 3               | -1385.0385      | 2776.1382        | 2776.077        | 2788.0137      
TVMEF+I         | 5               | -1383.0939      | 2776.342         | 2776.1877       | 2796.0823      
K81+G           | 3               | -1385.4312      | 2776.9236        | 2776.8623       | 2788.799       
TVMEF+G         | 5               | -1383.4796      | 2777.1135        | 2776.9592       | 2796.8538      
K80+I           | 2               | -1390.7628      | 2785.5562        | 2785.5256       | 2793.4834      
K80+G           | 2               | -1391.1907      | 2786.4119        | 2786.3813       | 2794.339       
K81UF+I         | 6               | -1389.2789      | 2790.7744        | 2790.5579       | 2814.4312      
TVM+I           | 8               | -1387.2908      | 2790.9546        | 2790.5815       | 2822.4126      
K81UF+G         | 6               | -1389.6875      | 2791.5916        | 2791.375        | 2815.2483      
TVM+G           | 8               | -1387.6589      | 2791.691         | 2791.3179       | 2823.149       
HKY+I           | 5               | -1395.0326      | 2800.2195        | 2800.0652       | 2819.9597      
HKY+G           | 5               | -1395.4801      | 2801.1145        | 2800.9602       | 2820.8547      
JC+I+G          | 2               | -1443.1235      | 2890.2776        | 2890.247        | 2898.2048      
F81+I+G         | 5               | -1450.7905      | 2911.7354        | 2911.581        | 2931.4756      
JC+I            | 1               | -1460.3182      | 2922.6467        | 2922.6365       | 2926.6155      
JC+G            | 1               | -1460.5342      | 2923.0786        | 2923.0684       | 2927.0474      
TIM             | 6               | -1463.6433      | 2939.5032        | 2939.2866       | 2963.16        
GTR             | 8               | -1461.8899      | 2940.1528        | 2939.7798       | 2971.6108      
F81+I           | 4               | -1466.8507      | 2941.804         | 2941.7014       | 2957.617       
F81+G           | 4               | -1466.8752      | 2941.853         | 2941.7505       | 2957.666       
TIMEF           | 3               | -1468.4158      | 2942.8928        | 2942.8315       | 2954.7683      
SYM             | 5               | -1466.76        | 2943.6743        | 2943.52         | 2963.4146      
TRN             | 5               | -1469.2736      | 2948.7014        | 2948.547        | 2968.4417      
TRNEF           | 2               | -1474.0479      | 2952.1262        | 2952.0957       | 2960.0535      
K81             | 2               | -1496.248       | 2996.5266        | 2996.496        | 3004.4539      
TVMEF           | 4               | -1494.6696      | 2997.4417        | 2997.339        | 3013.2546      
K80             | 1               | -1501.8662      | 3005.7427        | 3005.7324       | 3009.7114      
K81UF           | 5               | -1503.6298      | 3017.4138        | 3017.2595       | 3037.154       
TVM             | 7               | -1501.9667      | 3018.2227        | 3017.9333       | 3045.7856      
HKY             | 4               | -1509.2399      | 3026.5823        | 3026.4797       | 3042.3953      
JC              | 0               | -1568.8693      | 3137.7385        | 3137.7385       | 3137.7385      
F81             | 3               | -1573.5381      | 3153.1375        | 3153.0762       | 3165.013       
