Model selection results for subset: 0ffbc44064fa6296abeddb94766c9a27
Subset alignment stored here: ./analysis/phylofiles/0ffbc44064fa6296abeddb94766c9a27.phy
This subset contains the following data_blocks: Gene1_pos2
Number of columns in subset: 241
Models are organised according to their AICc scores

Model           | Parameters      | lnL             | AICc             | AIC             | BIC            
GTR+I+G         | 10              | -3343.5852      | 6708.127         | 6707.1704       | 6742.0186      
GTR+G           | 9               | -3347.4502      | 6713.6797        | 6712.9004       | 6744.2637      
TIM+I+G         | 8               | -3350.18        | 6716.9805        | 6716.36         | 6744.2383      
TRN+I+G         | 7               | -3351.371       | 6717.2227        | 6716.742        | 6741.1357      
TVM+I+G         | 9               | -3350.0027      | 6718.7847        | 6718.0054       | 6749.3687      
TIM+G           | 7               | -3354.578       | 6723.636         | 6723.156        | 6747.5493      
SYM+I+G         | 7               | -3354.58        | 6723.6406        | 6723.16         | 6747.5537      
TVM+G           | 8               | -3353.7568      | 6724.1343        | 6723.5137       | 6751.392       
TRN+G           | 6               | -3355.8918      | 6724.1426        | 6723.7837       | 6744.6924      
SYM+G           | 6               | -3355.9944      | 6724.3477        | 6723.989        | 6744.8975      
K81UF+I+G       | 7               | -3356.4326      | 6727.3457        | 6726.865        | 6751.259       
HKY+I+G         | 6               | -3357.574       | 6727.507         | 6727.148        | 6748.0566      
GTR+I           | 9               | -3355.7217      | 6730.2227        | 6729.4434       | 6760.8066      
K81UF+G         | 6               | -3360.8066      | 6733.972         | 6733.6133       | 6754.522       
HKY+G           | 5               | -3362.075       | 6734.4053        | 6734.15         | 6751.5737      
TIM+I           | 7               | -3361.768       | 6738.0166        | 6737.536        | 6761.9297      
TRN+I           | 6               | -3362.8313      | 6738.0215        | 6737.6626       | 6758.5713      
TVMEF+I+G       | 6               | -3363.252       | 6738.863         | 6738.504        | 6759.4126      
TVMEF+G         | 5               | -3364.3271      | 6738.9097        | 6738.6543       | 6756.078       
TVM+I           | 8               | -3363.936       | 6744.4927        | 6743.872        | 6771.7505      
TIMEF+I+G       | 5               | -3369.374       | 6749.0034        | 6748.748        | 6766.172       
TIMEF+G         | 4               | -3371.3914      | 6750.952         | 6750.7827       | 6764.7217      
TRNEF+I+G       | 4               | -3371.6626      | 6751.4946        | 6751.325        | 6765.264       
HKY+I           | 5               | -3370.644       | 6751.5435        | 6751.288        | 6768.712       
K81UF+I         | 6               | -3369.6455      | 6751.65          | 6751.291        | 6772.1997      
TRNEF+G         | 3               | -3373.7278      | 6753.5566        | 6753.4556       | 6763.91        
SYM+I           | 6               | -3373.3787      | 6759.116         | 6758.7573       | 6779.666       
K81+I+G         | 4               | -3377.628       | 6763.4253        | 6763.256        | 6777.195       
K81+G           | 3               | -3379.3557      | 6764.8125        | 6764.7114       | 6775.166       
K80+I+G         | 3               | -3379.891       | 6765.8833        | 6765.782        | 6776.237       
K80+G           | 2               | -3381.6611      | 6767.3726        | 6767.3223       | 6774.292       
TVMEF+I         | 5               | -3383.9136      | 6778.0825        | 6777.827        | 6795.251       
TIMEF+I         | 4               | -3385.1514      | 6778.472         | 6778.3027       | 6792.2417      
TRNEF+I         | 3               | -3387.1482      | 6780.3975        | 6780.2964       | 6790.751       
K81+I           | 3               | -3395.0286      | 6796.158         | 6796.057        | 6806.5117      
K80+I           | 2               | -3397.0037      | 6798.0576        | 6798.0073       | 6804.977       
GTR             | 8               | -3397.0103      | 6810.641         | 6810.0205       | 6837.899       
TIM             | 6               | -3404.645       | 6821.649         | 6821.29         | 6842.1987      
TRN             | 5               | -3405.973       | 6822.201         | 6821.946        | 6839.3696      
SYM             | 5               | -3407.474       | 6825.2036        | 6824.948        | 6842.372       
TVM             | 7               | -3410.4312      | 6835.343         | 6834.8623       | 6859.256       
K81UF           | 5               | -3417.864       | 6845.9834        | 6845.728        | 6863.152       
HKY             | 4               | -3419.1306      | 6846.4307        | 6846.261        | 6860.2         
TIMEF           | 3               | -3421.1282      | 6848.3574        | 6848.2563       | 6858.711       
TVMEF           | 4               | -3420.7026      | 6849.5747        | 6849.4053       | 6863.344       
TRNEF           | 2               | -3423.1218      | 6850.294         | 6850.2437       | 6857.2134      
K81             | 2               | -3434.0408      | 6872.132         | 6872.0815       | 6879.0513      
K80             | 1               | -3436.0012      | 6874.019         | 6874.0024       | 6877.4873      
JC+I+G          | 2               | -3820.0042      | 7644.0586        | 7644.0083       | 7650.978       
JC+G            | 1               | -3822.1978      | 7646.412         | 7646.3955       | 7649.8804      
F81+I+G         | 5               | -3819.18        | 7648.615         | 7648.36         | 7665.7837      
F81+G           | 4               | -3822.349       | 7652.8677        | 7652.698        | 7666.637       
JC+I            | 1               | -3831.8706      | 7665.758         | 7665.741        | 7669.226       
F81+I           | 4               | -3829.3938      | 7666.957         | 7666.7876       | 7680.7266      
JC              | 0               | -3864.5947      | 7729.1895        | 7729.1895       | 7729.1895      
F81             | 3               | -3865.3625      | 7736.826         | 7736.725        | 7747.1797      
