Model selection results for subset: 92abaa607d6d7fc30900db91b2538ff4
Subset alignment stored here: ./analysis/phylofiles/92abaa607d6d7fc30900db91b2538ff4.phy
This subset contains the following data_blocks: Gene1_pos3
Number of columns in subset: 241
Models are organised according to their AICc scores

Model           | Parameters      | lnL             | AICc             | AIC             | BIC            
TIM+I+G         | 8               | -712.9504       | 1442.5215        | 1441.9008       | 1469.7792      
GTR+I+G         | 10              | -712.0386       | 1445.0337        | 1444.0771       | 1478.9252      
TIM+I           | 7               | -716.3023       | 1447.0853        | 1446.6046       | 1470.9982      
TIMEF+I+G       | 5               | -719.61005      | 1449.4755        | 1449.2201       | 1466.644       
GTR+I           | 9               | -715.50476      | 1449.7887        | 1449.0095       | 1480.3727      
TIM+G           | 7               | -718.19696      | 1450.8746        | 1450.3939       | 1474.7875      
TRN+I+G         | 7               | -718.66895      | 1451.8186        | 1451.3379       | 1475.7314      
SYM+I+G         | 7               | -718.90704      | 1452.2948        | 1451.8141       | 1476.2076      
GTR+G           | 9               | -717.25385      | 1453.2869        | 1452.5077       | 1483.8708      
TIMEF+I         | 4               | -723.0032       | 1454.1758        | 1454.0063       | 1467.9456      
TRN+I           | 6               | -722.0588       | 1456.4766        | 1456.1176       | 1477.0264      
K81+I+G         | 4               | -724.4092       | 1456.9878        | 1456.8184       | 1470.7576      
SYM+I           | 6               | -722.39764      | 1457.1543        | 1456.7953       | 1477.7041      
TRNEF+I+G       | 4               | -725.25684      | 1458.6831        | 1458.5137       | 1472.4529      
TIMEF+G         | 4               | -725.33966      | 1458.8488        | 1458.6793       | 1472.6185      
TVMEF+I+G       | 6               | -723.5493       | 1459.4576        | 1459.0986       | 1480.0074      
TRN+G           | 6               | -723.9054       | 1460.1698        | 1459.8108       | 1480.7196      
K81UF+I+G       | 7               | -723.2558       | 1460.9923        | 1460.5116       | 1484.9052      
SYM+G           | 6               | -724.5344       | 1461.4279        | 1461.0688       | 1481.9777      
TVM+I+G         | 9               | -722.00494      | 1462.7891        | 1462.0099       | 1493.373       
TRNEF+I         | 3               | -728.7163       | 1463.5339        | 1463.4326       | 1473.887       
K81+I           | 3               | -729.35596      | 1464.8132        | 1464.7119       | 1475.1663      
K80+I+G         | 3               | -729.76965      | 1465.6406        | 1465.5393       | 1475.9937      
TVMEF+I         | 5               | -728.73456      | 1467.7245        | 1467.4691       | 1484.8931      
TRNEF+G         | 3               | -730.99274      | 1468.0868        | 1467.9855       | 1478.4398      
HKY+I+G         | 6               | -728.59         | 1469.5391        | 1469.18         | 1490.0889      
K81UF+I         | 6               | -729.7407       | 1471.8405        | 1471.4814       | 1492.3903      
TVM+I           | 8               | -728.76715      | 1474.155         | 1473.5343       | 1501.4127      
K80+I           | 2               | -735.1421       | 1474.3346        | 1474.2842       | 1481.2538      
K81+G           | 3               | -734.3982       | 1474.8977        | 1474.7964       | 1485.2507      
TVMEF+G         | 5               | -733.5288       | 1477.313         | 1477.0576       | 1494.4816      
HKY+I           | 5               | -735.55054      | 1481.3564        | 1481.1011       | 1498.525       
K81UF+G         | 6               | -734.9065       | 1482.172         | 1481.813        | 1502.7218      
TVM+G           | 8               | -733.6638       | 1483.9484        | 1483.3276       | 1511.206       
K80+G           | 2               | -740.0836       | 1484.2177        | 1484.1672       | 1491.1368      
HKY+G           | 5               | -740.60535      | 1491.4661        | 1491.2107       | 1508.6346      
JC+I+G          | 2               | -763.7755       | 1531.6014        | 1531.551        | 1538.5206      
F81+I+G         | 5               | -764.3286       | 1538.9126        | 1538.6572       | 1556.0812      
JC+I            | 1               | -769.0838       | 1540.1843        | 1540.1676       | 1543.6523      
TIM             | 6               | -764.04675      | 1540.4525        | 1540.0935       | 1561.0023      
GTR             | 8               | -761.9654       | 1540.5515        | 1539.9308       | 1567.8092      
F81+I           | 4               | -768.9533       | 1546.076         | 1545.9066       | 1559.8458      
TIMEF           | 3               | -771.04565      | 1548.1926        | 1548.0913       | 1558.5457      
TRN             | 5               | -769.07965      | 1548.4147        | 1548.1593       | 1565.5833      
SYM             | 5               | -769.1056       | 1548.4666        | 1548.2112       | 1565.6351      
JC+G            | 1               | -773.8132       | 1549.6431        | 1549.6263       | 1553.1111      
F81+G           | 4               | -773.29944      | 1554.7683        | 1554.5989       | 1568.5381      
TRNEF           | 2               | -776.074        | 1556.1984        | 1556.148        | 1563.1176      
K81             | 2               | -781.1759       | 1566.4022        | 1566.3518       | 1573.3214      
TVMEF           | 4               | -779.18066      | 1566.5308        | 1566.3613       | 1580.3005      
K80             | 1               | -786.1864       | 1574.3895        | 1574.3728       | 1577.8575      
TVM             | 7               | -780.62585      | 1575.7324        | 1575.2517       | 1599.6453      
K81UF           | 5               | -782.78253      | 1575.8204        | 1575.5651       | 1592.989       
HKY             | 4               | -787.78534      | 1583.7401        | 1583.5707       | 1597.5099      
JC              | 0               | -819.2311       | 1638.4622        | 1638.4622       | 1638.4622      
F81             | 3               | -817.7387       | 1641.5787        | 1641.4774       | 1651.9318      
