Model selection results for subset: cd9292f5c1d883a0b4bb15758a75a845
Subset alignment stored here: ./analysis/phylofiles/cd9292f5c1d883a0b4bb15758a75a845.phy
This subset contains the following data_blocks: Gene1_pos1
Number of columns in subset: 241
Models are organised according to their AICc scores

Model           | Parameters      | lnL             | AICc             | AIC             | BIC            
TRN+I+G         | 7               | -560.66         | 1135.8007        | 1135.32         | 1159.7135      
TRN+I           | 6               | -561.9256       | 1136.2102        | 1135.8512       | 1156.76        
TIM+I+G         | 8               | -559.91034      | 1136.4414        | 1135.8207       | 1163.6991      
TIM+I           | 7               | -561.17896      | 1136.8386        | 1136.3579       | 1160.7515      
TRN+G           | 6               | -562.53845      | 1137.4359        | 1137.0769       | 1157.9857      
TIM+G           | 7               | -561.78284      | 1138.0464        | 1137.5657       | 1161.9592      
GTR+I+G         | 10              | -558.5756       | 1138.1078        | 1137.1512       | 1171.9993      
GTR+I           | 9               | -559.86383      | 1138.5068        | 1137.7277       | 1169.0908      
GTR+G           | 9               | -560.4899       | 1139.759         | 1138.9799       | 1170.343       
HKY+I+G         | 6               | -567.0017       | 1146.3624        | 1146.0034       | 1166.9122      
K81UF+I+G       | 7               | -566.2394       | 1146.9595        | 1146.4788       | 1170.8723      
HKY+I           | 5               | -568.68304      | 1147.6215        | 1147.3661       | 1164.79        
K81UF+I         | 6               | -567.9368       | 1148.2327        | 1147.8737       | 1168.7825      
TVM+I+G         | 9               | -564.8786       | 1148.5364        | 1147.7572       | 1179.1204      
TVM+I           | 8               | -566.5398       | 1149.7003        | 1149.0796       | 1176.958       
HKY+G           | 5               | -571.5699       | 1153.3951        | 1153.1398       | 1170.5637      
K81UF+G         | 6               | -570.8072       | 1153.9734        | 1153.6144       | 1174.5232      
TVM+G           | 8               | -569.5223       | 1155.6653        | 1155.0446       | 1182.923       
TRNEF+I+G       | 4               | -574.548        | 1157.2654        | 1157.096        | 1171.0352      
TRNEF+I         | 3               | -575.9921       | 1158.0856        | 1157.9843       | 1168.4386      
TIMEF+I         | 4               | -575.3108       | 1158.791         | 1158.6216       | 1172.5608      
TRNEF+G         | 3               | -576.3886       | 1158.8785        | 1158.7772       | 1169.2316      
SYM+I           | 6               | -574.2804       | 1160.9198        | 1160.5608       | 1181.4696      
SYM+I+G         | 7               | -573.65497      | 1161.7906        | 1161.3099       | 1185.7035      
K80+I+G         | 3               | -580.1456       | 1166.3926        | 1166.2913       | 1176.7456      
K81+I+G         | 4               | -579.455        | 1167.0795        | 1166.91         | 1180.8492      
K80+I           | 2               | -581.7507       | 1167.5518        | 1167.5013       | 1174.471       
K81+I           | 3               | -581.06396      | 1168.2292        | 1168.1279       | 1178.5823      
TRN             | 5               | -579.24994      | 1168.7552        | 1168.4999       | 1185.9238      
TVMEF+I+G       | 6               | -578.2355       | 1168.83          | 1168.471        | 1189.3798      
TVMEF+I         | 5               | -579.80396      | 1169.8633        | 1169.6079       | 1187.0319      
SYM+G           | 6               | -578.87866      | 1170.1163        | 1169.7573       | 1190.6661      
K80+G           | 2               | -583.98944      | 1172.0293        | 1171.9789       | 1178.9485      
K81+G           | 3               | -583.30096      | 1172.7032        | 1172.6019       | 1183.0563      
GTR             | 8               | -578.6215       | 1173.8638        | 1173.243        | 1201.1215      
TVMEF+G         | 5               | -582.2199       | 1174.6952        | 1174.4398       | 1191.8638      
TIMEF+I+G       | 5               | -585.184        | 1180.6234        | 1180.368        | 1197.792       
TRNEF           | 2               | -589.77203      | 1183.5945        | 1183.5441       | 1190.5137      
TIMEF           | 3               | -589.08105      | 1184.2634        | 1184.1621       | 1194.6165      
HKY             | 4               | -588.2631       | 1184.6957        | 1184.5262       | 1198.4655      
K81UF           | 5               | -587.5053       | 1185.266         | 1185.0106       | 1202.4346      
SYM             | 5               | -588.2019       | 1186.6592        | 1186.4038       | 1203.8278      
TVM             | 7               | -586.45917      | 1187.399         | 1186.9183       | 1211.3119      
TIMEF+G         | 4               | -591.2076       | 1190.5846        | 1190.4152       | 1204.3544      
K80             | 1               | -599.0622       | 1200.1411        | 1200.1244       | 1203.6091      
K81             | 2               | -598.3705       | 1200.7914        | 1200.741        | 1207.7106      
TVMEF           | 4               | -597.49164      | 1203.1527        | 1202.9833       | 1216.9225      
TIM             | 6               | -601.4719       | 1215.3029        | 1214.9438       | 1235.8527      
F81+I+G         | 5               | -605.4825       | 1221.2203        | 1220.965        | 1238.3889      
F81+I           | 4               | -606.98773      | 1222.1449        | 1221.9755       | 1235.9147      
F81+G           | 4               | -609.56555      | 1227.3005        | 1227.1311       | 1241.0703      
JC+I+G          | 2               | -615.24963      | 1234.5497        | 1234.4993       | 1241.4689      
JC+I            | 1               | -616.7054       | 1235.4275        | 1235.4108       | 1238.8955      
JC+G            | 1               | -618.7037       | 1239.4241        | 1239.4073       | 1242.8921      
F81             | 3               | -625.16614      | 1256.4336        | 1256.3323       | 1266.7866      
JC              | 0               | -633.44366      | 1266.8873        | 1266.8873       | 1266.8873      
