Model selection results for subset: 33a6c99ecd2266772fba47d278a62172
Subset alignment stored here: ./analysis/phylofiles/33a6c99ecd2266772fba47d278a62172.phy
This subset contains the following data_blocks: Gene1_pos2
Number of columns in subset: 92
Models are organised according to their AICc scores

Model           | Parameters      | lnL             | AICc             | AIC             | BIC            
TRN+I           | 6               | -478.4397       | 969.8676         | 968.8794        | 984.01013      
TRN+G           | 6               | -478.47446      | 969.93713        | 968.9489        | 984.07965      
TRN             | 5               | -480.37225      | 971.4422         | 970.7445        | 983.35345      
TIM+I           | 7               | -478.3818       | 972.0969         | 970.7636        | 988.41614      
TRN+I+G         | 7               | -478.4172       | 972.1677         | 970.8344        | 988.48694      
TIM+G           | 7               | -478.41806      | 972.16943        | 970.8361        | 988.48865      
TRNEF+I         | 3               | -483.26263      | 972.798          | 972.52527       | 980.09064      
TRNEF+G         | 3               | -483.31006      | 972.8928         | 972.6201        | 980.1855       
TIM             | 6               | -480.2897       | 973.5676         | 972.5794        | 987.71014      
GTR+I           | 9               | -477.06253      | 974.3202         | 972.12506       | 994.82117      
TIM+I+G         | 8               | -478.40884      | 974.5526         | 972.8177        | 992.992        
GTR+G           | 9               | -477.18347      | 974.5621         | 972.36694       | 995.06305      
TRNEF+I+G       | 4               | -483.22922      | 974.9182         | 974.45844       | 984.5456       
TIMEF+I         | 4               | -483.24167      | 974.9431         | 974.48334       | 984.5705       
TIMEF+G         | 4               | -483.29852      | 975.0568         | 974.59705       | 984.6842       
SYM+I           | 6               | -481.0542       | 975.0966         | 974.1084        | 989.23914      
SYM+G           | 6               | -481.26978      | 975.5278         | 974.53955       | 989.6703       
GTR             | 8               | -479.0174       | 975.7697         | 974.0348        | 994.2091       
HKY+G           | 5               | -482.64572      | 975.98914        | 975.29144       | 987.9004       
GTR+I+G         | 10              | -477.06305      | 976.84216        | 974.1261        | 999.344        
TIMEF+I+G       | 5               | -483.20908      | 977.11584        | 976.41815       | 989.0271       
SYM+I+G         | 7               | -481.05768      | 977.44867        | 976.11536       | 993.7679       
HKY+I           | 5               | -483.5294       | 977.7565         | 977.0588        | 989.6677       
TRNEF           | 2               | -486.83844      | 977.8117         | 977.6769        | 982.72046      
K81UF+G         | 6               | -482.58838      | 978.165          | 977.17676       | 992.3075       
HKY             | 4               | -484.9093       | 978.2784         | 977.8186        | 987.90576      
HKY+I+G         | 6               | -482.64612      | 978.28046        | 977.29224       | 992.423        
TIMEF           | 3               | -486.8108       | 979.8943         | 979.6216        | 987.18695      
K81UF+I         | 6               | -483.4615       | 979.9112         | 978.923         | 994.0537       
TVM+G           | 8               | -481.28204      | 980.299          | 978.5641        | 998.7384       
K81UF           | 5               | -484.82047      | 980.3386         | 979.6409        | 992.2499       
K81UF+I+G       | 7               | -482.58862      | 980.51056        | 979.17725       | 996.8298       
SYM             | 5               | -484.93228      | 980.56226        | 979.86456       | 992.4735       
TVM+I           | 8               | -482.13583      | 982.0066         | 980.27167       | 1000.446       
TVM             | 7               | -483.5421       | 982.41754        | 981.0842        | 998.73676      
TVM+I+G         | 9               | -481.28168      | 982.7585         | 980.56335       | 1003.25946     
K80+G           | 2               | -489.74762      | 983.63007        | 983.49524       | 988.5388       
K81+G           | 3               | -489.73135      | 985.7354         | 985.4627        | 993.0281       
K80+I+G         | 3               | -489.74753      | 985.76776        | 985.49506       | 993.0604       
TVMEF+G         | 5               | -487.61334      | 985.9244         | 985.2267        | 997.83563      
K80+I           | 2               | -490.9226       | 985.98004        | 985.8452        | 990.8888       
K81+I+G         | 4               | -489.73145      | 987.92267        | 987.4629        | 997.55005      
K81+I           | 3               | -490.8938       | 988.0603         | 987.7876        | 995.35297      
TVMEF+I         | 5               | -488.73303      | 988.16376        | 987.46606       | 1000.075       
TVMEF+I+G       | 6               | -487.6133       | 988.21484        | 987.2266        | 1002.35736     
K80             | 1               | -493.95657      | 989.9576         | 989.91315       | 992.43494      
K81             | 2               | -493.92224      | 991.9793         | 991.8445        | 996.88806      
TVMEF           | 4               | -492.04266      | 992.5451         | 992.0853        | 1002.1725      
F81+G           | 4               | -544.35614      | 1097.172         | 1096.7123       | 1106.7994      
F81+I           | 4               | -544.98254      | 1098.4248        | 1097.9651       | 1108.0522      
F81             | 3               | -546.4381       | 1099.1489        | 1098.8762       | 1106.4415      
F81+I+G         | 5               | -544.35645      | 1099.4105        | 1098.7129       | 1111.3218      
JC+G            | 1               | -549.6826       | 1101.4097        | 1101.3652       | 1103.887       
JC+I            | 1               | -550.2253       | 1102.495         | 1102.4506       | 1104.9723      
JC+I+G          | 2               | -549.6826       | 1103.5001        | 1103.3652       | 1108.4088      
JC              | 0               | -552.19745      | 1104.3949        | 1104.3949       | 1104.3949      
