Model selection results for subset: 67d7ec459fb59c2112144accc8b3f4f7
Subset alignment stored here: ./analysis/phylofiles/67d7ec459fb59c2112144accc8b3f4f7.phy
This subset contains the following data_blocks: Gene1_pos3
Number of columns in subset: 92
Models are organised according to their AICc scores

Model           | Parameters      | lnL             | AICc             | AIC             | BIC            
F81             | 3               | -184.33185      | 374.93643        | 374.6637        | 382.22906      
F81+G           | 4               | -184.0753       | 376.61038        | 376.1506        | 386.23776      
F81+I           | 4               | -184.10498      | 376.66974        | 376.20996       | 386.29712      
HKY             | 4               | -184.1276       | 376.71497        | 376.2552        | 386.34235      
TRN             | 5               | -183.15427      | 377.0062         | 376.30853       | 388.91748      
K81UF           | 5               | -183.30618      | 377.31003        | 376.61237       | 389.2213       
TIM             | 6               | -182.33273      | 377.6537         | 376.66547       | 391.7962       
TVM             | 7               | -181.47934      | 378.29202        | 376.95868       | 394.6112       
HKY+G           | 5               | -183.85332      | 378.4043         | 377.70663       | 390.31558      
HKY+I           | 5               | -183.87859      | 378.45483        | 377.75717       | 390.36612      
TRN+G           | 6               | -182.83354      | 378.6553         | 377.66708       | 392.79782      
TRN+I           | 6               | -182.8663       | 378.72083        | 377.7326        | 392.86334      
GTR             | 8               | -180.51266      | 378.76028        | 377.02533       | 397.19965      
F81+I+G         | 5               | -184.0755       | 378.84866        | 378.151         | 390.75995      
K81UF+G         | 6               | -183.04552      | 379.07925        | 378.09103       | 393.22177      
K81UF+I         | 6               | -183.07306      | 379.13434        | 378.14612       | 393.27686      
TIM+G           | 7               | -182.0292       | 379.39175        | 378.0584        | 395.71094      
TIM+I           | 7               | -182.06422      | 379.4618         | 378.12845       | 395.78098      
TVM+G           | 8               | -181.30174      | 380.33844        | 378.6035        | 398.7778       
TVM+I           | 8               | -181.33713      | 380.4092         | 378.67426       | 398.84857      
HKY+I+G         | 6               | -183.85394      | 380.6961         | 379.7079        | 394.83862      
GTR+G           | 9               | -180.32645      | 380.84802        | 378.6529        | 401.349        
GTR+I           | 9               | -180.37112      | 380.93738        | 378.74225       | 401.43835      
TRN+I+G         | 7               | -182.83311      | 380.99957        | 379.66623       | 397.31876      
K81UF+I+G       | 7               | -183.04599      | 381.42532        | 380.09198       | 397.7445       
TIM+I+G         | 8               | -182.02908      | 381.79312        | 380.05817       | 400.23248      
TVM+I+G         | 9               | -181.30128      | 382.7977         | 380.60257       | 403.29868      
GTR+I+G         | 10              | -180.32706      | 383.37018        | 380.6541        | 405.872        
TVMEF           | 4               | -190.92165      | 390.30307        | 389.8433        | 399.93045      
JC              | 0               | -195.17514      | 390.35028        | 390.35028       | 390.35028      
K80             | 1               | -194.58296      | 391.21036        | 391.16592       | 393.6877       
K81             | 2               | -193.61687      | 391.36856        | 391.23373       | 396.2773       
JC+G            | 1               | -194.90219      | 391.84882        | 391.80438       | 394.32617      
JC+I            | 1               | -194.92043      | 391.88528        | 391.84085       | 394.36264      
TVMEF+G         | 5               | -190.6944       | 392.08646        | 391.3888        | 403.99774      
TVMEF+I         | 5               | -190.70879      | 392.11523        | 391.41757       | 404.02652      
SYM             | 5               | -190.86925      | 392.43616        | 391.7385        | 404.34744      
K80+G           | 2               | -194.30411      | 392.74304        | 392.60822       | 397.6518       
K80+I           | 2               | -194.32487      | 392.78458        | 392.64975       | 397.69333      
K81+G           | 3               | -193.3375       | 392.94772        | 392.675         | 400.24036      
K81+I           | 3               | -193.35616      | 392.98505        | 392.7123        | 400.27768      
TRNEF           | 2               | -194.4695       | 393.07382        | 392.939         | 397.98257      
TIMEF           | 3               | -193.50313      | 393.279          | 393.00626       | 400.57162      
JC+I+G          | 2               | -194.90363      | 393.94208        | 393.80725       | 398.85083      
SYM+G           | 6               | -190.60323      | 394.19467        | 393.20645       | 408.3372       
SYM+I           | 6               | -190.62436      | 394.23694        | 393.24872       | 408.37946      
TVMEF+I+G       | 6               | -190.69537      | 394.37897        | 393.39075       | 408.52148      
TRNEF+G         | 3               | -194.21107      | 394.6949         | 394.42215       | 401.98752      
TRNEF+I         | 3               | -194.23775      | 394.74823        | 394.4755        | 402.04086      
K80+I+G         | 3               | -194.3057       | 394.88412        | 394.6114        | 402.17676      
TIMEF+G         | 4               | -193.24391      | 394.9476         | 394.48782       | 404.57498      
TIMEF+I         | 4               | -193.2687       | 394.9972         | 394.5374        | 404.62457      
K81+I+G         | 4               | -193.33899      | 395.13776        | 394.67798       | 404.76514      
SYM+I+G         | 7               | -190.60358      | 396.5405         | 395.20715       | 412.85968      
TRNEF+I+G       | 4               | -194.21156      | 396.8829         | 396.42313       | 406.51028      
TIMEF+I+G       | 5               | -193.24487      | 397.1874         | 396.48975       | 409.0987       
