Model selection results for subset: 686d2ac076ea0846a8189f1bde44c8c6
Subset alignment stored here: ./analysis/phylofiles/686d2ac076ea0846a8189f1bde44c8c6.phy
This subset contains the following data_blocks: Gene1_pos1
Number of columns in subset: 93
Models are organised according to their AICc scores

Model           | Parameters      | lnL             | AICc             | AIC             | BIC            
F81             | 3               | -160.73763      | 327.7449         | 327.47525       | 335.07306      
K81UF           | 5               | -158.62787      | 327.9454         | 327.25574       | 339.91873      
K81             | 2               | -162.1457       | 328.42474        | 328.2914        | 333.3566       
JC              | 0               | -164.2648       | 328.5296         | 328.5296        | 328.5296       
TVMEF           | 4               | -160.5555       | 329.56555        | 329.111         | 339.2414       
HKY             | 4               | -160.67577      | 329.8061         | 329.35153       | 339.48193      
F81+G           | 4               | -160.7554       | 329.96536        | 329.5108        | 339.6412       
F81+I           | 4               | -160.76053      | 329.97562        | 329.52106       | 339.65146      
TIM             | 6               | -158.55296      | 330.08267        | 329.10593       | 344.3015       
K81UF+G         | 6               | -158.64226      | 330.26126        | 329.28452       | 344.4801       
K81UF+I         | 6               | -158.6529       | 330.28253        | 329.3058        | 344.50137      
TVM             | 7               | -157.55943      | 330.43652        | 329.11887       | 346.84708      
K80             | 1               | -164.21597      | 330.4759         | 330.43195       | 332.96454      
TIMEF           | 3               | -162.13641      | 330.54248        | 330.27283       | 337.87064      
K81+G           | 3               | -162.16         | 330.58966        | 330.32          | 337.91782      
JC+G            | 1               | -164.2845       | 330.61295        | 330.569         | 333.1016       
K81+I           | 3               | -162.17342      | 330.6165         | 330.34683       | 337.94464      
JC+I            | 1               | -164.28963      | 330.6232         | 330.57925       | 333.11185      
SYM             | 5               | -160.54285      | 331.77536        | 331.0857        | 343.7487       
TVMEF+G         | 5               | -160.5606       | 331.81085        | 331.1212        | 343.78418      
TVMEF+I         | 5               | -160.56377      | 331.8172         | 331.12753       | 343.79053      
TRN             | 5               | -160.60085      | 331.89136        | 331.2017        | 343.8647       
HKY+G           | 5               | -160.69238      | 332.07443        | 331.38477       | 344.04776      
HKY+I           | 5               | -160.69737      | 332.0844         | 331.39474       | 344.05774      
F81+I+G         | 5               | -160.75203      | 332.19373        | 331.50406       | 344.16705      
TIM+G           | 7               | -158.5661       | 332.44986        | 331.1322        | 348.8604       
TIM+I           | 7               | -158.57948      | 332.47662        | 331.15897       | 348.88718      
TRNEF           | 2               | -164.20537      | 332.54407        | 332.41074       | 337.47592      
K81UF+I+G       | 7               | -158.6347       | 332.58707        | 331.2694        | 348.99762      
K80+G           | 2               | -164.23563      | 332.60458        | 332.47125       | 337.53644      
K80+I           | 2               | -164.24074      | 332.6148         | 332.48148       | 337.54666      
GTR             | 8               | -157.456        | 332.62628        | 330.912         | 351.1728       
JC+I+G          | 2               | -164.27895      | 332.69122        | 332.5579        | 337.62308      
TIMEF+G         | 4               | -162.1503       | 332.75516        | 332.3006        | 342.431        
K81+I+G         | 4               | -162.15034      | 332.75525        | 332.3007        | 342.4311       
TIMEF+I         | 4               | -162.16223      | 332.77902        | 332.32446       | 342.45486      
TVM+G           | 8               | -157.5367       | 332.7877         | 331.0734        | 351.3342       
TVM+I           | 8               | -157.62196      | 332.95822        | 331.24393       | 351.50473      
TVMEF+I+G       | 6               | -160.55495      | 334.08664        | 333.1099        | 348.30548      
SYM+G           | 6               | -160.55637      | 334.08948        | 333.11273       | 348.30832      
SYM+I           | 6               | -160.56601      | 334.10876        | 333.13202       | 348.3276       
TRN+G           | 6               | -160.61908      | 334.2149         | 333.23816       | 348.43375      
TRN+I           | 6               | -160.62419      | 334.22513        | 333.24838       | 348.44397      
HKY+I+G         | 6               | -160.69003      | 334.3568         | 333.38007       | 348.57565      
TRNEF+G         | 3               | -164.21832      | 334.7063         | 334.43665       | 342.03445      
K80+I+G         | 3               | -164.2301       | 334.72986        | 334.4602        | 342.058        
TRNEF+I         | 3               | -164.23073      | 334.7311         | 334.46146       | 342.05927      
TIM+I+G         | 8               | -158.56746      | 334.8492         | 333.13492       | 353.39572      
TIMEF+I+G       | 5               | -162.13858      | 334.96683        | 334.27716       | 346.94016      
GTR+I           | 9               | -157.45425      | 335.07718        | 332.9085        | 355.7019       
GTR+G           | 9               | -157.46031      | 335.0893         | 332.92062       | 355.71402      
TVM+I+G         | 9               | -157.53043      | 335.22952        | 333.06085       | 355.85425      
SYM+I+G         | 7               | -160.54678      | 336.41122        | 335.09357       | 352.82178      
TRN+I+G         | 7               | -160.61526      | 336.5482         | 335.23053       | 352.95874      
TRNEF+I+G       | 4               | -164.21906      | 336.89267        | 336.4381        | 346.5685       
GTR+I+G         | 10              | -157.45543      | 337.59378        | 334.91086       | 360.23685      
