Model selection results for subset: 6228071f93c54e6838aeca47c991fa1f
Subset alignment stored here: ./analysis/phylofiles/6228071f93c54e6838aeca47c991fa1f.phy
This subset contains the following data_blocks: Gene1_pos1
Number of columns in subset: 929
Models are organised according to their AICc scores

Model           | Parameters      | lnL             | AICc             | AIC             | BIC            
GTR+G           | 9               | -4131.6167      | 8281.43          | 8281.233        | 8324.74        
GTR+I+G         | 10              | -4131.626       | 8283.491         | 8283.252        | 8331.593       
TIM+G           | 7               | -4137.1445      | 8288.411         | 8288.289        | 8322.128       
TIM+I+G         | 8               | -4137.1514      | 8290.459         | 8290.303        | 8328.976       
TRN+G           | 6               | -4139.2993      | 8290.689         | 8290.599        | 8319.604       
TRN+I+G         | 7               | -4139.308       | 8292.738         | 8292.616        | 8326.455       
TVM+G           | 8               | -4143.9224      | 8304.001         | 8303.845        | 8342.518       
TVM+I+G         | 9               | -4143.9287      | 8306.054         | 8305.857        | 8349.364       
K81UF+G         | 6               | -4149.518       | 8311.127         | 8311.036        | 8340.041       
K81UF+I+G       | 7               | -4149.5234      | 8313.169         | 8313.047        | 8346.886       
HKY+G           | 5               | -4151.748       | 8313.562         | 8313.496        | 8337.667       
HKY+I+G         | 6               | -4151.753       | 8315.597         | 8315.506        | 8344.511       
SYM+G           | 6               | -4153.1797      | 8318.45          | 8318.359        | 8347.364       
SYM+I+G         | 7               | -4153.189       | 8320.5           | 8320.378        | 8354.217       
GTR+I           | 9               | -4156.9775      | 8332.151         | 8331.955        | 8375.462       
TIMEF+G         | 4               | -4163.386       | 8334.815         | 8334.772        | 8354.109       
TIMEF+I+G       | 5               | -4163.3936      | 8336.853         | 8336.787        | 8360.958       
TRNEF+G         | 3               | -4166.16        | 8338.347         | 8338.32         | 8352.822       
TVMEF+G         | 5               | -4164.1836      | 8338.433         | 8338.367        | 8362.538       
TIM+I           | 7               | -4162.7515      | 8339.625         | 8339.503        | 8373.342       
TRNEF+I+G       | 4               | -4166.168       | 8340.379         | 8340.336        | 8359.673       
TVMEF+I+G       | 6               | -4164.192       | 8340.475         | 8340.384        | 8369.389       
TRN+I           | 6               | -4164.7236      | 8341.538         | 8341.447        | 8370.452       
GTR             | 8               | -4164.2305      | 8344.617         | 8344.461        | 8383.134       
TIM             | 6               | -4170.5703      | 8353.231         | 8353.141        | 8382.1455      
K81+G           | 3               | -4174.4253      | 8354.877         | 8354.851        | 8369.353       
TRN             | 5               | -4172.7075      | 8355.48          | 8355.415        | 8379.586       
K81+I+G         | 4               | -4174.4307      | 8356.904         | 8356.861        | 8376.198       
K80+G           | 2               | -4177.269       | 8358.551         | 8358.538        | 8368.206       
K80+I+G         | 3               | -4177.275       | 8360.576         | 8360.55         | 8375.052       
TVM+I           | 8               | -4172.842       | 8361.84          | 8361.684        | 8400.356       
K81UF+I         | 6               | -4178.674       | 8369.438         | 8369.348        | 8398.353       
SYM+I           | 6               | -4178.8926      | 8369.876         | 8369.785        | 8398.79        
HKY+I           | 5               | -4180.6685      | 8371.402         | 8371.337        | 8395.508       
TVM             | 7               | -4180.2603      | 8374.643         | 8374.5205       | 8408.359       
SYM             | 5               | -4184.484       | 8379.033         | 8378.968        | 8403.139       
K81UF           | 5               | -4186.6157      | 8383.297         | 8383.231        | 8407.402       
HKY             | 4               | -4188.778       | 8385.599         | 8385.556        | 8404.893       
TIMEF+I         | 4               | -4188.995       | 8386.033         | 8385.99         | 8405.327       
TRNEF+I         | 3               | -4191.5303      | 8389.087         | 8389.061        | 8403.5625      
TIMEF           | 3               | -4194.577       | 8395.181         | 8395.154        | 8409.656       
TVMEF+I         | 5               | -4193.1387      | 8396.343         | 8396.277        | 8420.448       
TRNEF           | 2               | -4197.225       | 8398.463         | 8398.45         | 8408.118       
TVMEF           | 4               | -4198.8135      | 8405.67          | 8405.627        | 8424.964       
K81+I           | 3               | -4203.2363      | 8412.499         | 8412.473        | 8426.975       
K80+I           | 2               | -4205.825       | 8415.663         | 8415.65         | 8425.318       
K81             | 2               | -4208.959       | 8421.931         | 8421.918        | 8431.586       
K80             | 1               | -4211.627       | 8425.258         | 8425.254        | 8430.088       
F81+G           | 4               | -4621.8735      | 9251.79          | 9251.747        | 9271.084       
F81+I+G         | 5               | -4621.8823      | 9253.83          | 9253.765        | 9277.936       
JC+G            | 1               | -4632.5103      | 9267.024         | 9267.0205       | 9271.8545      
JC+I+G          | 2               | -4632.5195      | 9269.052         | 9269.039        | 9278.707       
F81+I           | 4               | -4642.8916      | 9293.826         | 9293.783        | 9313.12        
F81             | 3               | -4644.8525      | 9295.731         | 9295.705        | 9310.207       
JC+I            | 1               | -4653.5625      | 9309.129         | 9309.125        | 9313.959       
JC              | 0               | -4655.2876      | 9310.575         | 9310.575        | 9310.575       
