Model selection results for subset: 749e7321dc76ea18566c48fc7e60c77d
Subset alignment stored here: ./analysis/phylofiles/749e7321dc76ea18566c48fc7e60c77d.phy
This subset contains the following data_blocks: Gene1_pos2
Number of columns in subset: 929
Models are organised according to their AICc scores

Model           | Parameters      | lnL             | AICc             | AIC             | BIC            
GTR+G           | 9               | -1753.3557      | 3524.9072        | 3524.7114       | 3568.2185      
GTR+I+G         | 10              | -1753.3624      | 3526.9646        | 3526.7249       | 3575.066       
TIM+G           | 7               | -1756.9917      | 3528.105         | 3527.9834       | 3561.8223      
TIM+I+G         | 8               | -1756.9984      | 3530.1533        | 3529.9968       | 3568.6697      
TRN+G           | 6               | -1759.3916      | 3530.8743        | 3530.7832       | 3559.7878      
TRN+I+G         | 7               | -1759.3983      | 3532.9182        | 3532.7966       | 3566.6355      
SYM+G           | 6               | -1769.7338      | 3551.5586        | 3551.4675       | 3580.4722      
SYM+I+G         | 7               | -1769.7402      | 3553.602         | 3553.4805       | 3587.3193      
TIMEF+G         | 4               | -1773.4031      | 3554.8494        | 3554.8062       | 3574.1426      
TIMEF+I+G       | 5               | -1773.4097      | 3556.8843        | 3556.8193       | 3580.99        
TRNEF+G         | 3               | -1775.8021      | 3557.6301        | 3557.6042       | 3572.1067      
TRNEF+I+G       | 4               | -1775.8087      | 3559.6606        | 3559.6174       | 3578.9539      
TVM+G           | 8               | -1775.3405      | 3566.8374        | 3566.681        | 3605.3538      
TVM+I+G         | 9               | -1775.3475      | 3568.8909        | 3568.695        | 3612.2021      
K81UF+G         | 6               | -1778.918       | 3569.927         | 3569.836        | 3598.8406      
K81UF+I+G       | 7               | -1778.9243      | 3571.9702        | 3571.8486       | 3605.6875      
HKY+G           | 5               | -1781.3331      | 3572.7312        | 3572.6663       | 3596.837       
HKY+I+G         | 6               | -1781.3396      | 3574.7703        | 3574.6792       | 3603.6838      
TVMEF+G         | 5               | -1783.1185      | 3576.302         | 3576.237        | 3600.4077      
TVMEF+I+G       | 6               | -1783.125       | 3578.341         | 3578.25         | 3607.2546      
K81+G           | 3               | -1786.7572      | 3579.5403        | 3579.5144       | 3594.0168      
K81+I+G         | 4               | -1786.7646      | 3581.5725        | 3581.5293       | 3600.8657      
K80+G           | 2               | -1789.1809      | 3582.3748        | 3582.3618       | 3592.03        
GTR             | 8               | -1783.538       | 3583.2324        | 3583.076        | 3621.7488      
K80+I+G         | 3               | -1789.1884      | 3584.4026        | 3584.3767       | 3598.8792      
GTR+I           | 9               | -1783.5536      | 3585.303         | 3585.1072       | 3628.6143      
TIM             | 6               | -1787.1775      | 3586.446         | 3586.355        | 3615.3596      
TIM+I           | 7               | -1787.1927      | 3588.507         | 3588.3855       | 3622.2244      
TRN             | 5               | -1789.6586      | 3589.382         | 3589.3171       | 3613.4878      
TRN+I           | 6               | -1789.6738      | 3591.4387        | 3591.3477       | 3620.3523      
SYM             | 5               | -1799.5892      | 3609.2434        | 3609.1785       | 3633.349       
SYM+I           | 6               | -1799.601       | 3611.293         | 3611.202        | 3640.2065      
TIMEF           | 3               | -1803.261       | 3612.5479        | 3612.522        | 3627.0244      
TIMEF+I         | 4               | -1803.2723      | 3614.588         | 3614.5447       | 3633.881       
TRNEF           | 2               | -1805.7477      | 3615.5083        | 3615.4954       | 3625.1636      
TRNEF+I         | 3               | -1805.7595      | 3617.545         | 3617.519        | 3632.0215      
TVM             | 7               | -1806.7925      | 3627.7065        | 3627.585        | 3661.4238      
TVM+I           | 8               | -1806.8075      | 3629.7715        | 3629.615        | 3668.2878      
K81UF           | 5               | -1810.4265      | 3630.918         | 3630.853        | 3655.0237      
K81UF+I         | 6               | -1810.4432      | 3632.9775        | 3632.8865       | 3661.891       
HKY             | 4               | -1812.9102      | 3633.8635        | 3633.8203       | 3653.1567      
TVMEF           | 4               | -1813.4791      | 3635.0015        | 3634.9583       | 3654.2947      
HKY+I           | 5               | -1812.9249      | 3635.9148        | 3635.8499       | 3660.0205      
TVMEF+I         | 5               | -1813.4943      | 3637.0535        | 3636.9885       | 3661.1592      
K81             | 2               | -1817.146       | 3638.305         | 3638.292        | 3647.9602      
K81+I           | 3               | -1817.1611      | 3640.3481        | 3640.3223       | 3654.8247      
K80             | 1               | -1819.637       | 3641.2783        | 3641.274        | 3646.1082      
K80+I           | 2               | -1819.6521      | 3643.3171        | 3643.3042       | 3652.9724      
F81+G           | 4               | -1824.6506      | 3657.3445        | 3657.3013       | 3676.6377      
F81+I+G         | 5               | -1824.657       | 3659.379         | 3659.314        | 3683.4846      
JC+G            | 1               | -1833.4977      | 3668.9998        | 3668.9954       | 3673.8296      
JC+I+G          | 2               | -1833.5038      | 3671.0205        | 3671.0076       | 3680.6758      
F81             | 3               | -1853.9558      | 3713.9375        | 3713.9116       | 3728.414       
F81+I           | 4               | -1853.972       | 3715.9873        | 3715.944        | 3735.2805      
JC              | 0               | -1863.2999      | 3726.5999        | 3726.5999       | 3726.5999      
JC+I            | 1               | -1863.3162      | 3728.6367        | 3728.6323       | 3733.4666      
