Model selection results for subset: 7cc272a6de020e35728aed42513170bc
Subset alignment stored here: ./analysis/phylofiles/7cc272a6de020e35728aed42513170bc.phy
This subset contains the following data_blocks: Gene1_pos3
Number of columns in subset: 929
Models are organised according to their AICc scores

Model           | Parameters      | lnL             | AICc             | AIC             | BIC            
HKY+G           | 5               | -1620.1854      | 3250.4358        | 3250.3708       | 3274.5415      
TVM+G           | 8               | -1617.6514      | 3251.4592        | 3251.3027       | 3289.9756      
K81UF+G         | 6               | -1620.028       | 3252.147         | 3252.056        | 3281.0605      
TRN+G           | 6               | -1620.1407      | 3252.3726        | 3252.2815       | 3281.2861      
HKY+I+G         | 6               | -1620.1926      | 3252.4763        | 3252.3853       | 3281.39        
GTR+G           | 9               | -1617.6116      | 3253.419         | 3253.2231       | 3296.7302      
TVM+I+G         | 9               | -1617.6603      | 3253.5164        | 3253.3206       | 3296.8276      
TIM+G           | 7               | -1619.9832      | 3254.088         | 3253.9663       | 3287.8052      
K81UF+I+G       | 7               | -1620.0352      | 3254.192         | 3254.0703       | 3287.9092      
TRN+I+G         | 7               | -1620.148       | 3254.4175        | 3254.296        | 3288.1348      
GTR+I+G         | 10              | -1617.6188      | 3255.4773        | 3255.2375       | 3303.5786      
TIM+I+G         | 8               | -1619.9905      | 3256.1375        | 3255.981        | 3294.6538      
HKY             | 4               | -1637.32        | 3282.683         | 3282.64         | 3301.9763      
TVM             | 7               | -1634.7557      | 3283.633         | 3283.5115       | 3317.3503      
K81UF           | 5               | -1637.1411      | 3284.3472        | 3284.2822       | 3308.453       
TRN             | 5               | -1637.2245      | 3284.514         | 3284.449        | 3308.6196      
HKY+I           | 5               | -1637.3337      | 3284.7324        | 3284.6675       | 3308.8381      
GTR             | 8               | -1634.6606      | 3285.4778        | 3285.3213       | 3323.9941      
TVM+I           | 8               | -1634.7689      | 3285.6943        | 3285.5378       | 3324.2107      
TIM             | 6               | -1637.0458      | 3286.1826        | 3286.0916       | 3315.0962      
K81UF+I         | 6               | -1637.1548      | 3286.4006        | 3286.3096       | 3315.3142      
TRN+I           | 6               | -1637.2383      | 3286.5676        | 3286.4766       | 3315.4812      
GTR+I           | 9               | -1634.6742      | 3287.5442        | 3287.3484       | 3330.8555      
TIM+I           | 7               | -1637.0594      | 3288.2405        | 3288.119        | 3321.9578      
F81+G           | 4               | -1651.6172      | 3311.2776        | 3311.2344       | 3330.5708      
F81+I+G         | 5               | -1651.6252      | 3313.3154        | 3313.2505       | 3337.4211      
TVMEF+G         | 5               | -1653.9373      | 3317.9395        | 3317.8745       | 3342.0452      
K80+G           | 2               | -1657.4762      | 3318.9653        | 3318.9524       | 3328.6206      
SYM+G           | 6               | -1653.9332      | 3319.9575        | 3319.8665       | 3348.871       
TVMEF+I+G       | 6               | -1653.944       | 3319.979         | 3319.888        | 3348.8926      
K81+G           | 3               | -1657.2982      | 3320.6223        | 3320.5964       | 3335.0989      
TRNEF+G         | 3               | -1657.473       | 3320.972         | 3320.946        | 3335.4485      
K80+I+G         | 3               | -1657.4833      | 3320.9924        | 3320.9666       | 3335.469       
SYM+I+G         | 7               | -1653.9409      | 3322.0034        | 3321.8818       | 3355.7207      
TIMEF+G         | 4               | -1657.295       | 3322.6333        | 3322.59         | 3341.9265      
K81+I+G         | 4               | -1657.3053      | 3322.6538        | 3322.6106       | 3341.947       
TRNEF+I+G       | 4               | -1657.4802      | 3323.0037        | 3322.9604       | 3342.2969      
TIMEF+I+G       | 5               | -1657.3022      | 3324.6694        | 3324.6045       | 3348.7751      
F81             | 3               | -1668.047       | 3342.1199        | 3342.094        | 3356.5964      
F81+I           | 4               | -1668.061       | 3344.1653        | 3344.122        | 3363.4585      
TVMEF           | 4               | -1670.6008      | 3349.2449        | 3349.2017       | 3368.538       
K80             | 1               | -1674.0804      | 3350.1653        | 3350.161        | 3354.995       
SYM             | 5               | -1670.5574      | 3351.1797        | 3351.1147       | 3375.2854      
TVMEF+I         | 5               | -1670.6156      | 3351.2961        | 3351.2312       | 3375.4019      
K81             | 2               | -1673.9008      | 3351.8145        | 3351.8015       | 3361.4697      
TRNEF           | 2               | -1674.0363      | 3352.0854        | 3352.0725       | 3361.7407      
K80+I           | 2               | -1674.0944      | 3352.2017        | 3352.1887       | 3361.857       
SYM+I           | 6               | -1670.5715      | 3353.2341        | 3353.143        | 3382.1477      
TIMEF           | 3               | -1673.8566      | 3353.739         | 3353.7131       | 3368.2156      
K81+I           | 3               | -1673.9144      | 3353.8547        | 3353.8289       | 3368.3313      
TRNEF+I         | 3               | -1674.0509      | 3354.1277        | 3354.1018       | 3368.6042      
TIMEF+I         | 4               | -1673.8711      | 3355.7854        | 3355.7422       | 3375.0786      
JC+G            | 1               | -1686.2         | 3374.4043        | 3374.4          | 3379.2341      
JC+I+G          | 2               | -1686.2083      | 3376.4294        | 3376.4165       | 3386.0847      
JC              | 0               | -1702.4098      | 3404.8196        | 3404.8196       | 3404.8196      
JC+I            | 1               | -1702.4238      | 3406.852         | 3406.8477       | 3411.682       
