Model selection results for subset: 1c4d06154674d85673bbabdecb170871
Subset alignment stored here: ./analysis/phylofiles/1c4d06154674d85673bbabdecb170871.phy
This subset contains the following data_blocks: Gene1_pos1
Number of columns in subset: 193
Models are organised according to their AICc scores

Model           | Parameters      | lnL             | AICc             | AIC             | BIC            
GTR+G           | 9               | -368.00943      | 755.00244        | 754.01886       | 783.38306      
TRN+G           | 6               | -371.5825       | 755.6166         | 755.165         | 774.7411       
TIM+G           | 7               | -370.96643      | 756.53827        | 755.93286       | 778.77167      
GTR+I+G         | 10              | -368.0093       | 757.2274         | 756.0186        | 788.6455       
TRN+I+G         | 7               | -371.58286      | 757.7711         | 757.1657        | 780.0045       
TIM+I+G         | 8               | -370.9667       | 758.716          | 757.9334        | 784.0349       
TRNEF+G         | 3               | -378.0534       | 762.2338         | 762.1068        | 771.8949       
SYM+G           | 6               | -375.25476      | 762.9611         | 762.5095        | 782.08563      
TIMEF+G         | 4               | -377.4319       | 763.07654        | 762.8638        | 775.91455      
TRNEF+I+G       | 4               | -378.05313      | 764.31903        | 764.10626       | 777.15704      
SYM+I+G         | 7               | -375.16327      | 764.93195        | 764.32654       | 787.16534      
TIMEF+I+G       | 5               | -377.43195      | 765.18475        | 764.8639        | 781.17737      
TVMEF+G         | 5               | -381.2213       | 772.7635         | 772.4426        | 788.7561       
K80+G           | 2               | -384.4604       | 772.98395        | 772.9208        | 779.44617      
GTR             | 8               | -378.23618      | 773.25494        | 772.47235       | 798.57385      
K81+G           | 3               | -383.8687       | 773.86444        | 773.7374        | 783.5255       
TVM+G           | 8               | -378.64795      | 774.0785         | 773.2959        | 799.3974       
TRN             | 5               | -381.88528      | 774.09143        | 773.77057       | 790.08405      
HKY+G           | 5               | -382.07858      | 774.478          | 774.15717       | 790.47064      
TVMEF+I+G       | 6               | -381.2193       | 774.8902         | 774.4386        | 794.0147       
K80+I+G         | 3               | -384.45834      | 775.0437         | 774.9167        | 784.7048       
TIM             | 6               | -381.3511       | 775.1538         | 774.7022        | 794.2783       
K81UF+G         | 6               | -381.49176      | 775.4351         | 774.9835        | 794.55963      
GTR+I           | 9               | -378.24155      | 775.4667         | 774.4831        | 803.8473       
K81+I+G         | 4               | -383.86877      | 775.9503         | 775.73755       | 788.7883       
TRN+I           | 6               | -381.8917       | 776.235          | 775.7834        | 795.3595       
TVM+I+G         | 9               | -378.64764      | 776.2789         | 775.2953        | 804.6595       
HKY+I+G         | 6               | -382.07855      | 776.6087         | 776.1571        | 795.7332       
TIM+I           | 7               | -381.35672      | 777.31885        | 776.71344       | 799.55225      
K81UF+I+G       | 7               | -381.4917       | 777.5888         | 776.9834        | 799.8222       
SYM             | 5               | -384.75223      | 779.8253         | 779.50446       | 795.81793      
TRNEF           | 2               | -388.258        | 780.57916        | 780.516         | 787.0414       
TIMEF           | 3               | -387.7179       | 781.5628         | 781.4358        | 791.2239       
SYM+I           | 6               | -384.7582       | 781.968          | 781.5164        | 801.0925       
TRNEF+I         | 3               | -388.26352      | 782.65405        | 782.52704       | 792.3151       
TIMEF+I         | 4               | -387.72223      | 783.6572         | 783.44446       | 796.49524      
TVMEF           | 4               | -391.18573      | 790.5842         | 790.37146       | 803.42224      
K80             | 1               | -394.66733      | 791.3556         | 791.33466       | 794.59735      
K81             | 2               | -394.13083      | 792.3248         | 792.26166       | 798.78705      
TVMEF+I         | 5               | -391.19247      | 792.7058         | 792.38495       | 808.6984       
TVM             | 7               | -389.11234      | 792.8301         | 792.2247        | 815.0635       
JC+G            | 1               | -395.5491       | 793.11914        | 793.0982        | 796.3609       
F81+G           | 4               | -392.45886      | 793.1305         | 792.9177        | 805.9685       
K80+I           | 2               | -394.67294      | 793.40906        | 793.3459        | 799.8713       
HKY             | 4               | -392.73056      | 793.6739         | 793.4611        | 806.5119       
K81+I           | 3               | -394.13663      | 794.40027        | 794.27325       | 804.06134      
K81UF           | 5               | -392.19952      | 794.7199         | 794.39905       | 810.7125       
TVM+I           | 8               | -389.1151       | 795.0128         | 794.2302        | 820.3317       
JC+I+G          | 2               | -395.54733      | 795.15784        | 795.09467       | 801.62006      
F81+I+G         | 5               | -392.4574       | 795.23566        | 794.9148        | 811.2283       
HKY+I           | 5               | -392.7369       | 795.7947         | 795.4738        | 811.7873       
K81UF+I         | 6               | -392.20694      | 796.8655         | 796.4139        | 815.99         
F81             | 3               | -402.32986      | 810.78674        | 810.6597        | 820.4478       
JC              | 0               | -405.6589       | 811.3178         | 811.3178        | 811.3178       
F81+I           | 4               | -402.33472      | 812.8822         | 812.66943       | 825.7202       
JC+I            | 1               | -405.66388      | 813.3487         | 813.32776       | 816.59045      
