Model selection results for subset: 3d1f0abbc7514d3c298d6e7a8a538ea4
Subset alignment stored here: ./analysis/phylofiles/3d1f0abbc7514d3c298d6e7a8a538ea4.phy
This subset contains the following data_blocks: Gene1_pos2
Number of columns in subset: 192
Models are organised according to their AICc scores

Model           | Parameters      | lnL             | AICc             | AIC             | BIC            
HKY+G           | 5               | -290.1084       | 590.53937        | 590.2168        | 606.5043       
TRN+G           | 6               | -289.52014      | 591.4943         | 591.0403        | 610.58527      
HKY+I+G         | 6               | -290.1084       | 592.67084        | 592.2168        | 611.7618       
K81UF+G         | 6               | -290.10846      | 592.67096        | 592.2169        | 611.7619       
TRNEF+G         | 3               | -293.34744      | 592.8226         | 592.6949        | 602.46735      
K80+G           | 2               | -294.39948      | 592.8624         | 592.79895       | 599.31396      
TIM+G           | 7               | -289.5201       | 593.6489         | 593.0402        | 615.8427       
TRN+I+G         | 7               | -289.52332      | 593.65533        | 593.04663       | 615.8491       
K81UF+I+G       | 7               | -290.11066      | 594.83           | 594.2213        | 617.0238       
TIMEF+G         | 4               | -293.34747      | 594.9089         | 594.69495       | 607.7249       
TRNEF+I+G       | 4               | -293.35413      | 594.9222         | 594.70825       | 607.7382       
K81+G           | 3               | -294.39938      | 594.92645        | 594.79877       | 604.5712       
K80+I+G         | 3               | -294.39963      | 594.92694        | 594.79926       | 604.5717       
TIM+I+G         | 8               | -289.52002      | 595.8269         | 595.04004       | 621.1          
TVM+G           | 8               | -290.1083       | 597.0035         | 596.2166        | 622.27655      
K81+I+G         | 4               | -294.3994       | 597.01276        | 596.7988        | 609.8288       
TIMEF+I+G       | 5               | -293.3473       | 597.01715        | 596.6946        | 612.98206      
HKY             | 4               | -294.45154      | 597.117          | 596.9031        | 609.93304      
GTR+G           | 9               | -289.52014      | 598.0293         | 597.0403        | 626.3577       
TRN             | 5               | -293.97397      | 598.2705         | 597.94794       | 614.2354       
TVMEF+G         | 5               | -294.39938      | 599.12134        | 598.79877       | 615.08624      
SYM+G           | 6               | -293.34747      | 599.149          | 598.69495       | 618.2399       
TVM+I+G         | 9               | -290.10822      | 599.20544        | 598.21643       | 627.5339       
K81UF           | 5               | -294.4515       | 599.2256         | 598.903         | 615.1905       
HKY+I           | 5               | -294.459        | 599.2406         | 598.918         | 615.2055       
K80             | 1               | -298.77356      | 599.5682         | 599.5471        | 602.8046       
TRNEF           | 2               | -297.8719       | 599.80725        | 599.7438        | 606.2588       
GTR+I+G         | 10              | -289.56198      | 600.3394         | 599.12396       | 631.6989       
TIM             | 6               | -293.9772       | 600.40845        | 599.9544        | 619.4994       
TRN+I           | 6               | -293.98157      | 600.4172         | 599.96313       | 619.5081       
TVMEF+I+G       | 6               | -294.40158      | 601.2572         | 600.80316       | 620.34814      
SYM+I+G         | 7               | -293.35123      | 601.31116        | 600.70245       | 623.50494      
K81UF+I         | 6               | -294.46136      | 601.3768         | 600.9227        | 620.4677       
F81+G           | 4               | -296.67557      | 601.56506        | 601.35114       | 614.3811       
K81             | 2               | -298.77588      | 601.61523        | 601.55176       | 608.0668       
K80+I           | 2               | -298.78223      | 601.6279         | 601.56445       | 608.07947      
TIMEF           | 3               | -297.87534      | 601.87836        | 601.7507        | 611.52313      
TRNEF+I         | 3               | -297.87943      | 601.88654        | 601.75885       | 611.5313       
TIM+I           | 7               | -293.98157      | 602.57184        | 601.96313       | 624.7656       
TVM             | 7               | -294.45367      | 603.51605        | 602.90735       | 625.70984      
F81+I+G         | 5               | -296.67566      | 603.6739         | 603.3513        | 619.6388       
K81+I           | 3               | -298.78354      | 603.69476        | 603.5671        | 613.33954      
TIMEF+I         | 4               | -297.88297      | 603.97986        | 603.7659        | 616.7959       
JC+G            | 1               | -301.1602       | 604.34143        | 604.3204        | 607.5779       
GTR             | 8               | -294.0861       | 604.95905        | 604.1722        | 630.2321       
TVM+I           | 8               | -294.45926      | 605.7054         | 604.9185        | 630.97845      
TVMEF           | 4               | -298.77362      | 605.76117        | 605.54724       | 618.5772       
SYM             | 5               | -297.8753       | 606.0732         | 605.7506        | 622.0381       
JC+I+G          | 2               | -301.16028      | 606.38403        | 606.32056       | 612.8356       
GTR+I           | 9               | -293.98468      | 606.9584         | 605.96936       | 635.2868       
TVMEF+I         | 5               | -298.7811       | 607.88477        | 607.5622        | 623.8497       
F81             | 3               | -300.9146       | 607.9569         | 607.8292        | 617.6017       
SYM+I           | 6               | -297.88287      | 608.2198         | 607.76575       | 627.3107       
F81+I           | 4               | -300.9223       | 610.05853        | 609.8446        | 622.8746       
JC              | 0               | -305.4089       | 610.8178         | 610.8178        | 610.8178       
JC+I            | 1               | -305.4166       | 612.85425        | 612.8332        | 616.0907       
