Model selection results for subset: 67fab271dfd5fbe3af3ffa44476e6ae4
Subset alignment stored here: ./analysis/phylofiles/67fab271dfd5fbe3af3ffa44476e6ae4.phy
This subset contains the following data_blocks: Gene1_pos3
Number of columns in subset: 192
Models are organised according to their AICc scores

Model           | Parameters      | lnL             | AICc             | AIC             | BIC            
TRN+G           | 6               | -1138.1613      | 2288.7766        | 2288.3225       | 2307.8674      
TIM+G           | 7               | -1138.1337      | 2290.876         | 2290.2673       | 2313.0698      
TRN+I+G         | 7               | -1138.1627      | 2290.934         | 2290.3254       | 2313.128       
TIM+I+G         | 8               | -1138.1342      | 2293.0552        | 2292.2683       | 2318.3284      
HKY+G           | 5               | -1141.8087      | 2293.94          | 2293.6174       | 2309.905       
GTR+G           | 9               | -1137.6991      | 2294.3872        | 2293.3982       | 2322.7156      
TRN+I           | 6               | -1141.1991      | 2294.8523        | 2294.3982       | 2313.943       
K81UF+G         | 6               | -1141.7872      | 2296.0286        | 2295.5745       | 2315.1194      
HKY+I+G         | 6               | -1141.8098      | 2296.0737        | 2295.6196       | 2315.1646      
GTR+I+G         | 10              | -1137.6986      | 2296.6128        | 2295.3972       | 2327.9722      
TIM+I           | 7               | -1141.149       | 2296.9067        | 2296.298        | 2319.1006      
TRN             | 5               | -1143.4137      | 2297.15          | 2296.8274       | 2313.115       
K81UF+I+G       | 7               | -1141.7867      | 2298.1821        | 2297.5735       | 2320.376       
TRNEF+G         | 3               | -1146.0376      | 2298.203         | 2298.0752       | 2307.8477      
HKY+I           | 5               | -1144.0758      | 2298.474         | 2298.1516       | 2314.4392      
TIM             | 6               | -1143.3704      | 2299.1948        | 2298.7407       | 2318.2856      
TVM+G           | 8               | -1141.3314      | 2299.4497        | 2298.6628       | 2324.723       
SYM+G           | 6               | -1143.5839      | 2299.6218        | 2299.1677       | 2318.7126      
TIMEF+G         | 4               | -1145.7748      | 2299.7634        | 2299.5496       | 2312.5796      
TRNEF+I+G       | 4               | -1146.0392      | 2300.2922        | 2300.0784       | 2313.1084      
GTR+I           | 9               | -1140.7246      | 2300.4382        | 2299.4492       | 2328.7666      
K81UF+I         | 6               | -1144.0352      | 2300.5244        | 2300.0703       | 2319.6152      
TVM+I+G         | 9               | -1141.3323      | 2301.6536        | 2300.6646       | 2329.982       
SYM+I+G         | 7               | -1143.5842      | 2301.777         | 2301.1685       | 2323.971       
TIMEF+I+G       | 5               | -1145.7744      | 2301.8713        | 2301.5488       | 2317.8364      
HKY             | 4               | -1147.0205      | 2302.255         | 2302.041        | 2315.071       
K80+G           | 2               | -1149.1019      | 2302.2673        | 2302.2039       | 2308.7188      
GTR             | 8               | -1142.8315      | 2302.45          | 2301.663        | 2327.7231      
TRNEF+I         | 3               | -1148.499       | 2303.1257        | 2302.998        | 2312.7705      
TVMEF+G         | 5               | -1146.6206      | 2303.5637        | 2303.2412       | 2319.5288      
K81+G           | 3               | -1148.863       | 2303.8538        | 2303.726        | 2313.4985      
TVM+I           | 8               | -1143.6392      | 2304.0652        | 2303.2783       | 2329.3384      
K81UF           | 5               | -1146.9845      | 2304.2915        | 2303.969        | 2320.2566      
K80+I+G         | 3               | -1149.1029      | 2304.3335        | 2304.2058       | 2313.9783      
TIMEF+I         | 4               | -1148.2214      | 2304.6567        | 2304.4429       | 2317.473       
SYM+I           | 6               | -1146.1533      | 2304.7607        | 2304.3066       | 2323.8516      
TRNEF           | 2               | -1150.4092      | 2304.8818        | 2304.8184       | 2311.3333      
TVMEF+I+G       | 6               | -1146.6212      | 2305.6965        | 2305.2424       | 2324.7874      
K81+I+G         | 4               | -1148.8635      | 2305.941         | 2305.727        | 2318.757       
K80+I           | 2               | -1151.132       | 2306.3274        | 2306.264        | 2312.7788      
TIMEF           | 3               | -1150.1781      | 2306.484         | 2306.3562       | 2316.1287      
SYM             | 5               | -1148.1693      | 2306.6611        | 2306.3386       | 2322.6262      
TVM             | 7               | -1146.4341      | 2307.4768        | 2306.8682       | 2329.6707      
K81+I           | 3               | -1150.8665      | 2307.8606        | 2307.733        | 2317.5054      
TVMEF+I         | 5               | -1148.8087      | 2307.94          | 2307.6174       | 2323.905       
K80             | 1               | -1153.499       | 2309.019         | 2308.998        | 2312.2556      
K81             | 2               | -1153.2821      | 2310.6277        | 2310.5642       | 2317.079       
TVMEF           | 4               | -1151.2634      | 2310.7407        | 2310.5269       | 2323.557       
JC+G            | 1               | -1232.8044      | 2467.63          | 2467.609        | 2470.8665      
JC+I+G          | 2               | -1232.8055      | 2469.6746        | 2469.611        | 2476.126       
JC+I            | 1               | -1234.7623      | 2471.5457        | 2471.5247       | 2474.7822      
F81+G           | 4               | -1232.0238      | 2472.2615        | 2472.0476       | 2485.0776      
JC              | 0               | -1236.7083      | 2473.4165        | 2473.4165       | 2473.4165      
F81+I+G         | 5               | -1232.0237      | 2474.3699        | 2474.0474       | 2490.335       
F81+I           | 4               | -1234.0148      | 2476.2434        | 2476.0295       | 2489.0596      
F81             | 3               | -1236.0526      | 2478.233         | 2478.1052       | 2487.8777      
