Model selection results for subset: 264bf7ef98bd1fdfaba486ca14c868ba
Subset alignment stored here: ./analysis/phylofiles/264bf7ef98bd1fdfaba486ca14c868ba.phy
This subset contains the following data_blocks: Gene1_pos3
Number of columns in subset: 441
Models are organised according to their AICc scores

Model           | Parameters      | lnL             | AICc             | AIC             | BIC            
SYM+G           | 6               | -2079.3489      | 4170.891         | 4170.6978       | 4195.232       
GTR+G           | 9               | -2076.7302      | 4171.878         | 4171.4604       | 4208.2617      
SYM+I+G         | 7               | -2079.351       | 4172.961         | 4172.702        | 4201.3257      
GTR+I+G         | 10              | -2076.732       | 4173.9756        | 4173.464        | 4214.3545      
TRNEF+G         | 3               | -2087.2874      | 4180.6294        | 4180.5747       | 4192.842       
TRN+G           | 6               | -2084.542       | 4181.2773        | 4181.084        | 4205.618       
TIMEF+G         | 4               | -2087.2598      | 4182.6113        | 4182.5195       | 4198.8755      
TRNEF+I+G       | 4               | -2087.2898      | 4182.6714        | 4182.5796       | 4198.9355      
TIM+G           | 7               | -2084.508       | 4183.275         | 4183.016        | 4211.6396      
TRN+I+G         | 7               | -2084.5444      | 4183.3477        | 4183.089        | 4211.7124      
TIMEF+I+G       | 5               | -2087.2617      | 4184.661         | 4184.5234       | 4204.9688      
TIM+I+G         | 8               | -2084.5095      | 4185.3525        | 4185.019        | 4217.7314      
SYM+I           | 6               | -2090.0977      | 4192.3887        | 4192.1953       | 4216.7295      
GTR+I           | 9               | -2087.3777      | 4193.173         | 4192.7554       | 4229.5566      
TVM+G           | 8               | -2091.9988      | 4200.331         | 4199.9976       | 4232.71        
TVM+I+G         | 9               | -2092.0005      | 4202.4185        | 4202.001        | 4238.8022      
TRNEF+I         | 3               | -2098.2778      | 4202.6104        | 4202.5557       | 4214.8228      
TRN+I           | 6               | -2095.453       | 4203.099         | 4202.906        | 4227.44        
TIMEF+I         | 4               | -2098.261       | 4204.614         | 4204.522        | 4220.878       
TIM+I           | 7               | -2095.428       | 4205.1147        | 4204.856        | 4233.4795      
TVMEF+G         | 5               | -2099.8352      | 4209.808         | 4209.6704       | 4230.1157      
HKY+G           | 5               | -2099.8503      | 4209.8384        | 4209.7007       | 4230.146       
K81UF+G         | 6               | -2099.8123      | 4211.818         | 4211.6245       | 4236.1587      
TVMEF+I+G       | 6               | -2099.8374      | 4211.868         | 4211.675        | 4236.209       
HKY+I+G         | 6               | -2099.8518      | 4211.897         | 4211.7036       | 4236.238       
K81UF+I+G       | 7               | -2099.8137      | 4213.886         | 4213.6274       | 4242.251       
K80+G           | 2               | -2108.0112      | 4220.05          | 4220.0225       | 4228.2007      
SYM             | 5               | -2105.0935      | 4220.3247        | 4220.187        | 4240.6323      
GTR             | 8               | -2102.5305      | 4221.3945        | 4221.061        | 4253.7734      
K81+G           | 3               | -2107.984       | 4222.0225        | 4221.968        | 4234.235       
K80+I+G         | 3               | -2108.0134      | 4222.0815        | 4222.027        | 4234.294       
K81+I+G         | 4               | -2107.985       | 4224.062         | 4223.97         | 4240.326       
TVM+I           | 8               | -2104.8394      | 4226.012         | 4225.6787       | 4258.391       
TRNEF           | 2               | -2112.3035      | 4228.6343        | 4228.607        | 4236.785       
TRN             | 5               | -2109.617       | 4229.3716        | 4229.234        | 4249.679       
TIMEF           | 3               | -2112.2942      | 4230.643         | 4230.5884       | 4242.8555      
TIM             | 6               | -2109.6082      | 4231.4097        | 4231.2163       | 4255.7505      
HKY+I           | 5               | -2112.6455      | 4235.4287        | 4235.291        | 4255.7363      
TVMEF+I         | 5               | -2113.558       | 4237.254         | 4237.116        | 4257.5615      
K81UF+I         | 6               | -2112.6301      | 4237.4536        | 4237.2603       | 4261.7944      
K80+I           | 2               | -2121.5366      | 4247.1006        | 4247.073        | 4255.2515      
K81+I           | 3               | -2121.5244      | 4249.1035        | 4249.049        | 4261.316       
TVM             | 7               | -2118.192       | 4250.6426        | 4250.384        | 4279.0073      
HKY             | 4               | -2125.2036      | 4258.499         | 4258.407        | 4274.763       
K81UF           | 5               | -2125.1948      | 4260.5273        | 4260.3896       | 4280.835       
TVMEF           | 4               | -2127.139       | 4262.3696        | 4262.278        | 4278.634       
K80             | 1               | -2134.2554      | 4270.52          | 4270.5107       | 4274.5996      
K81             | 2               | -2134.249       | 4272.5254        | 4272.498        | 4280.6763      
F81+G           | 4               | -2282.2925      | 4572.677         | 4572.585        | 4588.941       
F81+I+G         | 5               | -2282.2942      | 4574.726         | 4574.5884       | 4595.0337      
JC+G            | 1               | -2292.0266      | 4586.0625        | 4586.053        | 4590.142       
JC+I+G          | 2               | -2292.0278      | 4588.083         | 4588.0557       | 4596.234       
F81+I           | 4               | -2293.4438      | 4594.9795        | 4594.8877       | 4611.2437      
JC+I            | 1               | -2302.8303      | 4607.67          | 4607.6606       | 4611.7495      
F81             | 3               | -2302.5261      | 4611.107         | 4611.0522       | 4623.3193      
JC              | 0               | -2311.5872      | 4623.1743        | 4623.1743       | 4623.1743      
