Model selection results for subset: 2835cbb04616776f991e6b7a21925da4
Subset alignment stored here: ./analysis/phylofiles/2835cbb04616776f991e6b7a21925da4.phy
This subset contains the following data_blocks: Gene1_pos1
Number of columns in subset: 442
Models are organised according to their AICc scores

Model           | Parameters      | lnL             | AICc             | AIC             | BIC            
TRN+G           | 6               | -994.1383       | 2000.4697        | 2000.2766       | 2024.8245      
TIM+G           | 7               | -994.0868       | 2002.4316        | 2002.1736       | 2030.8127      
TRN+I+G         | 7               | -994.1387       | 2002.5354        | 2002.2773       | 2030.9165      
GTR+G           | 9               | -992.31244      | 2003.0415        | 2002.6249       | 2039.4467      
TIM+I+G         | 8               | -994.0882       | 2004.5089        | 2004.1764       | 2036.9069      
GTR+I+G         | 10              | -992.3127       | 2005.1359        | 2004.6254       | 2045.5385      
HKY+G           | 5               | -1008.72687     | 2027.5913        | 2027.4537       | 2047.9103      
K81UF+G         | 6               | -1008.69604     | 2029.5852        | 2029.3921       | 2053.94        
HKY+I+G         | 6               | -1008.7283      | 2029.6497        | 2029.4565       | 2054.0044      
TVM+G           | 8               | -1006.80365     | 2029.9398        | 2029.6073       | 2062.338       
K81UF+I+G       | 7               | -1008.69745     | 2031.653         | 2031.3949       | 2060.0342      
TVM+I+G         | 9               | -1006.80493     | 2032.0265        | 2031.6099       | 2068.4316      
TRNEF+G         | 3               | -1013.3523      | 2032.7594        | 2032.7046       | 2044.9785      
TIMEF+G         | 4               | -1013.3126      | 2034.7168        | 2034.6252       | 2050.9905      
TRNEF+I+G       | 4               | -1013.35315     | 2034.7979        | 2034.7063       | 2051.0715      
SYM+G           | 6               | -1011.7874      | 2035.768         | 2035.5748       | 2060.1228      
TIMEF+I+G       | 5               | -1013.3134      | 2036.7644        | 2036.6268       | 2057.0835      
TRN             | 5               | -1013.7001      | 2037.5377        | 2037.4001       | 2057.8567      
SYM+I+G         | 7               | -1011.78864     | 2037.8353        | 2037.5773       | 2066.2166      
TIM             | 6               | -1013.6856      | 2039.5643        | 2039.3712       | 2063.9192      
TRN+I           | 6               | -1013.7084      | 2039.6099        | 2039.4167       | 2063.9646      
GTR             | 8               | -1011.9916      | 2040.3157        | 2039.9832       | 2072.7136      
TIM+I           | 7               | -1013.69366     | 2041.6454        | 2041.3873       | 2070.0266      
K80+G           | 2               | -1019.15216     | 2042.3317        | 2042.3043       | 2050.487       
GTR+I           | 9               | -1012.0011      | 2042.4188        | 2042.0022       | 2078.824       
K81+G           | 3               | -1019.1241      | 2044.303         | 2044.2482       | 2056.5222      
K80+I+G         | 3               | -1019.15356     | 2044.3619        | 2044.3071       | 2056.581       
TVMEF+G         | 5               | -1017.514       | 2045.1655        | 2045.028        | 2065.4846      
K81+I+G         | 4               | -1019.1255      | 2046.3425        | 2046.251        | 2062.6162      
TVMEF+I+G       | 6               | -1017.5153      | 2047.2238        | 2047.0306       | 2071.5786      
HKY             | 4               | -1026.2855      | 2060.6626        | 2060.571        | 2076.9363      
K81UF           | 5               | -1026.2725      | 2062.6826        | 2062.545        | 2083.0015      
HKY+I           | 5               | -1026.2983      | 2062.7344        | 2062.5967       | 2083.0532      
TVM             | 7               | -1024.5614      | 2063.3809        | 2063.1228       | 2091.762       
K81UF+I         | 6               | -1026.286       | 2064.7651        | 2064.572        | 2089.1199      
TVM+I           | 8               | -1024.5676      | 2065.4678        | 2065.1353       | 2097.8657      
TRNEF           | 2               | -1032.1182      | 2068.2637        | 2068.2363       | 2076.419       
TIMEF           | 3               | -1032.1047      | 2070.2642        | 2070.2095       | 2082.4834      
TRNEF+I         | 3               | -1032.1249      | 2070.3044        | 2070.2498       | 2082.5237      
SYM             | 5               | -1030.626       | 2071.3896        | 2071.252        | 2091.7085      
TIMEF+I         | 4               | -1032.1178      | 2072.3271        | 2072.2356       | 2088.6008      
SYM+I           | 6               | -1030.6366      | 2073.4663        | 2073.2732       | 2097.821       
K80             | 1               | -1036.183       | 2074.375         | 2074.366        | 2078.4573      
K81             | 2               | -1036.1703      | 2076.368         | 2076.3406       | 2084.5232      
K80+I           | 2               | -1036.1912      | 2076.4097        | 2076.3823       | 2084.565       
TVMEF           | 4               | -1034.6832      | 2077.458         | 2077.3665       | 2093.7317      
K81+I           | 3               | -1036.1796      | 2078.4138        | 2078.3591       | 2090.633       
TVMEF+I         | 5               | -1034.6904      | 2079.5186        | 2079.3809       | 2099.8374      
F81+G           | 4               | -1037.5304      | 2083.1523        | 2083.0608       | 2099.426       
F81+I+G         | 5               | -1037.5316      | 2085.201         | 2085.0632       | 2105.5198      
JC+G            | 1               | -1053.0507      | 2108.1104        | 2108.1013       | 2112.1926      
JC+I+G          | 2               | -1053.0527      | 2110.1328        | 2110.1055       | 2118.288       
F81             | 3               | -1053.7922      | 2113.6392        | 2113.5845       | 2125.8584      
F81+I           | 4               | -1053.7979      | 2115.6873        | 2115.5957       | 2131.961       
JC              | 0               | -1069.2311      | 2138.4622        | 2138.4622       | 2138.4622      
JC+I            | 1               | -1069.2363      | 2140.4817        | 2140.4727       | 2144.564       
