Model selection results for subset: cfd20768a5405d2527aa5c0f3ebed7a9
Subset alignment stored here: ./analysis/phylofiles/cfd20768a5405d2527aa5c0f3ebed7a9.phy
This subset contains the following data_blocks: Gene1_pos2
Number of columns in subset: 441
Models are organised according to their AICc scores

Model           | Parameters      | lnL             | AICc             | AIC             | BIC            
TVM+G           | 8               | -859.8577       | 1736.0488        | 1735.7155       | 1768.4279      
GTR+G           | 9               | -859.7991       | 1738.0157        | 1737.5981       | 1774.3995      
TVM+I+G         | 9               | -859.85834      | 1738.1343        | 1737.7167       | 1774.5181      
HKY+G           | 5               | -864.3135       | 1738.7649        | 1738.627        | 1759.0721      
GTR+I+G         | 10              | -859.7995       | 1740.1106        | 1739.599        | 1780.4895      
K81UF+G         | 6               | -864.1955       | 1740.5846        | 1740.391        | 1764.9253      
TRN+G           | 6               | -864.2718       | 1740.7372        | 1740.5436       | 1765.0779      
HKY+I+G         | 6               | -864.3142       | 1740.822         | 1740.6284       | 1765.1627      
TIM+G           | 7               | -864.15454      | 1742.5677        | 1742.3091       | 1770.9324      
K81UF+I+G       | 7               | -864.1964       | 1742.6515        | 1742.3928       | 1771.0161      
TRN+I+G         | 7               | -864.27234      | 1742.8033        | 1742.5447       | 1771.168       
TIM+I+G         | 8               | -864.15546      | 1744.6443        | 1744.3109       | 1777.0233      
TVMEF+G         | 5               | -873.66113      | 1757.4602        | 1757.3223       | 1777.7675      
K80+G           | 2               | -877.42145      | 1758.8702        | 1758.8429       | 1767.021       
SYM+G           | 6               | -873.6527       | 1759.499         | 1759.3054       | 1783.8397      
TVMEF+I+G       | 6               | -873.6618       | 1759.5172        | 1759.3236       | 1783.8579      
K81+G           | 3               | -877.3714       | 1760.7977        | 1760.7428       | 1773.0099      
TRNEF+G         | 3               | -877.41595      | 1760.8868        | 1760.8319       | 1773.099       
K80+I+G         | 3               | -877.42236      | 1760.8997        | 1760.8447       | 1773.1118      
SYM+I+G         | 7               | -873.6536       | 1761.5659        | 1761.3073       | 1789.9305      
TIMEF+G         | 4               | -877.3656       | 1762.823         | 1762.7312       | 1779.0874      
K81+I+G         | 4               | -877.3721       | 1762.8359        | 1762.7441       | 1779.1003      
TRNEF+I+G       | 4               | -877.4166       | 1762.925         | 1762.8333       | 1779.1895      
TVM             | 7               | -875.1327       | 1764.524         | 1764.2654       | 1792.8887      
TIMEF+I+G       | 5               | -877.3663       | 1764.8705        | 1764.7325       | 1785.1777      
GTR             | 8               | -875.04803      | 1766.4294        | 1766.0961       | 1798.8085      
TVM+I           | 8               | -875.13855      | 1766.6105        | 1766.2771       | 1798.9895      
HKY             | 4               | -879.94617      | 1767.9841        | 1767.8923       | 1784.2485      
GTR+I           | 9               | -875.054        | 1768.5256        | 1768.108        | 1804.9094      
K81UF           | 5               | -879.8463       | 1769.8306        | 1769.6926       | 1790.1378      
TRN             | 5               | -879.86163      | 1769.8612        | 1769.7233       | 1790.1685      
HKY+I           | 5               | -879.9525       | 1770.043         | 1769.905        | 1790.3502      
TIM             | 6               | -879.762        | 1771.7177        | 1771.524        | 1796.0583      
K81UF+I         | 6               | -879.8523       | 1771.8982        | 1771.7046       | 1796.2389      
TRN+I           | 6               | -879.86755      | 1771.9287        | 1771.7351       | 1796.2694      
TIM+I           | 7               | -879.76825      | 1773.7952        | 1773.5365       | 1802.1598      
F81+G           | 4               | -884.77655      | 1777.6449        | 1777.5531       | 1793.9093      
F81+I+G         | 5               | -884.77716      | 1779.6923        | 1779.5543       | 1799.9995      
TVMEF           | 4               | -888.8101       | 1785.712         | 1785.6202       | 1801.9764      
SYM             | 5               | -888.8034       | 1787.7448        | 1787.6068       | 1808.052       
TVMEF+I         | 5               | -888.8165       | 1787.771         | 1787.633        | 1808.0782      
K80             | 1               | -893.01965      | 1788.0485        | 1788.0393       | 1792.1283      
SYM+I           | 6               | -888.8099       | 1789.8134        | 1789.6198       | 1814.154       
K81             | 2               | -892.9651       | 1789.9575        | 1789.9302       | 1798.1083      
TRNEF           | 2               | -893.0121       | 1790.0515        | 1790.0242       | 1798.2023      
K80+I           | 2               | -893.02606      | 1790.0795        | 1790.0521       | 1798.2302      
TIMEF           | 3               | -892.9575       | 1791.97          | 1791.915        | 1804.1821      
K81+I           | 3               | -892.9711       | 1791.9972        | 1791.9423       | 1804.2094      
TRNEF+I         | 3               | -893.0182       | 1792.0913        | 1792.0364       | 1804.3035      
TIMEF+I         | 4               | -892.96375      | 1794.0193        | 1793.9275       | 1810.2837      
JC+G            | 1               | -896.6505       | 1795.3102        | 1795.301        | 1799.39        
JC+I+G          | 2               | -896.6511       | 1797.3296        | 1797.3022       | 1805.4803      
F81             | 3               | -900.0994       | 1806.2538        | 1806.1989       | 1818.466       
F81+I           | 4               | -900.10596      | 1808.3037        | 1808.2119       | 1824.5681      
JC              | 0               | -912.02655      | 1824.0531        | 1824.0531       | 1824.0531      
JC+I            | 1               | -912.0331       | 1826.0753        | 1826.0662       | 1830.1552      
