Model selection results for subset: 5525fbd8c2aa12d027e8c58601638fe2
Subset alignment stored here: ./analysis/phylofiles/5525fbd8c2aa12d027e8c58601638fe2.phy
This subset contains the following data_blocks: Gene1_pos2
Number of columns in subset: 254
Models are organised according to their AICc scores

Model           | Parameters      | lnL             | AICc             | AIC             | BIC            
HKY+I           | 5               | -508.1332       | 1026.5083        | 1026.2664       | 1043.9531      
K81UF+I         | 6               | -507.469        | 1027.2781        | 1026.938        | 1048.162       
HKY+I+G         | 6               | -507.5997       | 1027.5394        | 1027.1995       | 1048.4235      
K81UF+I+G       | 7               | -506.92416      | 1028.3036        | 1027.8484       | 1052.6096      
TRN+I           | 6               | -508.0933       | 1028.5266        | 1028.1865       | 1049.4106      
HKY+G           | 5               | -509.273        | 1028.788         | 1028.546        | 1046.2327      
TIM+I           | 7               | -507.43945      | 1029.3342        | 1028.8789       | 1053.6403      
TRN+I+G         | 7               | -507.45712      | 1029.3695        | 1028.9143       | 1053.6755      
K81UF+G         | 6               | -508.59543      | 1029.5309        | 1029.1909       | 1050.4149      
TIM+I+G         | 8               | -506.7747       | 1030.1371        | 1029.5493       | 1057.848       
TRN+G           | 6               | -508.95178      | 1030.2437        | 1029.9036       | 1051.1276      
TIM+G           | 7               | -508.26886      | 1030.993         | 1030.5377       | 1055.2991      
TVM+I+G         | 9               | -506.7343       | 1032.2063        | 1031.4686       | 1063.3047      
GTR+I           | 9               | -507.25055      | 1033.2388        | 1032.5011       | 1064.3372      
TVM+G           | 8               | -508.34625      | 1033.2803        | 1032.6925       | 1060.9912      
GTR+I+G         | 10              | -506.5815       | 1034.0684        | 1033.1631       | 1068.5364      
GTR+G           | 9               | -508.02798      | 1034.7937        | 1034.0559       | 1065.892       
TVM+I           | 8               | -510.0084       | 1036.6045        | 1036.0168       | 1064.3154      
HKY             | 4               | -515.1215       | 1038.4037        | 1038.243        | 1052.3923      
TRN             | 5               | -514.3892       | 1039.0204        | 1038.7784       | 1056.4651      
K81UF           | 5               | -514.4591       | 1039.1602        | 1038.9182       | 1056.6049      
TIM             | 6               | -513.7265       | 1039.7931        | 1039.453        | 1060.677       
K80+I           | 2               | -519.0415       | 1042.1309        | 1042.083        | 1049.1577      
TVM             | 7               | -514.09863      | 1042.6526        | 1042.1973       | 1066.9586      
K80+I+G         | 3               | -518.3261       | 1042.7482        | 1042.6522       | 1053.2643      
K80+G           | 2               | -519.5421       | 1043.1321        | 1043.0842       | 1050.1589      
K81+I           | 3               | -518.5811       | 1043.2582        | 1043.1622       | 1053.7743      
GTR             | 8               | -513.3671       | 1043.322         | 1042.7343       | 1071.033       
K81+I+G         | 4               | -517.8645       | 1043.8896        | 1043.729        | 1057.8783      
TRNEF+I         | 3               | -518.9202       | 1043.9364        | 1043.8405       | 1054.4525      
K81+G           | 3               | -519.0611       | 1044.2181        | 1044.1222       | 1054.7343      
TRNEF+I+G       | 4               | -518.25604      | 1044.6727        | 1044.5121       | 1058.6614      
TIMEF+I         | 4               | -518.4596       | 1045.0798        | 1044.9192       | 1059.0685      
TRNEF+G         | 3               | -519.5383       | 1045.1726        | 1045.0767       | 1055.6887      
TIMEF+I+G       | 5               | -517.7954       | 1045.8328        | 1045.5908       | 1063.2775      
TIMEF+G         | 4               | -519.0569       | 1046.2744        | 1046.1138       | 1060.2631      
TVMEF+I         | 5               | -518.1554       | 1046.5527        | 1046.3108       | 1063.9974      
TVMEF+I+G       | 6               | -517.4116       | 1047.1633        | 1046.8232       | 1068.0472      
TVMEF+G         | 5               | -518.57367      | 1047.3893        | 1047.1473       | 1064.834       
SYM+I           | 6               | -518.03986      | 1048.4198        | 1048.0797       | 1069.3037      
SYM+I+G         | 7               | -517.36456      | 1049.1844        | 1048.7291       | 1073.4905      
SYM+G           | 6               | -518.5708       | 1049.4817        | 1049.1416       | 1070.3656      
K80             | 1               | -524.6106       | 1051.237         | 1051.2212       | 1054.7585      
F81+I           | 4               | -521.82025      | 1051.8011        | 1051.6405       | 1065.7898      
K81             | 2               | -524.0975       | 1052.2428        | 1052.195        | 1059.2697      
F81+I+G         | 5               | -521.06213      | 1052.3662        | 1052.1243       | 1069.8109      
F81+G           | 4               | -522.2786       | 1052.7179        | 1052.5573       | 1066.7065      
TRNEF           | 2               | -524.51917      | 1053.0862        | 1053.0383       | 1060.113       
TIMEF           | 3               | -524.0062       | 1054.1084        | 1054.0125       | 1064.6245      
TVMEF           | 4               | -523.47943      | 1055.1195        | 1054.9589       | 1069.1082      
SYM             | 5               | -523.38916      | 1057.0203        | 1056.7783       | 1074.465       
F81             | 3               | -527.28784      | 1060.6716        | 1060.5757       | 1071.1877      
JC+I            | 1               | -531.02795      | 1064.0718        | 1064.0559       | 1067.5933      
JC+I+G          | 2               | -530.27527      | 1064.5984        | 1064.5505       | 1071.6252      
JC+G            | 1               | -531.49097      | 1064.9978        | 1064.9819       | 1068.5193      
JC              | 0               | -536.4959       | 1072.9918        | 1072.9918       | 1072.9918      
