Model selection results for subset: 65f7f252eaea0f175371cfb0233f180e
Subset alignment stored here: ./analysis/phylofiles/65f7f252eaea0f175371cfb0233f180e.phy
This subset contains the following data_blocks: Gene1_pos1
Number of columns in subset: 255
Models are organised according to their AICc scores

Model           | Parameters      | lnL             | AICc             | AIC             | BIC            
TRN+I           | 6               | -613.36084      | 1239.0604        | 1238.7217       | 1259.9692      
TRN+G           | 6               | -613.4328       | 1239.2043        | 1238.8656       | 1260.1132      
GTR+I           | 9               | -610.2534       | 1239.2416        | 1238.5068       | 1270.3782      
GTR+G           | 9               | -610.2628       | 1239.2604        | 1238.5256       | 1270.397       
GTR+I+G         | 10              | -609.5534       | 1240.0084        | 1239.1068       | 1274.5194      
TRN+I+G         | 7               | -612.84515      | 1240.1438        | 1239.6903       | 1264.4791      
TIM+I           | 7               | -612.93585      | 1240.3252        | 1239.8717       | 1264.6605      
TIM+G           | 7               | -613.0059       | 1240.4653        | 1240.0118       | 1264.8007      
TIM+I+G         | 8               | -612.4459       | 1241.4772        | 1240.8918       | 1269.2219      
HKY+I           | 5               | -618.3672       | 1246.9753        | 1246.7344       | 1264.4407      
TVM+I           | 8               | -615.29156      | 1247.1685        | 1246.5831       | 1274.9132      
TVM+G           | 8               | -615.599        | 1247.7833        | 1247.198        | 1275.5281      
HKY+G           | 5               | -618.787        | 1247.815         | 1247.574        | 1265.2803      
K81UF+I         | 6               | -617.9486       | 1248.236         | 1247.8972       | 1269.1448      
HKY+I+G         | 6               | -617.9538       | 1248.2463        | 1247.9076       | 1269.1552      
TVM+I+G         | 9               | -614.76654      | 1248.2678        | 1247.5331       | 1279.4044      
TRNEF+I         | 3               | -621.13654      | 1248.3687        | 1248.2731       | 1258.8969      
TRNEF+G         | 3               | -621.2703       | 1248.6362        | 1248.5406       | 1259.1644      
K81UF+G         | 6               | -618.3629       | 1249.0646        | 1248.7258       | 1269.9734      
SYM+I           | 6               | -618.43536      | 1249.2095        | 1248.8707       | 1270.1183      
SYM+G           | 6               | -618.5227       | 1249.3842        | 1249.0454       | 1270.293       
TIMEF+I         | 4               | -620.686        | 1249.532         | 1249.372        | 1263.537       
K81UF+I+G       | 7               | -617.5402       | 1249.5339        | 1249.0804       | 1273.8693      
TRNEF+I+G       | 4               | -620.7631       | 1249.6863        | 1249.5262       | 1263.6913      
TIMEF+G         | 4               | -620.81433      | 1249.7887        | 1249.6287       | 1263.7937      
SYM+I+G         | 7               | -617.9744       | 1250.4023        | 1249.9489       | 1274.7377      
K80+I           | 2               | -623.2693       | 1250.5862        | 1250.5386       | 1257.6211      
TIMEF+I+G       | 5               | -620.3546       | 1250.9502        | 1250.7092       | 1268.4155      
K80+G           | 2               | -623.5825       | 1251.2126        | 1251.165        | 1258.2476      
TVMEF+I         | 5               | -620.5294       | 1251.2998        | 1251.0588       | 1268.7651      
K81+I           | 3               | -622.81647      | 1251.7285        | 1251.6329       | 1262.2567      
TVMEF+G         | 5               | -620.7691       | 1251.7792        | 1251.5382       | 1269.2445      
K80+I+G         | 3               | -622.9864       | 1252.0684        | 1251.9728       | 1262.5966      
K81+G           | 3               | -623.12146      | 1252.3385        | 1252.2429       | 1262.8667      
TVMEF+I+G       | 6               | -620.1119       | 1252.5625        | 1252.2238       | 1273.4713      
K81+I+G         | 4               | -622.5389       | 1253.2378        | 1253.0778       | 1267.2428      
GTR             | 8               | -621.1931       | 1258.9716        | 1258.3862       | 1286.7163      
TRN             | 5               | -624.7008       | 1259.6426        | 1259.4016       | 1277.1079      
TIM             | 6               | -624.24744      | 1260.8336        | 1260.4949       | 1281.7424      
TVM             | 7               | -627.4171       | 1269.2877        | 1268.8342       | 1293.623       
SYM             | 5               | -629.5992       | 1269.4393        | 1269.1984       | 1286.9047      
TRNEF           | 2               | -632.71045      | 1269.4685        | 1269.4209       | 1276.5034      
HKY             | 4               | -630.9302       | 1270.0204        | 1269.8604       | 1284.0254      
TIMEF           | 3               | -632.21277      | 1270.5211        | 1270.4255       | 1281.0493      
K81UF           | 5               | -630.4765       | 1271.194         | 1270.953        | 1288.6593      
TVMEF           | 4               | -632.1458       | 1272.4517        | 1272.2916       | 1286.4567      
K80             | 1               | -635.2597       | 1272.5353        | 1272.5194       | 1276.0607      
K81             | 2               | -634.76135      | 1273.5703        | 1273.5227       | 1280.6052      
F81+I           | 4               | -636.461        | 1281.082         | 1280.922        | 1295.087       
F81+G           | 4               | -636.6382       | 1281.4364        | 1281.2764       | 1295.4414      
F81+I+G         | 5               | -636.26306      | 1282.7671        | 1282.5261       | 1300.2324      
JC+I            | 1               | -642.0951       | 1286.206         | 1286.1902       | 1289.7314      
JC+G            | 1               | -642.3217       | 1286.6593        | 1286.6434       | 1290.1847      
JC+I+G          | 2               | -641.82526      | 1287.6981        | 1287.6505       | 1294.733       
F81             | 3               | -647.5749       | 1301.2454        | 1301.1498       | 1311.7736      
JC              | 0               | -653.5401       | 1307.0802        | 1307.0802       | 1307.0802      
