Model selection results for subset: d96bf3371d5aa27e12c2ccd153bf07d2
Subset alignment stored here: ./analysis/phylofiles/d96bf3371d5aa27e12c2ccd153bf07d2.phy
This subset contains the following data_blocks: Gene1_pos3
Number of columns in subset: 254
Models are organised according to their AICc scores

Model           | Parameters      | lnL             | AICc             | AIC             | BIC            
GTR+I           | 9               | -1358.8116      | 2736.361         | 2735.6233       | 2767.4592      
GTR+I+G         | 10              | -1358.84        | 2738.5852        | 2737.68         | 2773.0532      
TRN+I           | 6               | -1363.1733      | 2738.6868        | 2738.3467       | 2759.5708      
GTR+G           | 9               | -1360.4746      | 2739.687         | 2738.9492       | 2770.7852      
TIM+I           | 7               | -1363.152       | 2740.7593        | 2740.304        | 2765.0652      
TRN+I+G         | 7               | -1363.2091      | 2740.8735        | 2740.4182       | 2765.1794      
TVM+I           | 8               | -1362.368       | 2741.3237        | 2740.736        | 2769.0347      
TRN+G           | 6               | -1365.0194      | 2742.379         | 2742.0388       | 2763.263       
TIM+I+G         | 8               | -1363.1863      | 2742.9602        | 2742.3726       | 2770.6711      
TVM+I+G         | 9               | -1362.4116      | 2743.561         | 2742.8232       | 2774.6592      
HKY+I           | 5               | -1366.7017      | 2743.6453        | 2743.4033       | 2761.09        
TIM+G           | 7               | -1364.9939      | 2744.443         | 2743.9878       | 2768.749       
TVM+G           | 8               | -1364.5392      | 2745.666         | 2745.0784       | 2773.377       
K81UF+I         | 6               | -1366.6777      | 2745.6956        | 2745.3555       | 2766.5796      
HKY+I+G         | 6               | -1366.7537      | 2745.8474        | 2745.5073       | 2766.7314      
GTR             | 8               | -1365.3177      | 2747.2231        | 2746.6355       | 2774.934       
K81UF+I+G       | 7               | -1366.7278      | 2747.911         | 2747.4556       | 2772.2168      
HKY+G           | 5               | -1369.1271      | 2748.496         | 2748.2542       | 2765.941       
K81UF+G         | 6               | -1369.1027      | 2750.5454        | 2750.2053       | 2771.4294      
TRN             | 5               | -1370.2405      | 2750.723         | 2750.481        | 2768.1677      
TIM             | 6               | -1370.2137      | 2752.7676        | 2752.4275       | 2773.6516      
SYM+I           | 6               | -1371.0978      | 2754.5356        | 2754.1956       | 2775.4197      
SYM+G           | 6               | -1371.1381      | 2754.6162        | 2754.2761       | 2775.5002      
TVM             | 7               | -1370.5834      | 2755.622         | 2755.1667       | 2779.928       
SYM+I+G         | 7               | -1370.9912      | 2756.4377        | 2755.9824       | 2780.7437      
HKY             | 4               | -1375.5746      | 2759.3098        | 2759.1492       | 2773.2986      
TVMEF+I         | 5               | -1374.5863      | 2759.4146        | 2759.1726       | 2776.8594      
TVMEF+G         | 5               | -1375.1266      | 2760.495         | 2760.2532       | 2777.94        
TRNEF+I         | 3               | -1377.5461      | 2761.1882        | 2761.0923       | 2771.7043      
K81UF           | 5               | -1375.5466      | 2761.3352        | 2761.0933       | 2778.78        
TVMEF+I+G       | 6               | -1374.5897      | 2761.5195        | 2761.1794       | 2782.4036      
TRNEF+G         | 3               | -1377.876       | 2761.848         | 2761.752        | 2772.364       
SYM             | 5               | -1376.0404      | 2762.3228        | 2762.0808       | 2779.7676      
TRNEF+I+G       | 4               | -1377.52        | 2763.2007        | 2763.04         | 2777.1895      
TIMEF+I         | 4               | -1377.5432      | 2763.247         | 2763.0864       | 2777.2358      
TIMEF+G         | 4               | -1377.8763      | 2763.9133        | 2763.7527       | 2777.902       
TIMEF+I+G       | 5               | -1377.5178      | 2765.2776        | 2765.0356       | 2782.7224      
K80+I           | 2               | -1381.0513      | 2766.1504        | 2766.1025       | 2773.1772      
K80+G           | 2               | -1381.935       | 2767.918         | 2767.87         | 2774.9448      
K81+I           | 3               | -1381.0496      | 2768.195         | 2768.099        | 2778.7112      
K80+I+G         | 3               | -1381.0596      | 2768.215         | 2768.1191       | 2778.7312      
TRNEF           | 2               | -1382.7676      | 2769.583         | 2769.5352       | 2776.6099      
K81+G           | 3               | -1381.9338      | 2769.9636        | 2769.8677       | 2780.4797      
TVMEF           | 4               | -1380.9816      | 2770.1238        | 2769.9631       | 2784.1125      
K81+I+G         | 4               | -1381.0582      | 2770.277         | 2770.1165       | 2784.2659      
TIMEF           | 3               | -1382.7675      | 2771.6309        | 2771.535        | 2782.147       
K80             | 1               | -1387.801       | 2777.618         | 2777.602        | 2781.1394      
K81             | 2               | -1387.801       | 2779.65          | 2779.602        | 2786.6768      
F81+I           | 4               | -1522.6226      | 3053.4058        | 3053.245        | 3067.3945      
F81+I+G         | 5               | -1522.6627      | 3055.5674        | 3055.3254       | 3073.0122      
F81+G           | 4               | -1524.1674      | 3056.4954        | 3056.3347       | 3070.4841      
JC+I            | 1               | -1528.7639      | 3059.5437        | 3059.5278       | 3063.0652      
JC+I+G          | 2               | -1528.7866      | 3061.621         | 3061.5732       | 3068.648       
JC+G            | 1               | -1529.8602      | 3061.7363        | 3061.7205       | 3065.2578      
F81             | 3               | -1527.9846      | 3062.0652        | 3061.9692       | 3072.5813      
JC              | 0               | -1533.507       | 3067.014         | 3067.014        | 3067.014       
