Model selection results for subset: 3960ea45ed3ef5924781473d568aaee5
Subset alignment stored here: ./analysis/phylofiles/3960ea45ed3ef5924781473d568aaee5.phy
This subset contains the following data_blocks: Gene1_pos2
Number of columns in subset: 158
Models are organised according to their AICc scores

Model           | Parameters      | lnL             | AICc             | AIC             | BIC            
HKY+I           | 5               | -269.25977      | 548.91425        | 548.51953       | 563.8325       
K81UF+I         | 6               | -268.62802      | 549.8123         | 549.25604       | 567.6316       
HKY+G           | 5               | -270.1962       | 550.7871         | 550.3924        | 565.7054       
HKY+I+G         | 6               | -269.23038      | 551.017          | 550.46075       | 568.8363       
TRN+I           | 6               | -269.2452       | 551.0467         | 550.4904        | 568.86597      
K81UF+G         | 6               | -269.53006      | 551.6164         | 551.0601        | 569.43567      
K81UF+I+G       | 7               | -268.6005       | 551.94763        | 551.201         | 572.63916      
TIM+I           | 7               | -268.62555      | 551.99774        | 551.2511        | 572.6893       
TRN+G           | 6               | -270.17575      | 552.9078         | 552.3515        | 570.72705      
TRN+I+G         | 7               | -269.1682       | 553.08307        | 552.3364        | 573.7746       
TVM+I           | 8               | -268.25812      | 553.48267        | 552.51624       | 577.01697      
HKY             | 4               | -272.6677       | 553.5968         | 553.3354        | 565.58575      
TIM+G           | 7               | -269.51053      | 553.7677         | 553.02106       | 574.4592       
TIM+I+G         | 8               | -268.59787      | 554.1622         | 553.19574       | 577.6965       
K81UF           | 5               | -271.9846       | 554.3639         | 553.9692        | 569.28217      
TVM+G           | 8               | -269.1219       | 555.2102         | 554.2438        | 578.7445       
TRN             | 5               | -272.6016       | 555.5979         | 555.2032        | 570.5162       
TVM+I+G         | 9               | -268.193        | 555.6022         | 554.386         | 581.94934      
GTR+I           | 9               | -268.24765      | 555.7115         | 554.4953        | 582.05865      
TIM             | 6               | -271.91946      | 556.3952         | 555.8389        | 574.2145       
GTR+G           | 9               | -269.1024       | 557.42096        | 556.2048        | 583.7681       
TVM             | 7               | -271.55017      | 557.847          | 557.10034       | 578.5385       
GTR+I+G         | 10              | -268.28656      | 558.0697         | 556.5731        | 587.1991       
F81+G           | 4               | -275.4989       | 559.2592         | 558.9978        | 571.24817      
F81+I           | 4               | -275.57755      | 559.4165         | 559.1551        | 571.40546      
F81+I+G         | 5               | -274.65298      | 559.7007         | 559.30597       | 574.61896      
GTR             | 8               | -271.48447      | 559.93536        | 558.96893       | 583.46967      
F81             | 3               | -277.8185       | 561.79285        | 561.637         | 570.8248       
K80+I           | 2               | -285.08694      | 574.2513         | 574.1739        | 580.2991       
K81+I           | 3               | -284.4239       | 575.0036         | 574.8478        | 584.0356       
TRNEF+I         | 3               | -284.66483      | 575.4855         | 575.32965       | 584.51746      
K80+I+G         | 3               | -284.87448      | 575.9048         | 575.74896       | 584.93677      
K80+G           | 2               | -285.9167       | 575.91077        | 575.8334        | 581.95856      
TIMEF+I         | 4               | -284.01022      | 576.28186        | 576.02045       | 588.2708       
K81+G           | 3               | -285.23474      | 576.6253         | 576.4695        | 585.6573       
K81+I+G         | 4               | -284.20972      | 576.68085        | 576.41943       | 588.6698       
TRNEF+I+G       | 4               | -284.5367       | 577.33484        | 577.0734        | 589.3238       
TRNEF+G         | 3               | -285.7456       | 577.64703        | 577.4912        | 586.679        
TIMEF+I+G       | 5               | -283.84354      | 578.0818         | 577.6871        | 593.00006      
TIMEF+G         | 4               | -285.06387      | 578.38916        | 578.12775       | 590.3781       
K80             | 1               | -288.30743      | 578.6405         | 578.61487       | 581.6775       
K81             | 2               | -287.61795      | 579.3133         | 579.2359        | 585.3611       
SYM+I           | 6               | -283.46304      | 579.48236        | 578.9261        | 597.30164      
TVMEF+G         | 5               | -284.71326      | 579.8212         | 579.4265        | 594.7395       
TVMEF+I+G       | 6               | -283.64798      | 579.85223        | 579.29596       | 597.6715       
TVMEF+I         | 5               | -284.83618      | 580.0671         | 579.67236       | 594.98535      
TRNEF           | 2               | -288.2059       | 580.4892         | 580.4118        | 586.537        
TIMEF           | 3               | -287.51666      | 581.18915        | 581.0333        | 590.2211       
SYM+I+G         | 7               | -283.28656      | 581.31976        | 580.5731        | 602.0113       
SYM+G           | 6               | -284.5388       | 581.63385        | 581.0776        | 599.4531       
TVMEF           | 4               | -287.10083      | 582.4631         | 582.20166       | 594.452        
SYM             | 5               | -286.99942      | 584.39355        | 583.99884       | 599.3118       
JC+I            | 1               | -291.24646      | 584.51855        | 584.4929        | 587.55554      
JC+G            | 1               | -292.01425      | 586.05414        | 586.0285        | 589.0911       
JC+I+G          | 2               | -291.09793      | 586.27325        | 586.19586       | 592.32104      
JC              | 0               | -294.37204      | 588.7441         | 588.7441        | 588.7441       
