Model selection results for subset: 6b4d61587ad3a37d052484985d3731a5
Subset alignment stored here: ./analysis/phylofiles/6b4d61587ad3a37d052484985d3731a5.phy
This subset contains the following data_blocks: Gene1_pos3
Number of columns in subset: 157
Models are organised according to their AICc scores

Model           | Parameters      | lnL             | AICc             | AIC             | BIC            
GTR+I           | 9               | -780.6985       | 1580.6215        | 1579.397        | 1606.9032      
GTR+G           | 9               | -781.27527      | 1581.775         | 1580.5505       | 1608.0568      
TRN+I           | 6               | -784.6469       | 1581.8539        | 1581.2938       | 1599.6313      
GTR+I+G         | 10              | -780.6547       | 1582.8163        | 1581.3094       | 1611.872       
TRN+G           | 6               | -785.26324      | 1583.0865        | 1582.5265       | 1600.864       
TIM+I           | 7               | -784.3444       | 1583.4406        | 1582.6888       | 1604.0825      
TVM+I           | 8               | -783.2477       | 1583.4684        | 1582.4954       | 1606.9453      
SYM+I           | 6               | -785.6899       | 1583.9398        | 1583.3798       | 1601.7173      
TRN+I+G         | 7               | -784.6165       | 1583.9847        | 1583.233        | 1604.6267      
SYM+G           | 6               | -785.86646      | 1584.293         | 1583.7329       | 1602.0704      
TVM+G           | 8               | -783.6805       | 1584.334         | 1583.361        | 1607.8109      
HKY+I           | 5               | -787.17365      | 1584.7446        | 1584.3473       | 1599.6285      
TIM+G           | 7               | -785.0231       | 1584.7979        | 1584.0461       | 1605.4398      
HKY+G           | 5               | -787.5913       | 1585.58          | 1585.1826       | 1600.4639      
TVM+I+G         | 9               | -783.19434      | 1585.6132        | 1584.3887       | 1611.8949      
TIM+I+G         | 8               | -784.3229       | 1585.6188        | 1584.6458       | 1609.0957      
SYM+I+G         | 7               | -785.53467      | 1585.821         | 1585.0693       | 1606.463       
K81UF+I         | 6               | -786.906        | 1586.3721        | 1585.812        | 1604.1495      
HKY+I+G         | 6               | -787.12476      | 1586.8096        | 1586.2495       | 1604.587       
K81UF+G         | 6               | -787.3801       | 1587.3203        | 1586.7603       | 1605.0978      
TRNEF+I         | 3               | -790.7634       | 1587.6837        | 1587.5269       | 1596.6956      
TRNEF+G         | 3               | -791.0152       | 1588.1873        | 1588.0304       | 1597.1991      
K81UF+I+G       | 7               | -786.86523      | 1588.4822        | 1587.7305       | 1609.1241      
TIMEF+I         | 4               | -790.5121       | 1589.2874        | 1589.0242       | 1601.2491      
TRNEF+I+G       | 4               | -790.6438       | 1589.5508        | 1589.2876       | 1601.5126      
TIMEF+G         | 4               | -790.82916      | 1589.9215        | 1589.6583       | 1601.8833      
TVMEF+G         | 5               | -789.8471       | 1590.0916        | 1589.6942       | 1604.9755      
TVMEF+I         | 5               | -789.8496       | 1590.0966        | 1589.6992       | 1604.9805      
TIMEF+I+G       | 5               | -790.41705      | 1591.2314        | 1590.8341       | 1606.1154      
TVMEF+I+G       | 6               | -789.65424      | 1591.8685        | 1591.3085       | 1609.646       
GTR             | 8               | -787.8239       | 1592.6208        | 1591.6478       | 1616.0978      
TRN             | 5               | -791.78705      | 1593.9714        | 1593.5741       | 1608.8553      
K80+G           | 2               | -794.986        | 1594.0499        | 1593.972        | 1600.0846      
K80+I           | 2               | -794.99255      | 1594.063         | 1593.9851       | 1600.0977      
TIM             | 6               | -791.4437       | 1595.4475        | 1594.8875       | 1613.225       
K81+I           | 3               | -794.78705      | 1595.731         | 1595.5741       | 1604.7428      
K80+I+G         | 3               | -794.80334      | 1595.7635        | 1595.6067       | 1604.7754      
K81+G           | 3               | -794.8363       | 1595.8295        | 1595.6726       | 1604.8413      
SYM             | 5               | -793.2455       | 1596.8883        | 1596.491        | 1611.7722      
K81+I+G         | 4               | -794.6283       | 1597.5198        | 1597.2566       | 1609.4816      
TVM             | 7               | -791.70917      | 1598.17          | 1597.4183       | 1618.812       
HKY             | 4               | -795.69037      | 1599.6439        | 1599.3807       | 1611.6057      
TRNEF           | 2               | -798.1215       | 1600.3209        | 1600.243        | 1606.3556      
K81UF           | 5               | -795.3724       | 1601.1421        | 1600.7448       | 1616.026       
TIMEF           | 3               | -797.863        | 1601.8828        | 1601.726        | 1610.8947      
TVMEF           | 4               | -799.6613       | 1607.5858        | 1607.3226       | 1619.5476      
K80             | 1               | -804.5629       | 1611.1516        | 1611.1259       | 1614.1821      
K81             | 2               | -804.33765      | 1612.7532        | 1612.6753       | 1618.7878      
F81+I           | 4               | -868.3509       | 1744.965         | 1744.7018       | 1756.9268      
F81+G           | 4               | -869.13293      | 1746.529         | 1746.2659       | 1758.4908      
F81+I+G         | 5               | -868.35596      | 1747.1093        | 1746.7119       | 1761.9932      
JC+I            | 1               | -876.0992       | 1754.2241        | 1754.1984       | 1757.2546      
JC+G            | 1               | -876.8126       | 1755.651         | 1755.6252       | 1758.6815      
JC+I+G          | 2               | -876.1015       | 1756.2809        | 1756.203        | 1762.3156      
F81             | 3               | -876.4931       | 1759.1431        | 1758.9862       | 1768.1549      
JC              | 0               | -883.9358       | 1767.8716        | 1767.8716       | 1767.8716      
