Model selection results for subset: 87d2b98eaa9513997a7960d818898085
Subset alignment stored here: ./analysis/phylofiles/87d2b98eaa9513997a7960d818898085.phy
This subset contains the following data_blocks: Gene1_pos1
Number of columns in subset: 158
Models are organised according to their AICc scores

Model           | Parameters      | lnL             | AICc             | AIC             | BIC            
TRN+I           | 6               | -353.38605      | 719.32837        | 718.7721        | 737.14764      
TRN+G           | 6               | -353.39062      | 719.3375         | 718.78125       | 737.1568       
TIM+I           | 7               | -353.37796      | 721.50256        | 720.7559        | 742.1941       
TRN+I+G         | 7               | -353.38202      | 721.5107         | 720.76404       | 742.2022       
TIM+G           | 7               | -353.38284      | 721.5123         | 720.7657        | 742.20386      
TIM+I+G         | 8               | -353.3737       | 723.7138         | 722.7474        | 747.2481       
GTR+I           | 9               | -352.54352      | 724.3032         | 723.08704       | 750.6504       
GTR+G           | 9               | -352.54703      | 724.31024        | 723.09406       | 750.6574       
GTR+I+G         | 10              | -352.5385       | 726.5736         | 725.077         | 755.703        
TRN             | 5               | -359.20493      | 728.80457        | 728.40985       | 743.72284      
TIM             | 6               | -359.20493      | 730.9661         | 730.40985       | 748.7854       
TRNEF+I         | 3               | -363.37045      | 732.8967         | 732.7409        | 741.9287       
TRNEF+G         | 3               | -363.37372      | 732.90326        | 732.74744       | 741.93524      
GTR             | 8               | -358.2967       | 733.5598         | 732.5934        | 757.0941       
TIMEF+I         | 4               | -363.36206      | 734.98553        | 734.7241        | 746.9745       
TIMEF+G         | 4               | -363.36566      | 734.99274        | 734.7313        | 746.9817       
HKY+I           | 5               | -362.30038      | 734.9955         | 734.60077       | 749.91376      
TRNEF+I+G       | 4               | -363.36725      | 734.9959         | 734.7345        | 746.98486      
HKY+G           | 5               | -363.17636      | 736.74744        | 736.3527        | 751.6657       
SYM+I           | 6               | -362.192        | 736.94025        | 736.384         | 754.7595       
SYM+G           | 6               | -362.19595      | 736.9482         | 736.3919        | 754.76746      
TIMEF+I+G       | 5               | -363.3588       | 737.1123         | 736.7176        | 752.0306       
K81UF+I         | 6               | -362.29514      | 737.14655        | 736.5903        | 754.9658       
HKY+I+G         | 6               | -362.29742      | 737.1511         | 736.59485       | 754.9704       
K81UF+G         | 6               | -363.17477      | 738.9058         | 738.34955       | 756.7251       
SYM+I+G         | 7               | -362.19022      | 739.1271         | 738.38043       | 759.8186       
K81UF+I+G       | 7               | -362.29163      | 739.3299         | 738.58325       | 760.0214       
K80+I           | 2               | -367.758        | 739.5934         | 739.516         | 745.6412       
TVM+I           | 8               | -361.6147       | 740.1958         | 739.2294        | 763.7301       
K80+G           | 2               | -368.1347       | 740.3468         | 740.2694        | 746.3946       
TRNEF           | 2               | -368.7095       | 741.4964         | 741.419         | 747.5442       
K81+I           | 3               | -367.74896      | 741.65375        | 741.4979        | 750.6857       
K80+I+G         | 3               | -367.75336      | 741.66254        | 741.5067        | 750.6945       
TVM+G           | 8               | -362.42242      | 741.8113         | 740.84485       | 765.3456       
K81+G           | 3               | -368.12964      | 742.4151         | 742.2593        | 751.4471       
TVM+I+G         | 9               | -361.6146       | 742.4454         | 741.2292        | 768.79254      
TIMEF           | 3               | -368.709        | 743.57385        | 743.418         | 752.60583      
K81+I+G         | 4               | -367.74457      | 743.75055        | 743.48914       | 755.7395       
TVMEF+I         | 5               | -366.74924      | 743.8932         | 743.4985        | 758.81146      
TVMEF+G         | 5               | -367.0812       | 744.5571         | 744.1624        | 759.4754       
SYM             | 5               | -367.55087      | 745.49646        | 745.10175       | 760.41473      
TVMEF+I+G       | 6               | -366.7413       | 746.0389         | 745.4826        | 763.85815      
HKY             | 4               | -370.2025       | 748.66644        | 748.405         | 760.6554       
K80             | 1               | -374.2046       | 750.4348         | 750.4092        | 753.4718       
K81UF           | 5               | -370.20248      | 750.7997         | 750.40497       | 765.71796      
K81             | 2               | -374.2043       | 752.486          | 752.4086        | 758.5338       
TVM             | 7               | -369.31366      | 753.37396        | 752.6273        | 774.0655       
TVMEF           | 4               | -373.06586      | 754.3931         | 754.1317        | 766.3821       
F81+I           | 4               | -373.61685      | 755.4951         | 755.2337        | 767.4841       
F81+G           | 4               | -373.79666      | 755.85474        | 755.5933        | 767.8437       
F81+I+G         | 5               | -373.61575      | 757.6262         | 757.2315        | 772.5445       
JC+I            | 1               | -379.09912      | 760.2239         | 760.19824       | 763.26086      
JC+G            | 1               | -379.37802      | 760.7817         | 760.75604       | 763.81866      
JC+I+G          | 2               | -379.0988       | 762.27496        | 762.1976        | 768.32275      
F81             | 3               | -379.3782       | 764.91223        | 764.7564        | 773.9442       
JC              | 0               | -385.22775      | 770.4555         | 770.4555        | 770.4555       
