Model selection results for subset: 8175f87cadbae32081c5866f63ae8318
Subset alignment stored here: ./analysis/phylofiles/8175f87cadbae32081c5866f63ae8318.phy
This subset contains the following data_blocks: Gene1_pos1
Number of columns in subset: 382
Models are organised according to their AICc scores

Model           | Parameters      | lnL             | AICc             | AIC             | BIC            
GTR+G           | 9               | -1401.2577      | 2820.9993        | 2820.5154       | 2856.0242      
SYM+G           | 6               | -1405.1075      | 2822.4392        | 2822.215        | 2845.8877      
GTR+I+G         | 10              | -1401.2635      | 2823.12          | 2822.527        | 2861.9812      
TVM+G           | 8               | -1403.5333      | 2823.4526        | 2823.0667       | 2854.6301      
TRN+G           | 6               | -1405.8657      | 2823.9556        | 2823.7314       | 2847.404       
GTR             | 8               | -1403.8237      | 2824.0334        | 2823.6475       | 2855.211       
SYM             | 5               | -1407.0566      | 2824.273         | 2824.1133       | 2843.8403      
SYM+I+G         | 7               | -1405.1111      | 2824.5217        | 2824.2222       | 2851.84        
TIM+G           | 7               | -1405.3682      | 2825.036         | 2824.7363       | 2852.3542      
TVM+I+G         | 9               | -1403.5386      | 2825.561         | 2825.0771       | 2860.586       
TRN+I+G         | 7               | -1405.8699      | 2826.0393        | 2825.7397       | 2853.3577      
GTR+I           | 9               | -1403.8302      | 2826.1443        | 2825.6604       | 2861.1692      
SYM+I           | 6               | -1407.0647      | 2826.3535        | 2826.1294       | 2849.802       
HKY+G           | 5               | -1408.13        | 2826.4197        | 2826.26         | 2845.987       
TIM+I+G         | 8               | -1405.3738      | 2827.1335        | 2826.7476       | 2858.311       
TRN             | 5               | -1408.6333      | 2827.4263        | 2827.2666       | 2846.9937      
TVM             | 7               | -1406.5808      | 2827.4612        | 2827.1616       | 2854.7795      
K81UF+G         | 6               | -1407.6244      | 2827.473         | 2827.2488       | 2850.9214      
TIM             | 6               | -1408.1155      | 2828.455         | 2828.231        | 2851.9036      
HKY+I+G         | 6               | -1408.1346      | 2828.4934        | 2828.2693       | 2851.942       
TRN+I           | 6               | -1408.6384      | 2829.501         | 2829.2769       | 2852.9495      
K81UF+I+G       | 7               | -1407.6284      | 2829.5564        | 2829.2568       | 2856.8748      
TVM+I           | 8               | -1406.5885      | 2829.563         | 2829.177        | 2860.7405      
TVMEF+G         | 5               | -1409.8369      | 2829.8335        | 2829.6738       | 2849.401       
TIM+I           | 7               | -1408.1212      | 2830.542         | 2830.2424       | 2857.8604      
TRNEF+G         | 3               | -1412.4221      | 2830.9077        | 2830.8442       | 2842.6804      
HKY             | 4               | -1411.4117      | 2830.9297        | 2830.8235       | 2846.6052      
TIMEF+G         | 4               | -1411.789       | 2831.684         | 2831.578        | 2847.3596      
TVMEF+I+G       | 6               | -1409.8417      | 2831.9075        | 2831.6833       | 2855.356       
K81UF           | 5               | -1410.8872      | 2831.934         | 2831.7744       | 2851.5015      
TRNEF           | 2               | -1414.2944      | 2832.6206        | 2832.5889       | 2840.4797      
TRNEF+I+G       | 4               | -1412.4244      | 2832.955         | 2832.8489       | 2848.6306      
HKY+I           | 5               | -1411.4172      | 2832.9941        | 2832.8345       | 2852.5615      
TVMEF           | 4               | -1412.6001      | 2833.3064        | 2833.2002       | 2848.982       
TIMEF           | 3               | -1413.6932      | 2833.45          | 2833.3865       | 2845.2227      
TIMEF+I+G       | 5               | -1411.7932      | 2833.746         | 2833.5864       | 2853.3135      
K81UF+I         | 6               | -1410.8921      | 2834.0083        | 2833.7842       | 2857.4568      
TRNEF+I         | 3               | -1414.3011      | 2834.6658        | 2834.6023       | 2846.4385      
TVMEF+I         | 5               | -1412.6095      | 2835.3787        | 2835.219        | 2854.946       
TIMEF+I         | 4               | -1413.6989      | 2835.504         | 2835.3977       | 2851.1794      
K80+G           | 2               | -1417.1746      | 2838.3809        | 2838.349        | 2846.24        
K81+G           | 3               | -1416.5254      | 2839.1143        | 2839.0508       | 2850.887       
K80+I+G         | 3               | -1417.1781      | 2840.4197        | 2840.3562       | 2852.1924      
K81+I+G         | 4               | -1416.5293      | 2841.1648        | 2841.0586       | 2856.8403      
K80             | 1               | -1419.8689      | 2841.7483        | 2841.7378       | 2845.683       
K81             | 2               | -1419.2631      | 2842.5579        | 2842.5261       | 2850.417       
K80+I           | 2               | -1419.8759      | 2843.7834        | 2843.7517       | 2851.6426      
K81+I           | 3               | -1419.2695      | 2844.6025        | 2844.539        | 2856.3752      
F81+G           | 4               | -1521.9137      | 3051.9336        | 3051.8274       | 3067.6091      
F81             | 3               | -1523.3002      | 3052.6638        | 3052.6003       | 3064.4365      
F81+I+G         | 5               | -1521.9165      | 3053.9927        | 3053.833        | 3073.56        
F81+I           | 4               | -1523.3081      | 3054.7224        | 3054.6162       | 3070.398       
JC              | 0               | -1530.0028      | 3060.0056        | 3060.0056       | 3060.0056      
JC+G            | 1               | -1529.0598      | 3060.1301        | 3060.1196       | 3064.065       
JC+I            | 1               | -1530.014       | 3062.0386        | 3062.028        | 3065.9734      
JC+I+G          | 2               | -1529.0642      | 3062.1602        | 3062.1284       | 3070.0193      
