Model selection results for subset: b6d640f5d11c05cbc393efba414d3d9e
Subset alignment stored here: ./analysis/phylofiles/b6d640f5d11c05cbc393efba414d3d9e.phy
This subset contains the following data_blocks: Gene1_pos2
Number of columns in subset: 381
Models are organised according to their AICc scores

Model           | Parameters      | lnL             | AICc             | AIC             | BIC            
GTR+G           | 9               | -819.8017       | 1658.0886        | 1657.6034       | 1693.0886      
GTR             | 8               | -821.89264      | 1660.1724        | 1659.7853       | 1691.3276      
GTR+I+G         | 10              | -819.8107       | 1660.2161        | 1659.6215       | 1699.0494      
TRN+G           | 6               | -824.679        | 1661.5826        | 1661.358        | 1685.0148      
GTR+I           | 9               | -821.90015      | 1662.2855        | 1661.8003       | 1697.2855      
TIM+G           | 7               | -824.45624      | 1663.2128        | 1662.9125       | 1690.5121      
TRN+I+G         | 7               | -824.68274      | 1663.6658        | 1663.3655       | 1690.9651      
TRN             | 5               | -827.0029       | 1664.1659        | 1664.0059       | 1683.7198      
TIM+I+G         | 8               | -824.45996      | 1665.307         | 1664.9199       | 1696.4623      
TIM             | 6               | -826.75006      | 1665.7247        | 1665.5001       | 1689.1569      
SYM+G           | 6               | -827.00397      | 1666.2325        | 1666.0079       | 1689.6647      
TRN+I           | 6               | -827.01056      | 1666.2457        | 1666.0211       | 1689.6779      
TIM+I           | 7               | -826.7575       | 1667.8153        | 1667.515        | 1695.1146      
SYM             | 5               | -829.00885      | 1668.1777        | 1668.0177       | 1687.7317      
SYM+I+G         | 7               | -827.01276      | 1668.3258        | 1668.0255       | 1695.6251      
TRNEF+G         | 3               | -831.3922       | 1668.8481        | 1668.7844       | 1680.6128      
TVM+G           | 8               | -826.8021       | 1669.9913        | 1669.6042       | 1701.1466      
SYM+I           | 6               | -829.0205       | 1670.2656        | 1670.041        | 1693.6978      
TVMEF+G         | 5               | -830.071        | 1670.302         | 1670.142        | 1689.856       
TIMEF+G         | 4               | -831.1715       | 1670.4493        | 1670.343        | 1686.1143      
TRNEF+I+G       | 4               | -831.40186      | 1670.91          | 1670.8037       | 1686.575       
TRNEF           | 2               | -833.6871       | 1671.4059        | 1671.3741       | 1679.2598      
TVM             | 7               | -828.8079       | 1671.9161        | 1671.6158       | 1699.2155      
TVMEF           | 4               | -831.9751       | 1672.0565        | 1671.9502       | 1687.7214      
TVM+I+G         | 9               | -826.806        | 1672.0973        | 1671.612        | 1707.0973      
TVMEF+I+G       | 6               | -830.0756       | 1672.3759        | 1672.1512       | 1695.808       
TIMEF+I+G       | 5               | -831.17554      | 1672.5111        | 1672.3511       | 1692.0651      
TIMEF           | 3               | -833.43994      | 1672.9436        | 1672.8799       | 1684.7083      
K80+G           | 2               | -834.4717       | 1672.9751        | 1672.9434       | 1680.829       
HKY+G           | 5               | -831.6056       | 1673.3712        | 1673.2112       | 1692.9252      
TRNEF+I         | 3               | -833.6986       | 1673.4609        | 1673.3972       | 1685.2256      
TVM+I           | 8               | -828.8168       | 1674.0206        | 1673.6335       | 1705.1759      
TVMEF+I         | 5               | -831.98224      | 1674.1245        | 1673.9645       | 1693.6785      
K81+G           | 3               | -834.2455       | 1674.5547        | 1674.491        | 1686.3193      
K81UF+G         | 6               | -831.3644       | 1674.9534        | 1674.7288       | 1698.3855      
TIMEF+I         | 4               | -833.4506       | 1675.0076        | 1674.9012       | 1690.6725      
K80+I+G         | 3               | -834.47516      | 1675.014         | 1674.9503       | 1686.7787      
K80             | 1               | -836.6413       | 1675.2931        | 1675.2826       | 1679.2253      
HKY+I+G         | 6               | -831.6092       | 1675.443         | 1675.2184       | 1698.8751      
HKY             | 4               | -833.9133       | 1675.933         | 1675.8267       | 1691.5979      
K81+I+G         | 4               | -834.24896      | 1676.6042        | 1676.4979       | 1692.2692      
K81             | 2               | -836.3923       | 1676.8163        | 1676.7845       | 1684.6702      
K81UF+I+G       | 7               | -831.36835      | 1677.037         | 1676.7367       | 1704.3363      
K80+I           | 2               | -836.6494       | 1677.3306        | 1677.2988       | 1685.1844      
K81UF           | 5               | -833.6527       | 1677.4655        | 1677.3054       | 1697.0194      
HKY+I           | 5               | -833.9222       | 1678.0044        | 1677.8444       | 1697.5583      
K81+I           | 3               | -836.4002       | 1678.8641        | 1678.8004       | 1690.6288      
K81UF+I         | 6               | -833.66113      | 1679.5469        | 1679.3223       | 1702.979       
F81+G           | 4               | -848.0038       | 1704.1139        | 1704.0076       | 1719.7788      
F81             | 3               | -849.6489       | 1705.3616        | 1705.2979       | 1717.1262      
F81+I+G         | 5               | -848.0073       | 1706.1747        | 1706.0146       | 1725.7286      
JC+G            | 1               | -852.15533      | 1706.3212        | 1706.3107       | 1710.2534      
F81+I           | 4               | -849.6601       | 1707.4265        | 1707.3202       | 1723.0914      
JC              | 0               | -853.87317      | 1707.7463        | 1707.7463       | 1707.7463      
JC+I+G          | 2               | -852.15875      | 1708.3492        | 1708.3175       | 1716.2031      
JC+I            | 1               | -853.8843       | 1709.779         | 1709.7686       | 1713.7113      
