Model selection results for subset: f6d0a9ed876680ed55ed6b1c1901b49a
Subset alignment stored here: ./analysis/phylofiles/f6d0a9ed876680ed55ed6b1c1901b49a.phy
This subset contains the following data_blocks: Gene1_pos3
Number of columns in subset: 381
Models are organised according to their AICc scores

Model           | Parameters      | lnL             | AICc             | AIC             | BIC            
GTR+G           | 9               | -772.5902       | 1563.6656        | 1563.1804       | 1598.6656      
TIM+G           | 7               | -774.78265      | 1563.8656        | 1563.5653       | 1591.1649      
TRN+G           | 6               | -776.1605       | 1564.5457        | 1564.321        | 1587.9778      
GTR+I+G         | 10              | -772.58844      | 1565.7715        | 1565.1769       | 1604.6049      
TIM+I+G         | 8               | -774.7846       | 1565.9563        | 1565.5692       | 1597.1116      
TRN+I+G         | 7               | -776.16254      | 1566.6254        | 1566.3251       | 1593.9247      
TVM+G           | 8               | -775.1344       | 1566.6559        | 1566.2688       | 1597.8112      
K81UF+G         | 6               | -777.43695      | 1567.0985        | 1566.8739       | 1590.5306      
HKY+G           | 5               | -778.78754      | 1567.7351        | 1567.5751       | 1587.2891      
TVM+I+G         | 9               | -775.13763      | 1568.7605        | 1568.2753       | 1603.7605      
K81UF+I+G       | 7               | -777.4392       | 1569.1787        | 1568.8784       | 1596.478       
HKY+I+G         | 6               | -778.78973      | 1569.8041        | 1569.5795       | 1593.2362      
TIM             | 6               | -785.6453       | 1583.5153        | 1583.2906       | 1606.9474      
GTR             | 8               | -783.9324       | 1584.2518        | 1583.8647       | 1615.4071      
TRN             | 5               | -787.1546       | 1584.4692        | 1584.3092       | 1604.0232      
TIM+I           | 7               | -785.6618       | 1585.6239        | 1585.3236       | 1612.9232      
GTR+I           | 9               | -783.9469       | 1586.379         | 1585.8938       | 1621.379       
TRN+I           | 6               | -787.17035      | 1586.5653        | 1586.3407       | 1609.9974      
K81UF           | 5               | -788.3769       | 1586.9138        | 1586.7538       | 1606.4678      
TVM             | 7               | -786.657        | 1587.6143        | 1587.314        | 1614.9136      
HKY             | 4               | -789.8843       | 1587.8749        | 1587.7686       | 1603.5398      
K81UF+I         | 6               | -788.39087      | 1589.0063        | 1588.7817       | 1612.4385      
TVM+I           | 8               | -786.6696       | 1589.7263        | 1589.3392       | 1620.8816      
HKY+I           | 5               | -789.89984      | 1589.9597        | 1589.7997       | 1609.5137      
TIMEF+G         | 4               | -792.28076      | 1592.6678        | 1592.5615       | 1608.3328      
SYM+G           | 6               | -790.5777       | 1593.38          | 1593.1554       | 1616.8121      
TRNEF+G         | 3               | -793.8358       | 1593.7354        | 1593.6716       | 1605.5         
TIMEF+I+G       | 5               | -792.2841       | 1594.7283        | 1594.5682       | 1614.2822      
SYM+I+G         | 7               | -790.5806       | 1595.4615        | 1595.1613       | 1622.7609      
TRNEF+I+G       | 4               | -793.83575      | 1595.7778        | 1595.6715       | 1611.4427      
K81+G           | 3               | -794.9446       | 1595.9529        | 1595.8892       | 1607.7175      
TVMEF+G         | 5               | -793.24176      | 1596.6436        | 1596.4835       | 1616.1975      
K80+G           | 2               | -796.4707       | 1596.9731        | 1596.9414       | 1604.827       
K81+I+G         | 4               | -794.94775      | 1598.0018        | 1597.8955       | 1613.6667      
TVMEF+I+G       | 6               | -793.2448       | 1598.7142        | 1598.4896       | 1622.1464      
K80+I+G         | 3               | -796.47394      | 1599.0116        | 1598.9479       | 1610.7762      
TIMEF           | 3               | -803.4517       | 1612.9672        | 1612.9034       | 1624.7318      
TRNEF           | 2               | -804.9325       | 1613.8967        | 1613.865        | 1621.7506      
SYM             | 5               | -802.0395       | 1614.239         | 1614.079        | 1633.793       
TIMEF+I         | 4               | -803.46765      | 1615.0416        | 1614.9353       | 1630.7065      
TRNEF+I         | 3               | -804.9419       | 1615.9475        | 1615.8838       | 1627.7122      
K81             | 2               | -806.0382       | 1616.1082        | 1616.0764       | 1623.962       
SYM+I           | 6               | -802.0523       | 1616.3292        | 1616.1046       | 1639.7614      
K80             | 1               | -807.5191       | 1617.0487        | 1617.0382       | 1620.981       
TVMEF           | 4               | -804.6224       | 1617.3511        | 1617.2448       | 1633.016       
K81+I           | 3               | -806.05115      | 1618.166         | 1618.1023       | 1629.9307      
K80+I           | 2               | -807.5321       | 1619.096         | 1619.0642       | 1626.9498      
TVMEF+I         | 5               | -804.6353       | 1619.4307        | 1619.2706       | 1638.9846      
F81+G           | 4               | -807.10205      | 1622.3104        | 1622.2041       | 1637.9753      
F81+I+G         | 5               | -807.10547      | 1624.371         | 1624.2109       | 1643.9249      
F81             | 3               | -816.4452       | 1638.9541        | 1638.8904       | 1650.7188      
F81+I           | 4               | -816.45856      | 1641.0234        | 1640.9171       | 1656.6884      
JC+G            | 1               | -822.4831       | 1646.9767        | 1646.9662       | 1650.9089      
JC+I+G          | 2               | -822.48645      | 1649.0046        | 1648.9729       | 1656.8585      
JC              | 0               | -832.1231       | 1664.2462        | 1664.2462       | 1664.2462      
JC+I            | 1               | -832.13824      | 1666.287         | 1666.2765       | 1670.2192      
