"GBAC","host","color"
"AY720891_NA_NA_2004_Dresden_NA_NA_serotype_4","human","#92752B"
"AY720892_NA_NA_2004_Dresden_NA_NA_serotype_1","human","#BDCEED"
"DQ028633_NA_BRA_1994_NA_Goiania-GO-12-94-Brazil_stool_serotype_5","human","#7F1E9F"
"DQ070852_NA_BRA_1995_NA_Goiania-GO-12-95-Brazil_NA_serotype_4","human","#9E8139"
"DQ344027_NA_CHN_2005_NA_Guangzhou_NA_serotype_4","human","#8C6F24"
"FJ755402_human_CHN_2005_Beijing-128-2005-CHN_NA_stool_serotype_1","human","#B2C3E4"
"FJ755403_human_CHN_2006_Beijing-176-2006-CHN_NA_stool_serotype_1","human","#C1D1F0"
"FJ755404_human_CHN_2007_Beijing-291-2007-CHN_NA_stool_serotype_1","human","#B6C7E7"
"FJ755405_human_CHN_2007_Beijing-293-2007-CHN_NA_stool_serotype_1","human","#AEC0E1"
"GQ495608_human_CHN_2007_NA_192-BJ07-CHN_stool_serotype_6","human","#FFACCC"
"GQ901902_human_RUS_2009_NA_Rus-Nsc09-B4_NA_serotype_6","human","#963D65"
"GU223905_human_RUS_2003_NA_Rus-Nsc03-H191_NA_serotype_3","human","#38A183"
"GU732187_human_RUS_2008_NA_Rus-Nsc08-3364_NA_serotype_3","human","#259475"
"HQ398856_human_HUN_2010_Hu-Nyergesujfalu-HUN4520-2010-HUN_NA_fecal-sample_serotype_1","human","#9CAFD1"
"JF491430_human_RUS_2004_NA_Rus-Nsc04-H355_NA_serotype_3","human","#138768"
"JN887820_human_KOR_2006_lhar-2011-kor_NA_stool_serotype_1","human","#C5D5F4"
"JQ403108_human_CHN_2010_NA_DL030_stool_serotype_5","human","#8A2DAB"
"KC285152_human_RUS_2011_NA_HAstV-2-RUS-Novosibirsk-Nsc11-N2411-2011_feces_serotype_2","human","#A5D959"
"KF039910_NA_RUS_2005_NA_Rus-Nsc05-430_NA_serotype_2","human","#5B8502"
"KF039911_NA_RUS_2006_NA_Rus-Nsc06-1029_NA_serotype_2","human","#BEF577"
"KF039912_NA_RUS_2005_NA_Rus-Nsc05-623_NA_serotype_4","human","#A48740"
"KF039913_NA_RUS_2010_NA_Rus-Nsc10-N358_NA_serotype_4","human","#866A1D"
"KF211475_human_CHN_2010_NA_JZ_NA_serotype_1","human","#B9CAEA"
"KP862744_human_KOR_2014_NA_kor85_human-stool_serotype_8","human","#987B32"
"LC694985_human_JPN_2019_NA_HAstV3-190610-Tokyo-2019_NA_serotype_3","human","#4AAF91"
"LC694986_human_JPN_2022_NA_HAstV1-211185-Tokyo-2022_NA_serotype_1","human","#5E759B"
"LC694987_human_JPN_2021_NA_HAstV1-210984-Tokyo-2021_NA_serotype_1","human","#7B90B4"
"LC694988_human_JPN_2021_NA_HAstV1-210963-Tokyo-2021_NA_serotype_1","human","#657CA1"
"LC694989_human_JPN_2021_NA_HAstV1-210956-Tokyo-2021_NA_serotype_1","human","#61789E"
"LC694990_human_JPN_2018_NA_HAstV1-181937-Tokyo-2018_NA_serotype_1","human","#7489AE"
"LC694991_human_JPN_2021_NA_HAstV1-210764-Tokyo-2021_NA_serotype_1","human","#697FA4"
"LC694992_human_JPN_2021_NA_HAstV1-210628-Tokyo-2021_NA_serotype_1","human","#778DB1"
"LC694993_human_JPN_2020_NA_HAstV1-193061-Tokyo-2020_NA_serotype_1","human","#566E95"
"LC694994_human_JPN_2020_NA_HAstV1-193055-Tokyo-2020_NA_serotype_1","human","#536B92"
"LC694995_human_JPN_2020_NA_HAstV1-192642-Tokyo-2020_NA_serotype_1","human","#5A7198"
"LC694996_human_JPN_2018_NA_HAstV1-181290-Tokyo-2018_NA_serotype_1","human","#ABBDDD"
"LC694997_human_JPN_2018_NA_HAstV1-181289-Tokyo-2018_NA_serotype_1","human","#A7B9DA"
"LC732122_human_JPN_2016_Human-JPN-2016-JP14641_Child-with-acute-gastroenteritis_feces_serotype_3","human","#A7F2D6"
"LC732123_human_JPN_2016_Human-JPN-2016-JP14665_Child-with-acute-gastroenteritis_feces_serotype_3","human","#94E4C8"
"LC732124_human_JPN_2016_Human-JPN-2016-JP14989_Child-with-acute-gastroenteritis_feces_serotype_3","human","#6FC9AC"
"MF684776_human_CHN_2013_NA_2013-Fuzhou-85_stool_serotype_5","human","#AE5DCF"
"MG571777_human_VEN_2015_NA_NA_stool_serotype_3","human","#82D7BA"
"MN433703_human_USA_2013_Hu-US-2013-CA-RGDS-1070_NA_stool_serotype_1","human","#8297BB"
"MN433704_human_USA_2013_Hu-US-2013-CA-RGDS-1071_NA_stool_serotype_1","human","#7F94B7"
