3C-like serine protease motif,1A
NS,1A
Non-structural protein,1AB
ORF1,1A
ORF1a,1A
ORF1b,1B
ORF2,2
Orf1a,1A
RNA-dependent RNA polymerase,1B
RNA-dependent RNA polymerase motif,1B
RNA-dependent RNA-polymerase,1B
RNA-dependent polymerase,1B
S,2
capsid precursor protein,2
capsid protein,2
capsid protein precursor,2
nonstructural protein,1A
nonstructural protein,1B
nonstructural protein,1AB
protein of unknown function DUF3621,1A
putative RNA-dependent RNA polymerase,1B
putative serine protease,1A
serine protease,1A
structural protein,2
