"GBAC","color"
"AY720891_NA_NA_2004_Dresden_NA_NA_serotype_4","#907D3A"
"AY720892_NA_NA_2004_Dresden_NA_NA_serotype_1","#B6B0EB"
"DQ028633_NA_BRA_1994_NA_Goiania-GO-12-94-Brazil_stool_serotype_5","#178377"
"DQ070852_NA_BRA_1995_NA_Goiania-GO-12-95-Brazil_NA_serotype_4","#9C8948"
"DQ344027_NA_CHN_2005_NA_Guangzhou_NA_serotype_4","#8A7733"
"FJ755402_human_CHN_2005_Beijing-128-2005-CHN_NA_stool_serotype_1","#9A92D1"
"FJ755403_human_CHN_2006_Beijing-176-2006-CHN_NA_stool_serotype_1","#C0BAF3"
"FJ755404_human_CHN_2007_Beijing-291-2007-CHN_NA_stool_serotype_1","#A39CDA"
"FJ755405_human_CHN_2007_Beijing-293-2007-CHN_NA_stool_serotype_1","#9089C9"
"GQ495608_human_CHN_2007_NA_192-BJ07-CHN_stool_serotype_6","#E994FF"
"GQ901902_human_RUS_2009_NA_Rus-Nsc09-B4_NA_serotype_6","#841697"
"GU223905_human_RUS_2003_NA_Rus-Nsc03-H191_NA_serotype_3","#6FA020"
"GU732187_human_RUS_2008_NA_Rus-Nsc08-3364_NA_serotype_3","#629210"
"HQ398856_human_HUN_2010_Hu-Nyergesujfalu-HUN4520-2010-HUN_NA_fecal-sample_serotype_1",NA
"JF491430_human_RUS_2004_NA_Rus-Nsc04-H355_NA_serotype_3","#568400"
"JN887820_human_KOR_2006_lhar-2011-kor_NA_stool_serotype_1","#CAC4FC"
"JQ403108_human_CHN_2010_NA_DL030_stool_serotype_5","#289084"
"KC285152_human_RUS_2011_NA_HAstV-2-RUS-Novosibirsk-Nsc11-N2411-2011_feces_serotype_2","#E58D9D"
"KC342249_human_CHN_2012_NA_km1_stool-sample_serotype_1","#6A61A7"
"KF039910_NA_RUS_2005_NA_Rus-Nsc05-430_NA_serotype_2","#9A374D"
"KF039911_NA_RUS_2006_NA_Rus-Nsc06-1029_NA_serotype_2","#FFAAB8"
"KF039912_NA_RUS_2005_NA_Rus-Nsc05-623_NA_serotype_4","#A28F4F"
"KF039913_NA_RUS_2010_NA_Rus-Nsc10-N358_NA_serotype_4","#85722C"
"KF211475_human_CHN_2010_NA_JZ_NA_serotype_1","#ADA6E2"
"KP862744_human_KOR_2014_NA_kor85_human-stool_serotype_8","#968341"
"LC694985_human_JPN_2019_NA_HAstV3-190610-Tokyo-2019_NA_serotype_3","#7BAE30"
"LC694986_human_JPN_2022_NA_HAstV1-211185-Tokyo-2022_NA_serotype_1",NA
"LC694987_human_JPN_2021_NA_HAstV1-210984-Tokyo-2021_NA_serotype_1",NA
"LC694988_human_JPN_2021_NA_HAstV1-210963-Tokyo-2021_NA_serotype_1",NA
"LC694989_human_JPN_2021_NA_HAstV1-210956-Tokyo-2021_NA_serotype_1",NA
"LC694990_human_JPN_2018_NA_HAstV1-181937-Tokyo-2018_NA_serotype_1",NA
"LC694991_human_JPN_2021_NA_HAstV1-210764-Tokyo-2021_NA_serotype_1",NA
"LC694992_human_JPN_2021_NA_HAstV1-210628-Tokyo-2021_NA_serotype_1",NA
"LC694993_human_JPN_2020_NA_HAstV1-193061-Tokyo-2020_NA_serotype_1",NA
"LC694994_human_JPN_2020_NA_HAstV1-193055-Tokyo-2020_NA_serotype_1",NA
"LC694995_human_JPN_2020_NA_HAstV1-192642-Tokyo-2020_NA_serotype_1",NA
"LC694996_human_JPN_2018_NA_HAstV1-181290-Tokyo-2018_NA_serotype_1","#877FC0"
"LC694997_human_JPN_2018_NA_HAstV1-181289-Tokyo-2018_NA_serotype_1","#7D75B8"
"LC732122_human_JPN_2016_Human-JPN-2016-JP14641_Child-with-acute-gastroenteritis_feces_serotype_3","#BBF482"
"LC732123_human_JPN_2016_Human-JPN-2016-JP14665_Child-with-acute-gastroenteritis_feces_serotype_3","#AEE671"
"LC732124_human_JPN_2016_Human-JPN-2016-JP14989_Child-with-acute-gastroenteritis_feces_serotype_3","#95CA51"
"MF684776_human_CHN_2013_NA_2013-Fuzhou-85_stool_serotype_5","#5FB8AC"
"MG571777_human_VEN_2015_NA_NA_stool_serotype_3","#A1D861"
"MN433703_human_USA_2013_Hu-US-2013-CA-RGDS-1070_NA_stool_serotype_1",NA
"MN433704_human_USA_2013_Hu-US-2013-CA-RGDS-1071_NA_stool_serotype_1",NA
"MN433705_human_USA_2014_Hu-US-2014-CA-RGDS-1072_NA_stool_serotype_2","#B35367"
"MN433706_human_USA_2014_Hu-US-2014-CA-RGDS-1073_NA_stool_serotype_5","#71C5B9"
"MN444721_human_USA_2017_Hu-US-2017-CA-RGDS-1074_NA_stool_serotype_3","#88BC41"
"MT832892_human_BRA_2015_MAstV-1-Hu-BRA-TO-98-2015_TO-98_feces_serotype_1",NA
"MT832893_human_BRA_2015_MAstV-1-Hu-BRA-TO-160-2015_TO-160_feces_serotype_1",NA
"MT832894_human_BRA_2011_MAstV-1-Hu-BRA-TO-162-2011_TO-162_feces_serotype_1",NA
