Species 1,Species 2,Dist
OR371570 human CHN 2022 HAstV-4-Fuzhou-2022-10 NA feces serotype 4,OR222910 human CHN 2021 NA SY2106 stool serotype 5,0.1870066788
OR371570 human CHN 2022 HAstV-4-Fuzhou-2022-10 NA feces serotype 4,LC732124 human JPN 2016 Human-JPN-2016-JP14989 Child-with-acute-gastroenteritis feces serotype 3,0.1815286624
OR222910 human CHN 2021 NA SY2106 stool serotype 5,LC732124 human JPN 2016 Human-JPN-2016-JP14989 Child-with-acute-gastroenteritis feces serotype 3,0.1791044776
OR371570 human CHN 2022 HAstV-4-Fuzhou-2022-10 NA feces serotype 4,LC732123 human JPN 2016 Human-JPN-2016-JP14665 Child-with-acute-gastroenteritis feces serotype 3,0.1810344828
OR222910 human CHN 2021 NA SY2106 stool serotype 5,LC732123 human JPN 2016 Human-JPN-2016-JP14665 Child-with-acute-gastroenteritis feces serotype 3,0.1769658698
LC732124 human JPN 2016 Human-JPN-2016-JP14989 Child-with-acute-gastroenteritis feces serotype 3,LC732123 human JPN 2016 Human-JPN-2016-JP14665 Child-with-acute-gastroenteritis feces serotype 3,0.0151242887
OR371570 human CHN 2022 HAstV-4-Fuzhou-2022-10 NA feces serotype 4,LC732122 human JPN 2016 Human-JPN-2016-JP14641 Child-with-acute-gastroenteritis feces serotype 3,0.1822444041
OR222910 human CHN 2021 NA SY2106 stool serotype 5,LC732122 human JPN 2016 Human-JPN-2016-JP14641 Child-with-acute-gastroenteritis feces serotype 3,0.1775672831
LC732124 human JPN 2016 Human-JPN-2016-JP14989 Child-with-acute-gastroenteritis feces serotype 3,LC732122 human JPN 2016 Human-JPN-2016-JP14641 Child-with-acute-gastroenteritis feces serotype 3,0.0164719976
LC732123 human JPN 2016 Human-JPN-2016-JP14665 Child-with-acute-gastroenteritis feces serotype 3,LC732122 human JPN 2016 Human-JPN-2016-JP14641 Child-with-acute-gastroenteritis feces serotype 3,0.0022401434
OR371570 human CHN 2022 HAstV-4-Fuzhou-2022-10 NA feces serotype 4,ON571598 human CHN 2021 NA 2021-Fuzhou-37 feces serotype 4,0.0052814245
OR222910 human CHN 2021 NA SY2106 stool serotype 5,ON571598 human CHN 2021 NA 2021-Fuzhou-37 feces serotype 4,0.1863995143
LC732124 human JPN 2016 Human-JPN-2016-JP14989 Child-with-acute-gastroenteritis feces serotype 3,ON571598 human CHN 2021 NA 2021-Fuzhou-37 feces serotype 4,0.1809220503
LC732123 human JPN 2016 Human-JPN-2016-JP14665 Child-with-acute-gastroenteritis feces serotype 3,ON571598 human CHN 2021 NA 2021-Fuzhou-37 feces serotype 4,0.1804295221
LC732122 human JPN 2016 Human-JPN-2016-JP14641 Child-with-acute-gastroenteritis feces serotype 3,ON571598 human CHN 2021 NA 2021-Fuzhou-37 feces serotype 4,0.1816394434
OR371570 human CHN 2022 HAstV-4-Fuzhou-2022-10 NA feces serotype 4,ON571597 human CHN 2019 NA 2019-Pingtan-42 feces serotype 1,0.1872353297
OR222910 human CHN 2021 NA SY2106 stool serotype 5,ON571597 human CHN 2019 NA 2019-Pingtan-42 feces serotype 1,0.1858540256
LC732124 human JPN 2016 Human-JPN-2016-JP14989 Child-with-acute-gastroenteritis feces serotype 3,ON571597 human CHN 2019 NA 2019-Pingtan-42 feces serotype 1,0.1720769462
LC732123 human JPN 2016 Human-JPN-2016-JP14665 Child-with-acute-gastroenteritis feces serotype 3,ON571597 human CHN 2019 NA 2019-Pingtan-42 feces serotype 1,0.1717625899
LC732122 human JPN 2016 Human-JPN-2016-JP14641 Child-with-acute-gastroenteritis feces serotype 3,ON571597 human CHN 2019 NA 2019-Pingtan-42 feces serotype 1,0.1728117506
