Species 1,Species 2,Dist
OR371570 human CHN 2022 HAstV-4-Fuzhou-2022-10 NA feces serotype 4,OR222910 human CHN 2021 NA SY2106 stool serotype 5,0.1477428181
OR371570 human CHN 2022 HAstV-4-Fuzhou-2022-10 NA feces serotype 4,LC732124 human JPN 2016 Human-JPN-2016-JP14989 Child-with-acute-gastroenteritis feces serotype 3,0.1425318761
OR222910 human CHN 2021 NA SY2106 stool serotype 5,LC732124 human JPN 2016 Human-JPN-2016-JP14989 Child-with-acute-gastroenteritis feces serotype 3,0.1294703486
OR371570 human CHN 2022 HAstV-4-Fuzhou-2022-10 NA feces serotype 4,LC732123 human JPN 2016 Human-JPN-2016-JP14665 Child-with-acute-gastroenteritis feces serotype 3,0.1417537483
OR222910 human CHN 2021 NA SY2106 stool serotype 5,LC732123 human JPN 2016 Human-JPN-2016-JP14665 Child-with-acute-gastroenteritis feces serotype 3,0.1287262873
LC732124 human JPN 2016 Human-JPN-2016-JP14989 Child-with-acute-gastroenteritis feces serotype 3,LC732123 human JPN 2016 Human-JPN-2016-JP14665 Child-with-acute-gastroenteritis feces serotype 3,0.0085431655
OR371570 human CHN 2022 HAstV-4-Fuzhou-2022-10 NA feces serotype 4,LC732122 human JPN 2016 Human-JPN-2016-JP14641 Child-with-acute-gastroenteritis feces serotype 3,0.1435711040
OR222910 human CHN 2021 NA SY2106 stool serotype 5,LC732122 human JPN 2016 Human-JPN-2016-JP14641 Child-with-acute-gastroenteritis feces serotype 3,0.1296296296
LC732124 human JPN 2016 Human-JPN-2016-JP14989 Child-with-acute-gastroenteritis feces serotype 3,LC732122 human JPN 2016 Human-JPN-2016-JP14641 Child-with-acute-gastroenteritis feces serotype 3,0.0121402878
LC732123 human JPN 2016 Human-JPN-2016-JP14665 Child-with-acute-gastroenteritis feces serotype 3,LC732122 human JPN 2016 Human-JPN-2016-JP14641 Child-with-acute-gastroenteritis feces serotype 3,0.0035890534
OR371570 human CHN 2022 HAstV-4-Fuzhou-2022-10 NA feces serotype 4,ON571598 human CHN 2021 NA 2021-Fuzhou-37 feces serotype 4,0.0027198549
OR222910 human CHN 2021 NA SY2106 stool serotype 5,ON571598 human CHN 2021 NA 2021-Fuzhou-37 feces serotype 4,0.1472868217
LC732124 human JPN 2016 Human-JPN-2016-JP14989 Child-with-acute-gastroenteritis feces serotype 3,ON571598 human CHN 2021 NA 2021-Fuzhou-37 feces serotype 4,0.1420765027
LC732123 human JPN 2016 Human-JPN-2016-JP14665 Child-with-acute-gastroenteritis feces serotype 3,ON571598 human CHN 2021 NA 2021-Fuzhou-37 feces serotype 4,0.1412994094
LC732122 human JPN 2016 Human-JPN-2016-JP14641 Child-with-acute-gastroenteritis feces serotype 3,ON571598 human CHN 2021 NA 2021-Fuzhou-37 feces serotype 4,0.1431167651
OR371570 human CHN 2022 HAstV-4-Fuzhou-2022-10 NA feces serotype 4,ON571597 human CHN 2019 NA 2019-Pingtan-42 feces serotype 1,0.1476601545
OR222910 human CHN 2021 NA SY2106 stool serotype 5,ON571597 human CHN 2019 NA 2019-Pingtan-42 feces serotype 1,0.1360759494
LC732124 human JPN 2016 Human-JPN-2016-JP14989 Child-with-acute-gastroenteritis feces serotype 3,ON571597 human CHN 2019 NA 2019-Pingtan-42 feces serotype 1,0.1092057762
LC732123 human JPN 2016 Human-JPN-2016-JP14665 Child-with-acute-gastroenteritis feces serotype 3,ON571597 human CHN 2019 NA 2019-Pingtan-42 feces serotype 1,0.1103106709
LC732122 human JPN 2016 Human-JPN-2016-JP14641 Child-with-acute-gastroenteritis feces serotype 3,ON571597 human CHN 2019 NA 2019-Pingtan-42 feces serotype 1,0.1125619090
ON571598 human CHN 2021 NA 2021-Fuzhou-37 feces serotype 4,ON571597 human CHN 2019 NA 2019-Pingtan-42 feces serotype 1,0.1472058155
OR371570 human CHN 2022 HAstV-4-Fuzhou-2022-10 NA feces serotype 4,ON571596 human CHN 2019 NA 2019-Fuzhou-306 feces serotype 1,0.1467514766
OR222910 human CHN 2021 NA SY2106 stool serotype 5,ON571596 human CHN 2019 NA 2019-Fuzhou-306 feces serotype 1,0.1356238698
LC732124 human JPN 2016 Human-JPN-2016-JP14989 Child-with-acute-gastroenteritis feces serotype 3,ON571596 human CHN 2019 NA 2019-Fuzhou-306 feces serotype 1,0.1078519856
LC732123 human JPN 2016 Human-JPN-2016-JP14665 Child-with-acute-gastroenteritis feces serotype 3,ON571596 human CHN 2019 NA 2019-Fuzhou-306 feces serotype 1,0.1089599280
LC732122 human JPN 2016 Human-JPN-2016-JP14641 Child-with-acute-gastroenteritis feces serotype 3,ON571596 human CHN 2019 NA 2019-Fuzhou-306 feces serotype 1,0.1112111661
ON571598 human CHN 2021 NA 2021-Fuzhou-37 feces serotype 4,ON571596 human CHN 2019 NA 2019-Fuzhou-306 feces serotype 1,0.1462971377
ON571597 human CHN 2019 NA 2019-Pingtan-42 feces serotype 1,ON571596 human CHN 2019 NA 2019-Fuzhou-306 feces serotype 1,0.0035762181
OR371570 human CHN 2022 HAstV-4-Fuzhou-2022-10 NA feces serotype 4,ON571595 human CHN 2019 NA 2019-Fuzhou-289 feces serotype 5,0.1500912409
OR222910 human CHN 2021 NA SY2106 stool serotype 5,ON571595 human CHN 2019 NA 2019-Fuzhou-289 feces serotype 5,0.0040358744
LC732124 human JPN 2016 Human-JPN-2016-JP14989 Child-with-acute-gastroenteritis feces serotype 3,ON571595 human CHN 2019 NA 2019-Fuzhou-289 feces serotype 5,0.1308876812
LC732123 human JPN 2016 Human-JPN-2016-JP14665 Child-with-acute-gastroenteritis feces serotype 3,ON571595 human CHN 2019 NA 2019-Fuzhou-289 feces serotype 5,0.1301400813
LC732122 human JPN 2016 Human-JPN-2016-JP14641 Child-with-acute-gastroenteritis feces serotype 3,ON571595 human CHN 2019 NA 2019-Fuzhou-289 feces serotype 5,0.1310438319
ON571598 human CHN 2021 NA 2021-Fuzhou-37 feces serotype 4,ON571595 human CHN 2019 NA 2019-Fuzhou-289 feces serotype 5,0.1496350365
ON571597 human CHN 2019 NA 2019-Pingtan-42 feces serotype 1,ON571595 human CHN 2019 NA 2019-Fuzhou-289 feces serotype 5,0.1374943464
ON571596 human CHN 2019 NA 2019-Fuzhou-306 feces serotype 1,ON571595 human CHN 2019 NA 2019-Fuzhou-289 feces serotype 5,0.1370420624
OR371570 human CHN 2022 HAstV-4-Fuzhou-2022-10 NA feces serotype 4,ON571594 human CHN 2019 NA 2019-Fuzhou-26 feces serotype 1,0.1454545455
OR222910 human CHN 2021 NA SY2106 stool serotype 5,ON571594 human CHN 2019 NA 2019-Fuzhou-26 feces serotype 1,0.1244384546
LC732124 human JPN 2016 Human-JPN-2016-JP14989 Child-with-acute-gastroenteritis feces serotype 3,ON571594 human CHN 2019 NA 2019-Fuzhou-26 feces serotype 1,0.1115124153
LC732123 human JPN 2016 Human-JPN-2016-JP14665 Child-with-acute-gastroenteritis feces serotype 3,ON571594 human CHN 2019 NA 2019-Fuzhou-26 feces serotype 1,0.1126126126
LC732122 human JPN 2016 Human-JPN-2016-JP14641 Child-with-acute-gastroenteritis feces serotype 3,ON571594 human CHN 2019 NA 2019-Fuzhou-26 feces serotype 1,0.1148648649
