Species 1,Species 2,Dist
OR371570 human CHN 2022 HAstV-4-Fuzhou-2022-10 NA feces serotype 4,OR222910 human CHN 2021 NA SY2106 stool serotype 5,0.2182103611
OR371570 human CHN 2022 HAstV-4-Fuzhou-2022-10 NA feces serotype 4,LC732124 human JPN 2016 Human-JPN-2016-JP14989 Child-with-acute-gastroenteritis feces serotype 3,0.2090837901
OR222910 human CHN 2021 NA SY2106 stool serotype 5,LC732124 human JPN 2016 Human-JPN-2016-JP14989 Child-with-acute-gastroenteritis feces serotype 3,0.1843532146
OR371570 human CHN 2022 HAstV-4-Fuzhou-2022-10 NA feces serotype 4,LC732123 human JPN 2016 Human-JPN-2016-JP14665 Child-with-acute-gastroenteritis feces serotype 3,0.2123341140
OR222910 human CHN 2021 NA SY2106 stool serotype 5,LC732123 human JPN 2016 Human-JPN-2016-JP14665 Child-with-acute-gastroenteritis feces serotype 3,0.1845559846
LC732124 human JPN 2016 Human-JPN-2016-JP14989 Child-with-acute-gastroenteritis feces serotype 3,LC732123 human JPN 2016 Human-JPN-2016-JP14665 Child-with-acute-gastroenteritis feces serotype 3,0.0084291188
OR371570 human CHN 2022 HAstV-4-Fuzhou-2022-10 NA feces serotype 4,LC732122 human JPN 2016 Human-JPN-2016-JP14641 Child-with-acute-gastroenteritis feces serotype 3,0.2154566745
OR222910 human CHN 2021 NA SY2106 stool serotype 5,LC732122 human JPN 2016 Human-JPN-2016-JP14641 Child-with-acute-gastroenteritis feces serotype 3,0.1861003861
LC732124 human JPN 2016 Human-JPN-2016-JP14989 Child-with-acute-gastroenteritis feces serotype 3,LC732122 human JPN 2016 Human-JPN-2016-JP14641 Child-with-acute-gastroenteritis feces serotype 3,0.0145593870
LC732123 human JPN 2016 Human-JPN-2016-JP14665 Child-with-acute-gastroenteritis feces serotype 3,LC732122 human JPN 2016 Human-JPN-2016-JP14641 Child-with-acute-gastroenteritis feces serotype 3,0.0061115355
OR371570 human CHN 2022 HAstV-4-Fuzhou-2022-10 NA feces serotype 4,ON571598 human CHN 2021 NA 2021-Fuzhou-37 feces serotype 4,0.0031104199
OR222910 human CHN 2021 NA SY2106 stool serotype 5,ON571598 human CHN 2021 NA 2021-Fuzhou-37 feces serotype 4,0.2182103611
LC732124 human JPN 2016 Human-JPN-2016-JP14989 Child-with-acute-gastroenteritis feces serotype 3,ON571598 human CHN 2021 NA 2021-Fuzhou-37 feces serotype 4,0.2090837901
LC732123 human JPN 2016 Human-JPN-2016-JP14665 Child-with-acute-gastroenteritis feces serotype 3,ON571598 human CHN 2021 NA 2021-Fuzhou-37 feces serotype 4,0.2123341140
LC732122 human JPN 2016 Human-JPN-2016-JP14641 Child-with-acute-gastroenteritis feces serotype 3,ON571598 human CHN 2021 NA 2021-Fuzhou-37 feces serotype 4,0.2154566745
OR371570 human CHN 2022 HAstV-4-Fuzhou-2022-10 NA feces serotype 4,ON571597 human CHN 2019 NA 2019-Pingtan-42 feces serotype 1,0.2170179547
OR222910 human CHN 2021 NA SY2106 stool serotype 5,ON571597 human CHN 2019 NA 2019-Pingtan-42 feces serotype 1,0.1964423821
LC732124 human JPN 2016 Human-JPN-2016-JP14989 Child-with-acute-gastroenteritis feces serotype 3,ON571597 human CHN 2019 NA 2019-Pingtan-42 feces serotype 1,0.1518889746
LC732123 human JPN 2016 Human-JPN-2016-JP14665 Child-with-acute-gastroenteritis feces serotype 3,ON571597 human CHN 2019 NA 2019-Pingtan-42 feces serotype 1,0.1521906226
LC732122 human JPN 2016 Human-JPN-2016-JP14641 Child-with-acute-gastroenteritis feces serotype 3,ON571597 human CHN 2019 NA 2019-Pingtan-42 feces serotype 1,0.1560338201
ON571598 human CHN 2021 NA 2021-Fuzhou-37 feces serotype 4,ON571597 human CHN 2019 NA 2019-Pingtan-42 feces serotype 1,0.2170179547
OR371570 human CHN 2022 HAstV-4-Fuzhou-2022-10 NA feces serotype 4,ON571596 human CHN 2019 NA 2019-Fuzhou-306 feces serotype 1,0.2154566745
OR222910 human CHN 2021 NA SY2106 stool serotype 5,ON571596 human CHN 2019 NA 2019-Fuzhou-306 feces serotype 1,0.1972157773
LC732124 human JPN 2016 Human-JPN-2016-JP14989 Child-with-acute-gastroenteritis feces serotype 3,ON571596 human CHN 2019 NA 2019-Fuzhou-306 feces serotype 1,0.1518889746
LC732123 human JPN 2016 Human-JPN-2016-JP14665 Child-with-acute-gastroenteritis feces serotype 3,ON571596 human CHN 2019 NA 2019-Fuzhou-306 feces serotype 1,0.1521906226
LC732122 human JPN 2016 Human-JPN-2016-JP14641 Child-with-acute-gastroenteritis feces serotype 3,ON571596 human CHN 2019 NA 2019-Fuzhou-306 feces serotype 1,0.1560338201
ON571598 human CHN 2021 NA 2021-Fuzhou-37 feces serotype 4,ON571596 human CHN 2019 NA 2019-Fuzhou-306 feces serotype 1,0.2154566745
ON571597 human CHN 2019 NA 2019-Pingtan-42 feces serotype 1,ON571596 human CHN 2019 NA 2019-Fuzhou-306 feces serotype 1,0.0015360983
OR371570 human CHN 2022 HAstV-4-Fuzhou-2022-10 NA feces serotype 4,ON571595 human CHN 2019 NA 2019-Fuzhou-289 feces serotype 5,0.2197802198
OR222910 human CHN 2021 NA SY2106 stool serotype 5,ON571595 human CHN 2019 NA 2019-Fuzhou-289 feces serotype 5,0.0023112481
LC732124 human JPN 2016 Human-JPN-2016-JP14989 Child-with-acute-gastroenteritis feces serotype 3,ON571595 human CHN 2019 NA 2019-Fuzhou-289 feces serotype 5,0.1859024012
LC732123 human JPN 2016 Human-JPN-2016-JP14665 Child-with-acute-gastroenteritis feces serotype 3,ON571595 human CHN 2019 NA 2019-Fuzhou-289 feces serotype 5,0.1861003861
LC732122 human JPN 2016 Human-JPN-2016-JP14641 Child-with-acute-gastroenteritis feces serotype 3,ON571595 human CHN 2019 NA 2019-Fuzhou-289 feces serotype 5,0.1876447876
ON571598 human CHN 2021 NA 2021-Fuzhou-37 feces serotype 4,ON571595 human CHN 2019 NA 2019-Fuzhou-289 feces serotype 5,0.2197802198
ON571597 human CHN 2019 NA 2019-Pingtan-42 feces serotype 1,ON571595 human CHN 2019 NA 2019-Fuzhou-289 feces serotype 5,0.1979891725
ON571596 human CHN 2019 NA 2019-Fuzhou-306 feces serotype 1,ON571595 human CHN 2019 NA 2019-Fuzhou-289 feces serotype 5,0.1987625677
OR371570 human CHN 2022 HAstV-4-Fuzhou-2022-10 NA feces serotype 4,ON571594 human CHN 2019 NA 2019-Fuzhou-26 feces serotype 1,0.2138953942
OR222910 human CHN 2021 NA SY2106 stool serotype 5,ON571594 human CHN 2019 NA 2019-Fuzhou-26 feces serotype 1,0.1948955916
LC732124 human JPN 2016 Human-JPN-2016-JP14989 Child-with-acute-gastroenteritis feces serotype 3,ON571594 human CHN 2019 NA 2019-Fuzhou-26 feces serotype 1,0.1557440247
LC732123 human JPN 2016 Human-JPN-2016-JP14665 Child-with-acute-gastroenteritis feces serotype 3,ON571594 human CHN 2019 NA 2019-Fuzhou-26 feces serotype 1,0.1575710992
LC732122 human JPN 2016 Human-JPN-2016-JP14641 Child-with-acute-gastroenteritis feces serotype 3,ON571594 human CHN 2019 NA 2019-Fuzhou-26 feces serotype 1,0.1614142967
ON571598 human CHN 2021 NA 2021-Fuzhou-37 feces serotype 4,ON571594 human CHN 2019 NA 2019-Fuzhou-26 feces serotype 1,0.2138953942
ON571597 human CHN 2019 NA 2019-Pingtan-42 feces serotype 1,ON571594 human CHN 2019 NA 2019-Fuzhou-26 feces serotype 1,0.0399385561
ON571596 human CHN 2019 NA 2019-Fuzhou-306 feces serotype 1,ON571594 human CHN 2019 NA 2019-Fuzhou-26 feces serotype 1,0.0399385561
ON571595 human CHN 2019 NA 2019-Fuzhou-289 feces serotype 5,ON571594 human CHN 2019 NA 2019-Fuzhou-26 feces serotype 1,0.1948955916
OR371570 human CHN 2022 HAstV-4-Fuzhou-2022-10 NA feces serotype 4,OP432301 human CHN 2022 NA HAstV-4-QD-L-22019 NA serotype 4,0.0031104199
OR222910 human CHN 2021 NA SY2106 stool serotype 5,OP432301 human CHN 2022 NA HAstV-4-QD-L-22019 NA serotype 4,0.2182103611
LC732124 human JPN 2016 Human-JPN-2016-JP14989 Child-with-acute-gastroenteritis feces serotype 3,OP432301 human CHN 2022 NA HAstV-4-QD-L-22019 NA serotype 4,0.2098668755
LC732123 human JPN 2016 Human-JPN-2016-JP14665 Child-with-acute-gastroenteritis feces serotype 3,OP432301 human CHN 2022 NA HAstV-4-QD-L-22019 NA serotype 4,0.2131147541
LC732122 human JPN 2016 Human-JPN-2016-JP14641 Child-with-acute-gastroenteritis feces serotype 3,OP432301 human CHN 2022 NA HAstV-4-QD-L-22019 NA serotype 4,0.2162373146
ON571598 human CHN 2021 NA 2021-Fuzhou-37 feces serotype 4,OP432301 human CHN 2022 NA HAstV-4-QD-L-22019 NA serotype 4,0.0046656299
ON571597 human CHN 2019 NA 2019-Pingtan-42 feces serotype 1,OP432301 human CHN 2022 NA HAstV-4-QD-L-22019 NA serotype 4,0.2177985948
ON571596 human CHN 2019 NA 2019-Fuzhou-306 feces serotype 1,OP432301 human CHN 2022 NA HAstV-4-QD-L-22019 NA serotype 4,0.2162373146
ON571595 human CHN 2019 NA 2019-Fuzhou-289 feces serotype 5,OP432301 human CHN 2022 NA HAstV-4-QD-L-22019 NA serotype 4,0.2197802198
ON571594 human CHN 2019 NA 2019-Fuzhou-26 feces serotype 1,OP432301 human CHN 2022 NA HAstV-4-QD-L-22019 NA serotype 4,0.2146760343
OR371570 human CHN 2022 HAstV-4-Fuzhou-2022-10 NA feces serotype 4,OP432300 human CHN 2022 NA HAstV-4-QD-S-22022 NA serotype 4,0.0031104199
OR222910 human CHN 2021 NA SY2106 stool serotype 5,OP432300 human CHN 2022 NA HAstV-4-QD-S-22022 NA serotype 4,0.2174254317
LC732124 human JPN 2016 Human-JPN-2016-JP14989 Child-with-acute-gastroenteritis feces serotype 3,OP432300 human CHN 2022 NA HAstV-4-QD-S-22022 NA serotype 4,0.2090837901
LC732123 human JPN 2016 Human-JPN-2016-JP14665 Child-with-acute-gastroenteritis feces serotype 3,OP432300 human CHN 2022 NA HAstV-4-QD-S-22022 NA serotype 4,0.2123341140
LC732122 human JPN 2016 Human-JPN-2016-JP14641 Child-with-acute-gastroenteritis feces serotype 3,OP432300 human CHN 2022 NA HAstV-4-QD-S-22022 NA serotype 4,0.2154566745
ON571598 human CHN 2021 NA 2021-Fuzhou-37 feces serotype 4,OP432300 human CHN 2022 NA HAstV-4-QD-S-22022 NA serotype 4,0.0031104199
ON571597 human CHN 2019 NA 2019-Pingtan-42 feces serotype 1,OP432300 human CHN 2022 NA HAstV-4-QD-S-22022 NA serotype 4,0.2177985948
ON571596 human CHN 2019 NA 2019-Fuzhou-306 feces serotype 1,OP432300 human CHN 2022 NA HAstV-4-QD-S-22022 NA serotype 4,0.2162373146
ON571595 human CHN 2019 NA 2019-Fuzhou-289 feces serotype 5,OP432300 human CHN 2022 NA HAstV-4-QD-S-22022 NA serotype 4,0.2189952904
ON571594 human CHN 2019 NA 2019-Fuzhou-26 feces serotype 1,OP432300 human CHN 2022 NA HAstV-4-QD-S-22022 NA serotype 4,0.2146760343
OP432301 human CHN 2022 NA HAstV-4-QD-L-22019 NA serotype 4,OP432300 human CHN 2022 NA HAstV-4-QD-S-22022 NA serotype 4,0.0031104199
OR371570 human CHN 2022 HAstV-4-Fuzhou-2022-10 NA feces serotype 4,OP432299 human CHN 2021 NA HAstV-4-RC-21045 NA serotype 4,0.0031104199
OR222910 human CHN 2021 NA SY2106 stool serotype 5,OP432299 human CHN 2021 NA HAstV-4-RC-21045 NA serotype 4,0.2166405024
LC732124 human JPN 2016 Human-JPN-2016-JP14989 Child-with-acute-gastroenteritis feces serotype 3,OP432299 human CHN 2021 NA HAstV-4-RC-21045 NA serotype 4,0.2090837901
LC732123 human JPN 2016 Human-JPN-2016-JP14665 Child-with-acute-gastroenteritis feces serotype 3,OP432299 human CHN 2021 NA HAstV-4-RC-21045 NA serotype 4,0.2123341140
LC732122 human JPN 2016 Human-JPN-2016-JP14641 Child-with-acute-gastroenteritis feces serotype 3,OP432299 human CHN 2021 NA HAstV-4-RC-21045 NA serotype 4,0.2154566745
ON571598 human CHN 2021 NA 2021-Fuzhou-37 feces serotype 4,OP432299 human CHN 2021 NA HAstV-4-RC-21045 NA serotype 4,0.0031104199
ON571597 human CHN 2019 NA 2019-Pingtan-42 feces serotype 1,OP432299 human CHN 2021 NA HAstV-4-RC-21045 NA serotype 4,0.2177985948
ON571596 human CHN 2019 NA 2019-Fuzhou-306 feces serotype 1,OP432299 human CHN 2021 NA HAstV-4-RC-21045 NA serotype 4,0.2162373146
ON571595 human CHN 2019 NA 2019-Fuzhou-289 feces serotype 5,OP432299 human CHN 2021 NA HAstV-4-RC-21045 NA serotype 4,0.2182103611
ON571594 human CHN 2019 NA 2019-Fuzhou-26 feces serotype 1,OP432299 human CHN 2021 NA HAstV-4-RC-21045 NA serotype 4,0.2146760343
OP432301 human CHN 2022 NA HAstV-4-QD-L-22019 NA serotype 4,OP432299 human CHN 2021 NA HAstV-4-RC-21045 NA serotype 4,0.0046656299
OP432300 human CHN 2022 NA HAstV-4-QD-S-22022 NA serotype 4,OP432299 human CHN 2021 NA HAstV-4-RC-21045 NA serotype 4,0.0023328149
OR371570 human CHN 2022 HAstV-4-Fuzhou-2022-10 NA feces serotype 4,OP432298 human CHN 2022 NA HAstV-4-QD-S-22015 NA serotype 4,0.0038880249
OR222910 human CHN 2021 NA SY2106 stool serotype 5,OP432298 human CHN 2022 NA HAstV-4-QD-S-22015 NA serotype 4,0.2182103611
LC732124 human JPN 2016 Human-JPN-2016-JP14989 Child-with-acute-gastroenteritis feces serotype 3,OP432298 human CHN 2022 NA HAstV-4-QD-S-22015 NA serotype 4,0.2090837901
LC732123 human JPN 2016 Human-JPN-2016-JP14665 Child-with-acute-gastroenteritis feces serotype 3,OP432298 human CHN 2022 NA HAstV-4-QD-S-22015 NA serotype 4,0.2123341140
LC732122 human JPN 2016 Human-JPN-2016-JP14641 Child-with-acute-gastroenteritis feces serotype 3,OP432298 human CHN 2022 NA HAstV-4-QD-S-22015 NA serotype 4,0.2154566745
ON571598 human CHN 2021 NA 2021-Fuzhou-37 feces serotype 4,OP432298 human CHN 2022 NA HAstV-4-QD-S-22015 NA serotype 4,0.0054432348
ON571597 human CHN 2019 NA 2019-Pingtan-42 feces serotype 1,OP432298 human CHN 2022 NA HAstV-4-QD-S-22015 NA serotype 4,0.2170179547
ON571596 human CHN 2019 NA 2019-Fuzhou-306 feces serotype 1,OP432298 human CHN 2022 NA HAstV-4-QD-S-22015 NA serotype 4,0.2154566745
ON571595 human CHN 2019 NA 2019-Fuzhou-289 feces serotype 5,OP432298 human CHN 2022 NA HAstV-4-QD-S-22015 NA serotype 4,0.2197802198
ON571594 human CHN 2019 NA 2019-Fuzhou-26 feces serotype 1,OP432298 human CHN 2022 NA HAstV-4-QD-S-22015 NA serotype 4,0.2138953942
OP432301 human CHN 2022 NA HAstV-4-QD-L-22019 NA serotype 4,OP432298 human CHN 2022 NA HAstV-4-QD-S-22015 NA serotype 4,0.0023328149
OP432300 human CHN 2022 NA HAstV-4-QD-S-22022 NA serotype 4,OP432298 human CHN 2022 NA HAstV-4-QD-S-22015 NA serotype 4,0.0038880249
OP432299 human CHN 2021 NA HAstV-4-RC-21045 NA serotype 4,OP432298 human CHN 2022 NA HAstV-4-QD-S-22015 NA serotype 4,0.0054432348
OR371570 human CHN 2022 HAstV-4-Fuzhou-2022-10 NA feces serotype 4,OP432297 human CHN 2022 NA HAstV-4-QD-L-22001 NA serotype 4,0.0031104199
OR222910 human CHN 2021 NA SY2106 stool serotype 5,OP432297 human CHN 2022 NA HAstV-4-QD-L-22001 NA serotype 4,0.2174254317
LC732124 human JPN 2016 Human-JPN-2016-JP14989 Child-with-acute-gastroenteritis feces serotype 3,OP432297 human CHN 2022 NA HAstV-4-QD-L-22001 NA serotype 4,0.2090837901
