id,1A,1B,2
OR371570,80-2861,2800-4348,4340-6656
OR222910,83-2885,2824-4372,4364-6716
LC732124,0-2760,2699-4247,4239-6610
LC732123,0-2763,2702-4250,4242-6627
LC732122,0-2763,2702-4250,4242-6627
ON807353,0-1674,2345-3734,3726-6078
ON807352,0-2763,3143-4250,4242-6448
ON807351,0-2766,3146-4253,4245-6428
ON807350,0-2766,3146-4253,4245-6535
ON807349,0-2766,3146-4253,4245-6519
ON807347,0-2808,3188-4295,4107-6651
ON807346,0-2766,3146-4253,4245-6582
ON807345,0-2784,3164-4271,4263-6648
ON807344,0-2784,3164-4271,4263-6648
OQ630461,0-2741,2669-4228,4220-6387
ON571598,80-2843,2782-4330,4322-6638
ON571597,83-2891,2830-4378,4370-6734
ON571596,83-2891,2830-4378,4370-6734
ON571595,78-2877,2816-4364,4356-6708
ON571594,82-2884,2823-4371,4363-6727
OP432301,53-2816,2755-4303,4295-6611
OP432300,53-2816,2755-4303,4295-6611
OP432299,53-2816,2755-4303,4295-6611
OP432298,53-2816,2755-4303,4295-6611
OP432297,53-2816,2755-4303,4295-6611
OP432296,53-2816,2755-4303,4295-6611
OP432295,53-2816,2755-4303,4295-6611
OP432294,53-2816,2755-4303,4295-6611
OP432293,53-2816,2755-4303,4295-6611
MT766324,80-2840,2839-4375,4367-6731
MT766321,77-2891,2890-4426,4418-6782
MT766320,116-2849,2848-4384,4376-6740
MT766323,79-2836,2835-4371,4363-6618
MT766322,1-2668,2668-4203,4195-6559
LC694997,73-2875,2814-4362,4354-6718
LC694996,76-2878,2817-4365,4357-6721
LC694995,108-2916,2843-4403,4395-6759
LC694994,74-2882,2809-4369,4361-6725
LC694993,75-2883,2810-4370,4362-6726
LC694992,87-2895,2822-4382,4374-6738
LC694991,76-2884,2811-4371,4363-6727
LC694990,79-2887,2814-4374,4366-6730
LC694989,78-2886,2813-4373,4365-6729
LC694988,91-2899,2826-4386,4378-6742
LC694987,72-2880,2807-4367,4359-6723
LC694986,75-2883,2822-4370,4362-6726
LC694985,70-2833,2772-4320,4312-6697
MZ603079,0-2763,2777-4250,4242-6627
MT832897,85-2893,2820-4380,4372-6736
MT832896,85-2893,2820-4380,4372-6736
MT832895,85-2893,2820-4380,4372-6736
MT832894,85-2893,2820-4380,4372-6736
MT832893,85-2893,2820-4380,4372-6736
MT832892,85-2893,2820-4380,4372-6736
MT906859,85-2887,2826-4374,4186-6718
MT906858,85-2887,2826-4374,4366-6718
MT906857,85-2887,2826-4374,4366-6718
MT906856,85-2887,2826-4374,4366-6667
MT906855,20-2822,2761-4309,4301-6617
MT906854,20-2822,2761-4309,4301-6617
MT906853,20-2822,2761-4309,4301-6617
MT267483,1-2674,2613-4161,4153-6538
MT267476,1-2404,2343-3891,3883-6235
MW485045,24-2826,2765-4313,4305-6622
MW485044,85-2887,2826-4374,4366-6685
MW485043,81-2844,2783-4331,4323-6708
MW485042,82-2848,2787-4335,4327-6727
MW485041,85-2887,2826-4374,4366-6560
MW485040,85-2887,2826-4374,4366-6730
MW485039,85-2887,2826-4374,4366-6730
MW485038,85-2887,2862-4256,4639-6730
MN433706,82-2884,2823-4371,4363-6715
MN433705,82-2842,2781-4329,4321-6715
MN433704,81-2889,2816-4376,4368-6732
MN433703,82-2890,2817-4377,4369-6733
MN444721,81-2844,2783-4331,4323-6708
KC285113,76-2878,2817-4365,4357-6670
KC285152,74-2837,2776-4324,4316-6716
MK296753,73-2836,2850-4323,4315-6700
MK059956,83-2846,2785-4333,4325-6674
MK059955,83-2849,2788-4336,4328-6704
MK059954,82-2848,2787-4335,4327-6664
MK059953,83-2822,2761-4309,4301-6653
MK059952,84-2847,2786-4334,4326-6642
MK059951,85-2869,2808-4356,4348-6733
MK059950,82-2845,2784-4332,4324-6718
MK059949,85-2848,2787-4335,4327-6691
NC_030922,0-2809,2748-4296,4288-6673
MF684776,85-2887,2826-4374,4366-6718
MG571777,81-2844,2783-4331,4323-6708
JF491430,54-2841,2780-4328,4320-6705
GQ901902,52-2818,2757-4305,4297-6634
GU732187,54-2841,2780-4328,4320-6705
GU223905,54-2841,2780-4328,4320-6705
DQ344027,82-2845,2784-4332,4324-6640
DQ070852,84-2847,2786-4334,4326-6642
DQ028633,83-2846,2785-4333,4325-6677
AY720892,91-2854,2793-4341,4333-6697
AY720891,84-2847,2786-4334,4326-6642
AF260508,80-2846,2776-4333,4145-6674
HQ398856,85-2893,2820-4380,4372-6736
HM237363,83-2849,2788-4336,4328-6665
ATVPOLY6A,85-2848,2775-4335,4327-6691
GQ495608,82-2848,2787-4335,4327-6664
FJ755405,85-2848,2787-4335,4327-6691
FJ755404,85-2848,2787-4335,4327-6691
FJ755403,85-2848,2787-4335,4327-6691
FJ755402,85-2848,2787-4335,4327-6691
KF211475,85-2848,2793-4335,4327-6691
KP862744,82-2863,2802-4350,4342-6691
KF039913,53-2816,2755-4303,4295-6611
KF039912,55-2857,2796-4344,4336-6652
KF039911,54-2817,2756-4304,4296-6696
KF039910,53-2834,2773-4321,4313-6710
KC342249,84-4374,4313-4374,4366-6730
JN887820,0-2763,2702-4250,4242-6606
AB308374,0-2809,2748-4296,4288-6673
JQ403108,83-2846,2785-4333,4325-6677
Z25771,85-2839,2823-4380,4372-6733
L23513,85-2848,2775-4335,4327-6691
