Species 1,Species 2,Dist
OR371570 human CHN 2022 HAstV-4-Fuzhou-2022-10 NA feces serotype 4,OR222910 human CHN 2021 NA SY2106 stool serotype 5,0.2533960293
OR371570 human CHN 2022 HAstV-4-Fuzhou-2022-10 NA feces serotype 4,LC732124 human JPN 2016 Human-JPN-2016-JP14989 Child-with-acute-gastroenteritis feces serotype 3,0.2386541471
OR222910 human CHN 2021 NA SY2106 stool serotype 5,LC732124 human JPN 2016 Human-JPN-2016-JP14989 Child-with-acute-gastroenteritis feces serotype 3,0.2355521156
OR371570 human CHN 2022 HAstV-4-Fuzhou-2022-10 NA feces serotype 4,LC732123 human JPN 2016 Human-JPN-2016-JP14665 Child-with-acute-gastroenteritis feces serotype 3,0.2387633151
OR222910 human CHN 2021 NA SY2106 stool serotype 5,LC732123 human JPN 2016 Human-JPN-2016-JP14665 Child-with-acute-gastroenteritis feces serotype 3,0.2331020303
LC732124 human JPN 2016 Human-JPN-2016-JP14989 Child-with-acute-gastroenteritis feces serotype 3,LC732123 human JPN 2016 Human-JPN-2016-JP14665 Child-with-acute-gastroenteritis feces serotype 3,0.0119959163
OR371570 human CHN 2022 HAstV-4-Fuzhou-2022-10 NA feces serotype 4,LC732122 human JPN 2016 Human-JPN-2016-JP14641 Child-with-acute-gastroenteritis feces serotype 3,0.2405819693
OR222910 human CHN 2021 NA SY2106 stool serotype 5,LC732122 human JPN 2016 Human-JPN-2016-JP14641 Child-with-acute-gastroenteritis feces serotype 3,0.2343870470
LC732124 human JPN 2016 Human-JPN-2016-JP14989 Child-with-acute-gastroenteritis feces serotype 3,LC732122 human JPN 2016 Human-JPN-2016-JP14641 Child-with-acute-gastroenteritis feces serotype 3,0.0145482389
LC732123 human JPN 2016 Human-JPN-2016-JP14665 Child-with-acute-gastroenteritis feces serotype 3,LC732122 human JPN 2016 Human-JPN-2016-JP14641 Child-with-acute-gastroenteritis feces serotype 3,0.0035596237
