GBID,country,host,collection_date,strain,isolate,isolation_source,serotype_color
OR371570,China:Fuzhou,Homo sapiens,2022-01-04,HAstV-4_Fuzhou_2022-10,NaN,feces,violet
OR222910,China,Homo sapiens,2021,NaN,SY2106,stool,red
LC732124,"Japan: Gunma, Kiryu",Homo sapiens,2016-05-24,Human/JPN/2016/JP14989,Child with acute gastroenteritis,feces,light_blue
LC732123,"Japan: Gunma, Kiryu",Homo sapiens,2016-05-07,Human/JPN/2016/JP14665,Child with acute gastroenteritis,feces,light_blue
LC732122,"Japan: Gunma, Kiryu",Homo sapiens,2016-04-24,Human/JPN/2016/JP14641,Child with acute gastroenteritis,feces,light_blue
OQ630461,Guinea,Homo sapiens,13-Jan-2021,NaN,SEN_21_286_S1,Stool Sample of non-polio AFP,brown
ON571598,China: Fuzhou,Homo sapiens,2021,NaN,2021/Fuzhou/37,feces,violet
ON571597,China: Pingtan,Homo sapiens,2019,NaN,2019/Pingtan/42,feces,brown
ON571597,China: Pingtan,Homo sapiens,2019,NaN,2019/Pingtan/42,feces,brown
ON571596,China: Fuzhou,Homo sapiens,2019,NaN,2019/Fuzhou/306,feces,brown
ON571595,China: Fuzhou,Homo sapiens,2019,NaN,2019/Fuzhou/289,feces,red
ON571594,China: Fuzhou,Homo sapiens,2019,NaN,2019/Fuzhou/26,feces,brown
OP432301,China,Homo sapiens,10-Mar-2022,NaN,HAstV-4/QD-L-22019,NaN,light_blue
OP432300,China,Homo sapiens,26-Mar-2022,NaN,HAstV-4/QD-S-22022,NaN,light_blue
OP432299,China,Homo sapiens,26-May-2021,NaN,HAstV-4/RC-21045,NaN,violet
OP432298,China,Homo sapiens,15-Feb-2022,NaN,HAstV-4/QD-S-22015,NaN,light_blue
OP432297,China,Homo sapiens,13-Feb-2022,NaN,HAstV-4/QD-L-22001,NaN,light_blue
OP432296,China,Homo sapiens,26-May-2021,NaN,HAstV-4/RC-21047,NaN,light_blue
OP432295,China,Homo sapiens,16-Apr-2022,NaN,HAstV-4/QD-F-22056,NaN,violet
OP432294,China,Homo sapiens,28-Mar-2022,NaN,HAstV-4/QD-L-22040,NaN,light_blue
OP432293,China,Homo sapiens,31-Mar-2021,NaN,HAstV-4/RC-21027,NaN,violet
LC694997,Japan:Tokyo,Homo sapiens,2018-08,NaN,HAstV1/181289/Tokyo/2018,NaN,brown
LC694996,Japan:Tokyo,Homo sapiens,2018-08,NaN,HAstV1/181290/Tokyo/2018,NaN,brown
LC694995,Japan:Tokyo,Homo sapiens,2020-02,NaN,HAstV1/192642/Tokyo/2020,NaN,brown
LC694994,Japan:Tokyo,Homo sapiens,2020-03,NaN,HAstV1/193055/Tokyo/2020,NaN,brown
LC694993,Japan:Tokyo,Homo sapiens,2020-03,NaN,HAstV1/193061/Tokyo/2020,NaN,brown
LC694992,Japan:Tokyo,Homo sapiens,2021-10,NaN,HAstV1/210628/Tokyo/2021,NaN,brown
LC694991,Japan:Tokyo,Homo sapiens,2021-11,NaN,HAstV1/210764/Tokyo/2021,NaN,brown
LC694990,Japan:Tokyo,Homo sapiens,2018-10,NaN,HAstV1/181937/Tokyo/2018,NaN,brown
LC694988,Japan:Tokyo,Homo sapiens,2021-12,NaN,HAstV1/210963/Tokyo/2021,NaN,brown
LC694987,Japan:Tokyo,Homo sapiens,2021-12,NaN,HAstV1/210984/Tokyo/2021,NaN,brown
LC694986,Japan:Tokyo,Homo sapiens,2022-01,NaN,HAstV1/211185/Tokyo/2022,NaN,brown
LC694985,Japan:Tokyo,Homo sapiens,2019-07,NaN,HAstV3/190610/Tokyo/2019,NaN,light_blue
MZ603079,NaN,NaN,2011,NaN,HAstV-3_RVAB,feces,light_blue
MT832897,Brazil,Homo sapiens,2015,MAstV-1/Hu/BRA/TO-161/2015,TO-161,feces,brown
MT832896,Brazil,Homo sapiens,2015,MAstV-1/Hu/BRA/TO-208/2015,TO-208,feces,brown
MT832895,Brazil,Homo sapiens,2015,MAstV-1/Hu/BRA/TO-171/2015,TO-171,feces,brown
MT832894,Brazil,Homo sapiens,2011,MAstV-1/Hu/BRA/TO-162/2011,TO-162,feces,brown
MT832893,Brazil,Homo sapiens,2015,MAstV-1/Hu/BRA/TO-160/2015,TO-160,feces,brown
MT832892,Brazil,Homo sapiens,2015,MAstV-1/Hu/BRA/TO-98/2015,TO-98,feces,brown
MT906859,Brazil,Homo sapiens,2014,Hu/BRA/TO-32/2014,BRA/TO-32,stool sample,red
MT906858,Brazil,Homo sapiens,2014,Hu/BRA/TO-57/2014,BRA/TO-57,stool,red
MT906857,Brazil,Homo sapiens,2014,Hu/BRA/TO-40/2014,BRA/TO-40,stool,red
MT906856,Brazil,Homo sapiens,2015,Hu/BRA/TO-65/2015,BRA/TO-65,stool,red
MT906855,Brazil,Homo sapiens,2014,Hu/BRA/TO-26/2014,BRA/TO-26,stool sample,violet
MT906854,Brazil,Homo sapiens,2015,Hu/BRA/TO-71/2015,BRA/TO-71,stool sample,violet
MT906853,Brazil,Homo sapiens,2014,Hu/BRA/TO-207/2014,BRA/TO-207,stool,violet
MT267483,South Africa,Homo sapiens; infant (<5 years),2015,SA6118,NaN,Fecal Specimen,light_blue
MT267476,South Africa,Homo sapiens; infant (<5 years),2015,SA10098,NaN,Fecal Specimen,red
MW485045,Kenya,Homo sapiens,01-Jun-2019,KLF/HAstV5/003/2019,NaN,NaN,red
MW485044,Kenya,Homo sapiens,01-Jun-2019,KLF/HAstV5/002/2019,NaN,NaN,red
MW485043,Kenya,Homo sapiens,15-Apr-2019,KLF/HAstV3/007/2019,NaN,NaN,light_blue
MW485042,Kenya,Homo sapiens,19-Jun-2019,KLF/HAstV2/005/2019,NaN,NaN,pink
MW485041,Kenya,Homo sapiens,18-Jul-2019,KLF/HAstV1/010/2019,NaN,NaN,brown
MW485040,Kenya,Homo sapiens,26-Apr-2019,KLF/HAstV1/008/2019,NaN,NaN,brown
MW485039,Kenya,Homo sapiens,23-Jul-2019,KLF/HAstV1/006/2019,NaN,NaN,brown
MW485038,Kenya,Homo sapiens,13-Apr-2019,KLF/HAstV1/001/2019,NaN,NaN,brown
MN433706,USA: CA,Homo sapiens,May-2014,Hu/US/2014/CA-RGDS-1073,NaN,stool,red
MN433705,USA: CA,Homo sapiens,May-2014,Hu/US/2014/CA-RGDS-1072,NaN,stool,pink
MN433704,USA: CA,Homo sapiens,May-2013,Hu/US/2013/CA-RGDS-1071,NaN,stool,brown
MN433703,USA: CA,Homo sapiens,Jan-2013,Hu/US/2013/CA-RGDS-1070,NaN,stool,brown
MN444721,USA: NV,Homo sapiens,May-2017,Hu/US/2017/CA-RGDS-1074,NaN,stool,light_blue
KC285113,Russia: Novosibirsk,Homo sapiens; sex: M; age: 9 months,06-Nov-2010,NaN,HAstV-4/RUS/Novosibirsk/Nsc10-N1190/2010,feces,violet
KC285152,Russia: Novosibirsk,Homo sapiens; sex: F; age: 3 months,15-Jun-2011,NaN,HAstV-2/RUS/Novosibirsk/Nsc11-N2411/2011,feces,pink
MK296753,Ireland,Homo sapiens; female,28-Dec-2018,Hu/HAstV3/2016/East/Ireland,17W1028,feces,light_blue
MK059956,USA,Homo sapiens,NaN,Oxford,NaN,cell culture,yellow
MK059955,USA,Homo sapiens,NaN,Oxford,NaN,cell culture,blue
MK059954,USA,Homo sapiens,NaN,Oxford,NaN,cell culture,green
MK059953,USA,Homo sapiens,NaN,Oxford,NaN,cell culture,red
MK059952,USA,Homo sapiens,NaN,Oxford,NaN,cell culture,violet
MK059951,USA,Homo sapiens,NaN,Oxford,NaN,cell culture,light_blue
MK059950,USA,Homo sapiens,NaN,Oxford,NaN,cell culture,pink
MK059949,USA,Homo sapiens,NaN,Oxford,NaN,cell culture,brown
NC_030922,India:Kolkata,NaN,02-Sep-2004,NaN,V1347,faecal specimen of a child suffering from acute watery diarrhoea,brown
MF684776,China,Homo sapiens,2013,NaN,2013/Fuzhou/85,stool,red
MG571777,Venezuela,Homo sapiens,2015,NaN,NaN,stool,light_blue
JF491430,Russia,Homo sapiens,21-Feb-2004,NaN,Rus-Nsc04-H355,NaN,light_blue
GQ901902,Russia,Homo sapiens,01-Mar-2009,NaN,Rus-Nsc09-B4,NaN,green
GU732187,Russia,Homo sapiens,21-Apr-2008,NaN,Rus-Nsc08-3364,NaN,light_blue
GU223905,Russia,Homo sapiens,10-Nov-2003,NaN,Rus-Nsc03-H191,NaN,light_blue
DQ344027,China,NaN,NaN,NaN,Guangzhou,NaN,violet
DQ070852,Brazil,NaN,NaN,NaN,Goiania/GO/12/95/Brazil,NaN,violet
DQ028633,Brazil,NaN,NaN,NaN,Goiania/GO/12/94/Brazil,stool,red
AY720892,NaN,NaN,NaN,Dresden,NaN,NaN,brown
AY720891,NaN,NaN,NaN,Dresden,NaN,NaN,violet
AF260508,NaN,NaN,NaN,Yuc-8,NaN,NaN,yellow
HQ398856,Hungary,Homo sapiens,Jun-2010,Hu/Nyergesujfalu/HUN4520/2010/HUN,NaN,fecal sample,brown
HM237363,NaN,NaN,NaN,NaN,Katano,NaN,green
L23513,NaN,NaN,NaN,NaN,Oxford,NaN,brown
GQ495608,China,Homo sapiens,Nov-2007,NaN,192-BJ07-CHN,stool,green
FJ755405,China,Homo sapiens,Nov-2007,Beijing/293/2007/CHN,NaN,stool,brown
FJ755404,China,Homo sapiens,Nov-2007,Beijing/291/2007/CHN,NaN,stool,brown
FJ755403,China,Homo sapiens,Oct-2006,Beijing/176/2006/CHN,NaN,stool,brown
FJ755402,China,Homo sapiens,Apr-2005,Beijing/128/2005/CHN,NaN,stool,brown
