,qseqid,sseqid,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore,sstart_al,send_al
0,AF141381.1,MK059951.1,97.55,6815,167,0,1,6815,1,6815,0.0,11660.0,0,6835
1,AF216861.1,MK059952.1,85.417,144,19,2,2,144,2389,2531,1.37e-39,148.0,2410,2552
2,AF292072.1,MK059951.1,87.451,1267,144,8,1,1255,3721,4984,0.0,1445.0,3720,4983
3,AF292080.1,MK059953.1,94.858,1128,58,0,2,1129,5523,6650,0.0,1762.0,5578,6747
4,AF348753.1,MK059949.1,90.23,348,34,0,1,348,4574,4921,1.84e-131,455.0,4600,4947
5,AF348754.1,MK059949.1,90.23,348,34,0,1,348,4574,4921,1.84e-131,455.0,4600,4947
6,AF348755.1,MK059949.1,90.517,348,33,0,1,348,4574,4921,3.9600000000000004e-133,460.0,4600,4947
7,AF348756.1,MK059949.1,90.23,348,34,0,1,348,4574,4921,1.84e-131,455.0,4600,4947
8,AF348757.1,MK059949.1,90.23,348,34,0,1,348,4574,4921,1.84e-131,455.0,4600,4947
9,AF348758.1,MK059949.1,90.805,348,32,0,1,348,4574,4921,8.52e-135,466.0,4600,4947
10,AF348759.1,MK059950.1,79.714,350,67,2,1,348,4571,4918,9.380000000000001e-70,250.0,4600,4947
11,AF348760.1,MK059949.1,90.517,348,33,0,1,348,4574,4921,3.9600000000000004e-133,460.0,4600,4947
12,AF348761.1,MK059949.1,94.54,348,19,0,1,348,4574,4921,1.78e-156,538.0,4600,4947
13,AF348762.1,MK059949.1,94.54,348,19,0,1,348,4574,4921,1.78e-156,538.0,4600,4947
14,AF348763.1,MK059949.1,94.54,348,19,0,1,348,4574,4921,1.78e-156,538.0,4600,4947
15,AF348764.1,MK059949.1,90.23,348,34,0,1,348,4574,4921,1.84e-131,455.0,4600,4947
16,AF348765.1,MK059949.1,90.517,348,33,0,1,348,4574,4921,3.9600000000000004e-133,460.0,4600,4947
17,AF348766.1,MK059949.1,94.253,348,20,0,1,348,4574,4921,8.28e-155,532.0,4600,4947
18,AF348767.1,MK059949.1,94.54,348,19,0,1,348,4574,4921,1.78e-156,538.0,4600,4947
19,AF348768.1,MK059949.1,94.54,348,19,0,1,348,4574,4921,1.78e-156,538.0,4600,4947
20,AF348769.1,MK059949.1,94.54,348,19,0,1,348,4574,4921,1.78e-156,538.0,4600,4947
21,AF348770.1,MK059949.1,90.23,348,34,0,1,348,4574,4921,1.84e-131,455.0,4600,4947
22,AF348771.1,MK059955.1,80.682,352,60,7,1,348,4578,4925,9.29e-75,267.0,4600,4947
23,AF348772.1,MK059955.1,80.682,352,60,7,1,348,4578,4925,9.29e-75,267.0,4600,4947
24,AF348773.1,MK059955.1,80.682,352,60,7,1,348,4578,4925,9.29e-75,267.0,4600,4947
