Position in MW485042_human_KEN_2019_KLF-HAstV2-005-2, Recombination breakpoint number (200nt win), Upper 99% CI, Lower 99% CI, Upper 95% CI, Lower 95% CI
1,0,1,0,0,0
3,0,1,0,0,0
5,0,1,0,0,0
7,0,1,0,0,0
9,0,1,0,0,0
11,0,1,0,0,0
13,0,1,0,0,0
15,0,1,0,0,0
17,0,1,0,0,0
19,0,1,0,0,0
21,0,1,0,0,0
23,0,1,0,0,0
25,0,1,0,0,0
27,0,1,0,0,0
29,0,1,0,0,0
31,0,1,0,0,0
33,0,1,0,0,0
35,0,1,0,0,0
37,0,1,0,0,0
39,0,1,0,0,0
41,0,1,0,0,0
43,0,1,0,0,0
45,0,1,0,0,0
47,0,1,0,0,0
49,0,1,0,0,0
51,0,1,0,0,0
53,0,1,0,0,0
55,0,1,0,0,0
57,0,1,0,0,0
59,0,1,0,0,0
61,0,1,0,0,0
63,0,1,0,0,0
65,0,1,0,0,0
67,0,1,0,0,0
69,0,1,0,0,0
71,0,1,0,0,0
73,0,1,0,0,0
75,0,1,0,0,0
77,0,1,0,1,0
79,0,1,0,1,0
81,0,1,0,1,0
83,0,1,0,1,0
85,0,1,0,1,0
87,0,1,0,1,0
89,0,1,0,1,0
91,0,1,0,1,0
93,0,1,0,1,0
95,0,1,0,1,0
97,0,1,0,1,0
99,0,1,0,1,0
101,0,1,0,1,0
103,0,1,0,1,0
105,0,1,0,1,0
107,0,1,0,1,0
109,0,1,0,1,0
111,0,1,0,1,0
113,0,1,0,1,0
115,0,1,0,1,0
117,0,1,0,1,0
119,0,1,0,1,0
121,0,1,0,1,0
123,0,1,0,1,0
125,0,1,0,1,0
127,0,1,0,1,0
129,0,1,0,1,0
131,0,1,0,1,0
133,0,1,0,1,0
135,0,1,0,1,0
137,0,1,0,1,0
139,0,1,0,1,0
141,0,1,0,1,0
143,0,1,0,1,0
145,0,1,0,1,0
147,0,1,0,1,0
149,0,1,0,1,0
151,0,1,0,1,0
153,0,1,0,1,0
155,0,1,0,1,0
157,0,1,0,1,0
159,0,1,0,1,0
161,0,1,0,1,0
163,0,1,0,1,0
165,0,1,0,1,0
167,0,1,0,1,0
169,0,1,0,1,0
171,0,1,0,1,0
173,0,1,0,1,0
175,0,1,0,1,0
177,0,1,0,1,0
179,0,1,0,1,0
181,0,1,0,1,0
183,0,1,0,1,0
185,0,1,0,1,0
187,0,1,0,1,0
189,0,1,0,1,0
191,0,2,0,1,0
193,0,2,0,1,0
195,0,2,0,1,0
197,0,2,0,1,0
199,0,2,0,1,0
201,0,2,0,1,0
203,0,2,0,1,0
205,0,2,0,1,0
207,0,2,0,1,0
209,0,2,0,1,0
211,0,2,0,1,0
213,0,2,0,1,0
215,0,2,0,1,0
217,0,2,0,1,0
219,0,2,0,1,0
221,0,2,0,1,0
223,0,2,0,1,0
225,0,2,0,1,0
227,0,2,0,1,0
229,0,2,0,1,0
231,0,2,0,1,0
233,0,2,0,1,0
235,0,2,0,1,0
237,0,2,0,1,0
239,0,2,0,1,0
241,0,2,0,1,0
243,0,2,0,1,0
245,0,2,0,1,0
247,0,2,0,1,0
249,0,2,0,1,0
251,0,2,0,1,0
253,0,2,0,1,0
255,0,2,0,1,0
257,0,2,0,1,0
259,0,2,0,1,0
261,0,2,0,1,0
263,0,2,0,1,0
265,0,2,0,1,0
267,0,2,0,1,0
269,0,2,0,1,0
271,0,2,0,1,0
273,0,2,0,1,0
275,0,2,0,1,0
277,0,2,0,1,0
279,0,2,0,1,0
281,0,2,0,1,0
283,0,2,0,1,0
285,0,2,0,1,0
287,0,2,0,1,0
289,0,2,0,1,0
291,0,2,0,1,0
293,0,2,0,1,0
295,0,2,0,1,0
297,0,2,0,1,0
299,0,2,0,1,0
301,0,2,0,1,0
303,0,2,0,1,0
305,0,2,0,1,0
307,0,2,0,1,0
309,0,2,0,1,0
311,0,2,0,1,0
313,0,2,0,1,0
315,0,2,0,1,0
317,0,2,0,1,0
319,0,2,0,1,0
321,0,2,0,1,0
323,0,2,0,1,0
325,0,2,0,1,0
327,0,2,0,1,0
329,0,2,0,1,0
331,0,2,0,1,0
333,0,2,0,1,0
335,0,2,0,1,0
337,0,2,0,1,0
339,0,2,0,1,0
341,0,2,0,1,0
